Label	Id	FunctionName	obs_n	perm_mean_n	enrich(log2)	p_enrich	within_fdr_enrich	within_BHfdr_enrich	all_fdr_enrich	all_BHfdr_enrich	p_deplete	within_fdr_deplete	within_BHfdr_deplete	all_fdr_deplete	all_BHfdr_deplete	Genes
'0.5%'	hsa03036	['Chromosome and associated proteins']	83	54.41090000	0.60921564	0.00006000	0.00863000	0.02243978	0.01045333	0.06731933	0.99997000	1.00000000	0.99997000	0.41982046	0.99997000	['AHDC1', 'AKAP9', 'ALDOC', 'ANAPC7', 'ANKRD17', 'ARID1A', 'ARID2', 'ARL3', 'ASH1L', 'ASXL2', 'ATXN7', 'B9D1', 'BARD1', 'BBS10', 'BICDL1', 'BPTF', 'BRD4', 'C5orf42', 'CBX3', 'CENPL', 'CENPP', 'CHD1', 'CHD7', 'CNTLN', 'CTCF', 'DCDC2B', 'DDHD2', 'DGCR8', 'DICER1', 'EPC2', 'HAUS2', 'HOOK3', 'HSPB11', 'IFT140', 'IFT81', 'KANSL2', 'KAT6B', 'KMT2D', 'KMT5A', 'KPNA6', 'MCRS1', 'MLLT10', 'MPHOSPH9', 'MYT1L', 'NCOA3', 'NEK6', 'NEK7', 'NEK8', 'NIPBL', 'NPM2', 'NUMA1', 'PCGF6', 'PCNT', 'PDS5B', 'PHF20', 'PIWIL2', 'PLA2G3', 'PLD6', 'PMFBP1', 'PPP2R3A', 'PRMT7', 'RNF151', 'RSBN1', 'SGF29', 'SIN3A', 'SPAG5', 'SRCAP', 'STARD9', 'SYCE2', 'TARBP2', 'TCTN1', 'THAP1', 'TRIP4', 'TUBA1A', 'TUBA1B', 'TUBD1', 'UBN1', 'WHSC1', 'WHSC1L1', 'XPO1', 'XPO5', 'YEATS4', 'ZNF423']
'0.1%'	hsa03019	['Messenger RNA biogenesis']	11	3.42926000	1.68153433	0.00048000	0.07240000	0.17951820	0.04504500	0.26927731	0.99984000	1.00000000	0.99985000	0.41982046	0.99997000	['ATXN2', 'DDX60L', 'KLC3', 'LARP4', 'NUP155', 'PAPOLG', 'PCBP2', 'PPP1CC', 'SYMPK', 'TUBA1A', 'XPO1']
'0.5%'	hsa00310	['Lysine degradation']	9	2.85207000	1.65791561	0.00085999	0.08256500	0.16081839	0.05619111	0.32163678	0.99979000	1.00000000	0.99997000	0.41982046	0.99997000	['ALDH2', 'ALDH3A2', 'ASH1L', 'GCDH', 'HADHA', 'KMT2D', 'KMT5A', 'WHSC1', 'WHSC1L1']
'0.05%'	hsa03019	['Messenger RNA biogenesis']	7	1.76912000	1.98432301	0.00173998	0.23398000	0.65075349	0.08764000	0.42859971	0.99955000	1.00000000	0.99980000	0.41982046	0.99997000	['ATXN2', 'KLC3', 'LARP4', 'PPP1CC', 'SYMPK', 'TUBA1A', 'XPO1']
'0.5%'	hsa03021	['Transcription machinery']	19	9.46746000	1.00495009	0.00190998	0.12244667	0.20747888	0.08764000	0.42859971	0.99923001	1.00000000	0.99997000	0.41982046	0.99997000	['AFF1', 'ARID1A', 'ARID2', 'ATXN7', 'BRD4', 'CCNT1', 'CHD1', 'CSRNP2', 'DRAP1', 'ERCC2', 'GPN2', 'GPN3', 'GTF2H3', 'MED12L', 'MED9', 'NELFA', 'PPP1CC', 'SGF29', 'SYMPK']
'0.5%'	hsa03460	['Fanconi anemia pathway']	7	1.99982000	1.80748477	0.00239998	0.12244667	0.20747888	0.08764000	0.43570564	0.99948001	1.00000000	0.99997000	0.41982046	0.99997000	['BLM', 'BRIP1', 'FANCM', 'POLH', 'RAD51C', 'REV1', 'TOP3A']
'0.5%'	hsa03013	['RNA transport']	10	3.70568000	1.43218979	0.00329997	0.12779400	0.20747888	0.09723762	0.43570564	0.99902001	1.00000000	0.99997000	0.41982046	0.99997000	['AAAS', 'EIF2B1', 'EIF5B', 'NDC1', 'NUP155', 'NUP214', 'PYM1', 'SUMO1', 'XPO1', 'XPO5']
'0.5%'	hsa05219	['Bladder cancer']	6	1.61047000	1.89748071	0.00344997	0.12779400	0.20747888	0.09723762	0.43570564	0.99945001	1.00000000	0.99997000	0.41982046	0.99997000	['CDK4', 'DAPK2', 'EGFR', 'ERBB2', 'RPS6KA5', 'SRC']
'0.05%'	hsa00310	['Lysine degradation']	3	0.36003000	3.05877347	0.00432996	0.28878500	0.80970190	0.10192556	0.43570564	0.99980000	1.00000000	0.99980000	0.41982046	0.99997000	['ALDH2', 'KMT2D', 'KMT5A']
'0.5%'	hsa05418	['Fluid shear stress and atherosclerosis']	11	4.67768000	1.23363845	0.00469995	0.13777571	0.20747888	0.10192556	0.43570564	0.99854001	1.00000000	0.99997000	0.41982046	0.99997000	['ACVR2A', 'AKT2', 'CHUK', 'MAP2K5', 'MAPK7', 'NFKB1', 'PRKAA2', 'RAC1', 'RELA', 'SRC', 'SUMO1']
