Label	Id	FunctionName	obs_n	perm_mean_n	enrich(log2)	p_enrich	within_fdr_enrich	within_BHfdr_enrich	all_fdr_enrich	all_BHfdr_enrich	p_deplete	within_fdr_deplete	within_BHfdr_deplete	all_fdr_deplete	all_BHfdr_deplete	Genes
0.5%	mergedvip:0002012	['merged_IAV']	63	36.84901000	0.77372597	0.00001000	0.00000000	0.00059999	0.00009667	0.00179998	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	['AIMP2', 'AKAP8L', 'ALDH3A2', 'ARF5', 'ATP2A2', 'ATXN2', 'BIRC6', 'CALU', 'CBX3', 'CCDC88A', 'CHD1', 'CLTC', 'CRAMP1', 'CTPS1', 'DDX23', 'DDX55', 'DHX38', 'DNAJA2', 'EGFR', 'EIF2B1', 'EIF5AL1', 'ERAL1', 'FLII', 'FLNC', 'GCN1', 'GLYR1', 'GOLGA4', 'GPN3', 'HADHA', 'HNRNPUL1', 'KPNA6', 'LARP4', 'LRRFIP2', 'MCM4', 'MCM7', 'MDN1', 'MFAP1', 'MOB2', 'MRPS35', 'MVP', 'MYH10', 'NT5C2', 'NUDC', 'P4HA1', 'PRKDC', 'PRPSAP2', 'PSMB7', 'PTX3', 'QPCTL', 'RAB10', 'RPL37', 'SDF2', 'SF3A3', 'SF3B4', 'SLC25A13', 'SUMO1', 'TNRC18', 'TRIP12', 'TROVE2', 'TUBA1A', 'TUBA1B', 'XPO1', 'XPO7']
0.1%	mergedvip:0002012	['merged_IAV']	22	8.60021000	1.35505973	0.00004000	0.00047000	0.00239998	0.00043833	0.00359996	0.99999000	1.00000000	0.99999000	1.00000000	1.00000000	['AIMP2', 'AKAP8L', 'ATP2A2', 'ATXN2', 'BIRC6', 'CALU', 'DDX23', 'DHX38', 'ERAL1', 'FLII', 'GPN3', 'KPNA6', 'LARP4', 'MFAP1', 'MVP', 'PRKDC', 'PRPSAP2', 'QPCTL', 'SDF2', 'SF3B4', 'TUBA1A', 'XPO1']
0.05%	mergedvip:0002003	['merged_EBOV']	4	0.20651000	4.27571645	0.00009000	0.00139000	0.00359996	0.00067444	0.00539995	0.99999000	1.00000000	0.99999000	1.00000000	1.00000000	['ATP2A2', 'KPNA6', 'PRKDC', 'TUBA1A']
0.05%	mergedvip:0002012	['merged_IAV']	14	4.43965000	1.65690898	0.00012000	0.00139000	0.00359996	0.00067444	0.00539995	0.99996000	1.00000000	0.99999000	1.00000000	1.00000000	['AKAP8L', 'ATP2A2', 'ATXN2', 'DDX23', 'GPN3', 'KPNA6', 'LARP4', 'MVP', 'PRKDC', 'PRPSAP2', 'SDF2', 'SF3B4', 'TUBA1A', 'XPO1']
0.1%	mergedvip:0002008	['merged_HIV']	19	8.12941000	1.22477686	0.00049000	0.00486500	0.01154988	0.00231200	0.01722840	0.99981000	1.00000000	0.99999000	1.00000000	1.00000000	['AKAP8L', 'ANAPC7', 'ANKRD13A', 'ATP2A2', 'CALU', 'CD28', 'EIF5B', 'EPN2', 'KCNH3', 'KIF22', 'MFAP1', 'PRKDC', 'RAD23A', 'SDF2', 'SERPINC1', 'SP1', 'SPATS2', 'TUBA1A', 'VPS35']
0.1%	mergedvip:0002003	['merged_EBOV']	4	0.40017000	3.32131508	0.00062999	0.00486500	0.01154988	0.00234722	0.01722840	0.99993000	1.00000000	0.99999000	1.00000000	1.00000000	['ATP2A2', 'KPNA6', 'PRKDC', 'TUBA1A']
0.5%	mergedvip:0002008	['merged_HIV']	53	34.57223000	0.61637870	0.00066999	0.00619500	0.02009980	0.00234722	0.01722840	0.99960000	1.00000000	1.00000000	1.00000000	1.00000000	['AFF1', 'AKAP8L', 'ANAPC7', 'ANKRD13A', 'APP', 'ATP2A2', 'ATP6V1D', 'CALU', 'CCNT1', 'CD28', 'CD63', 'CERS2', 'CSTF3', 'EIF5B', 'EPN2', 'GNAO1', 'GTF2H3', 'HADHA', 'KCNH3', 'KIF22', 'LEF1', 'LRP1', 'MFAP1', 'MYH10', 'NDUFB10', 'NEK7', 'NIPBL', 'NOP58', 'NUDC', 'PAXBP1', 'PCMT1', 'PDS5B', 'PRKDC', 'PSMB7', 'RAC1', 'RAD23A', 'SDF2', 'SERPINC1', 'SF3A3', 'SMG6', 'SP1', 'SPAG5', 'SPATA5L1', 'SPATS2', 'STOML2', 'TARBP2', 'TUBA1A', 'TUBA1B', 'VAV2', 'VPS35', 'WHSC1', 'YEATS4', 'ZNF638']
0.1%	mergedvip:0002001	['merged_ADV']	8	1.96571000	2.02494950	0.00076999	0.00486500	0.01154988	0.00234722	0.01732483	0.99990000	1.00000000	0.99999000	1.00000000	1.00000000	['ANKRD13A', 'ATP2A2', 'ATXN2', 'LARP4', 'NFIX', 'RAB34', 'SRCAP', 'XPO5']
0.5%	mergedvip:0002006	['merged_HCMV']	6	1.77537000	1.75684278	0.00559994	0.05068000	0.08969910	0.01407444	0.10763892	0.99895001	1.00000000	1.00000000	1.00000000	1.00000000	['ABI2', 'ANKRD17', 'RAB10', 'TRIM23', 'TUBA1A', 'USP54']
0.5%	ltvip:0000042	['ev71']	3	0.43207000	2.79562553	0.00597994	0.05068000	0.08969910	0.01407444	0.10763892	0.99958000	1.00000000	1.00000000	1.00000000	1.00000000	['ANKRD17', 'EIF5B', 'GBF1']
