Label	Id	FunctionName	obs_n	perm_mean_n	enrich(log2)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
0.5%	hsa03036	['Chromosome and associated proteins']	83	54.41864000	0.60901043	0.00004000	0.00667333	0.04319957	0.99997000	0.42134190	0.99997000	['AHDC1', 'AKAP9', 'ALDOC', 'ANAPC7', 'ANKRD17', 'ARID1A', 'ARID2', 'ARL3', 'ASH1L', 'ASXL2', 'ATXN7', 'B9D1', 'BARD1', 'BBS10', 'BICDL1', 'BPTF', 'BRD4', 'C5orf42', 'CBX3', 'CENPL', 'CENPP', 'CHD1', 'CHD7', 'CNTLN', 'CTCF', 'DCDC2B', 'DDHD2', 'DGCR8', 'DICER1', 'EPC2', 'HAUS2', 'HOOK3', 'HSPB11', 'IFT140', 'IFT81', 'KANSL2', 'KAT6B', 'KMT2D', 'KMT5A', 'KPNA6', 'MCRS1', 'MLLT10', 'MPHOSPH9', 'MYT1L', 'NCOA3', 'NEK6', 'NEK7', 'NEK8', 'NIPBL', 'NPM2', 'NUMA1', 'PCGF6', 'PCNT', 'PDS5B', 'PHF20', 'PIWIL2', 'PLA2G3', 'PLD6', 'PMFBP1', 'PPP2R3A', 'PRMT7', 'RNF151', 'RSBN1', 'SGF29', 'SIN3A', 'SPAG5', 'SRCAP', 'STARD9', 'SYCE2', 'TARBP2', 'TCTN1', 'THAP1', 'TRIP4', 'TUBA1A', 'TUBA1B', 'TUBD1', 'UBN1', 'WHSC1', 'WHSC1L1', 'XPO1', 'XPO5', 'YEATS4', 'ZNF423']
0.1%	hsa03019	['Messenger RNA biogenesis']	11	3.45028000	1.67271817	0.00062999	0.05946833	0.34019660	0.99981000	0.42134190	0.99997000	['ATXN2', 'DDX60L', 'KLC3', 'LARP4', 'NUP155', 'PAPOLG', 'PCBP2', 'PPP1CC', 'SYMPK', 'TUBA1A', 'XPO1']
0.5%	hsa00310	['Lysine degradation']	9	2.85643000	1.65571183	0.00100999	0.06416667	0.36359636	0.99984000	0.42134190	0.99997000	['ALDH2', 'ALDH3A2', 'ASH1L', 'GCDH', 'HADHA', 'KMT2D', 'KMT5A', 'WHSC1', 'WHSC1L1']
0.5%	hsa03021	['Transcription machinery']	19	9.45269000	1.00720257	0.00178998	0.08899583	0.43385773	0.99940001	0.42134190	0.99997000	['AFF1', 'ARID1A', 'ARID2', 'ATXN7', 'BRD4', 'CCNT1', 'CHD1', 'CSRNP2', 'DRAP1', 'ERCC2', 'GPN2', 'GPN3', 'GTF2H3', 'MED12L', 'MED9', 'NELFA', 'PPP1CC', 'SGF29', 'SYMPK']
0.05%	hsa03019	['Messenger RNA biogenesis']	7	1.77635000	1.97843905	0.00216998	0.08899583	0.43385773	0.99956000	0.42134190	0.99997000	['ATXN2', 'KLC3', 'LARP4', 'PPP1CC', 'SYMPK', 'TUBA1A', 'XPO1']
0.5%	hsa03460	['Fanconi anemia pathway']	7	2.01215000	1.79861706	0.00274997	0.09172167	0.43385773	0.99941001	0.42134190	0.99997000	['BLM', 'BRIP1', 'FANCM', 'POLH', 'RAD51C', 'REV1', 'TOP3A']
0.5%	hsa05219	['Bladder cancer']	6	1.61536000	1.89310678	0.00334997	0.09753000	0.43385773	0.99950000	0.42134190	0.99997000	['CDK4', 'DAPK2', 'EGFR', 'ERBB2', 'RPS6KA5', 'SRC']
0.5%	hsa03013	['RNA transport']	10	3.71521000	1.42848433	0.00365996	0.09753000	0.43385773	0.99906001	0.42134190	0.99997000	['AAAS', 'EIF2B1', 'EIF5B', 'NDC1', 'NUP155', 'NUP214', 'PYM1', 'SUMO1', 'XPO1', 'XPO5']
0.05%	hsa00310	['Lysine degradation']	3	0.35715000	3.07036047	0.00451995	0.10643630	0.43385773	0.99964000	0.42134190	0.99997000	['ALDH2', 'KMT2D', 'KMT5A']
0.5%	hsa05418	['Fluid shear stress and atherosclerosis']	11	4.67713000	1.23380809	0.00491995	0.10643630	0.43385773	0.99844002	0.42134190	0.99997000	['ACVR2A', 'AKT2', 'CHUK', 'MAP2K5', 'MAPK7', 'NFKB1', 'PRKAA2', 'RAC1', 'RELA', 'SRC', 'SUMO1']
0.1%	hsa00340	['Histidine metabolism']	2	0.10873000	4.20117804	0.00497995	0.10643630	0.43385773	0.99989000	0.42134190	0.99997000	['ALDH2', 'ALDH3A1']
0.5%	hsa01523	['Antifolate resistance']	4	0.79057000	2.33903489	0.00512995	0.10643630	0.43385773	0.99945001	0.42134190	0.99997000	['CHUK', 'NFKB1', 'RELA', 'SHMT1']
0.1%	hsa03036	['Chromosome and associated proteins']	23	13.08650000	0.81355456	0.00570994	0.10643630	0.43385773	0.99713003	0.42134190	0.99997000	['ANAPC7', 'ASXL2', 'B9D1', 'BICDL1', 'BPTF', 'C5orf42', 'CENPL', 'HOOK3', 'IFT81', 'KMT2D', 'KMT5A', 'KPNA6', 'MCRS1', 'MYT1L', 'NEK8', 'SIN3A', 'SRCAP', 'TCTN1', 'TRIP4', 'TUBA1A', 'UBN1', 'XPO1', 'XPO5']
0.1%	hsa03041	['Spliceosome']	8	2.84330000	1.49243367	0.00581994	0.10643630	0.43385773	0.99853001	0.42134190	0.99997000	['DDX23', 'DHX38', 'KHDRBS1', 'MFAP1', 'PCBP2', 'PPP1CC', 'SF3B4', 'SYNCRIP']
0.5%	hsa04662	['B cell receptor signaling pathway']	10	4.33068000	1.20733452	0.00666993	0.10643630	0.43385773	0.99799002	0.42134190	0.99997000	['AKT2', 'BLNK', 'CHUK', 'DAPP1', 'NFATC3', 'NFKB1', 'PPP3CB', 'RAC1', 'RELA', 'VAV2']
0.5%	hsa03015	['mRNA surveillance pathway']	8	3.04514000	1.39349144	0.00682993	0.10643630	0.43385773	0.99821002	0.42134190	0.99997000	['CSTF3', 'FIP1L1', 'PAPOLG', 'PPP1CC', 'PPP2R3A', 'PYM1', 'SMG6', 'SYMPK']
0.5%	hsa04620	['Toll-like receptor signaling pathway']	7	2.49354000	1.48915958	0.00911991	0.11864765	0.43385773	0.99794002	0.42134190	0.99997000	['AKT2', 'CHUK', 'IL12A', 'NFKB1', 'RAC1', 'RELA', 'TAB2']
0.5%	hsa04657	['IL-17 signaling pathway']	6	1.90309000	1.65661871	0.00936991	0.11864765	0.43385773	0.99804002	0.42134190	0.99997000	['CHUK', 'MAPK7', 'NFKB1', 'RELA', 'TAB2', 'TRAF4']
0.5%	hsa03016	['Transfer RNA biogenesis']	12	5.79801000	1.04940468	0.00961990	0.11864765	0.43385773	0.99645004	0.42134190	0.99997000	['AARS2', 'AIMP2', 'ATE1', 'CDKAL1', 'DARS2', 'FARSA', 'IARS', 'LCMT2', 'PUS10', 'WARS', 'XPO1', 'XPO5']
0.5%	hsa05224	['Breast cancer']	13	6.48824000	1.00261253	0.00967990	0.11864765	0.43385773	0.99652003	0.42134190	0.99997000	['AKT2', 'CDK4', 'DVL2', 'EGFR', 'ERBB2', 'FGF7', 'LEF1', 'NCOA3', 'RPS6KB1', 'SHC4', 'SP1', 'WNT1', 'WNT10B']
