Label	Id	FunctionName	obs_n	perm_mean_n	enrich(log2)	p_enrich	within_fdr_enrich	within_BHfdr_enrich	all_fdr_enrich	all_BHfdr_enrich	p_deplete	within_fdr_deplete	within_BHfdr_deplete	all_fdr_deplete	all_BHfdr_deplete	Genes
0.1%	siv_modules:31	['magenta']	6	1.09432000	2.45492783	0.00054999	0.00702000	0.01814982	0.00857333	0.05444946	0.99996000	1.00000000	0.99996000	0.41739111	0.99996000	['CACNB3', 'FMNL3', 'HOOK3', 'RAB35', 'RABGAP1L', 'ZNF609']
0.5%	siv_modules:33	['green']	9	2.65184000	1.76293127	0.00109999	0.01593000	0.03629964	0.00915500	0.05444946	0.99973000	1.00000000	0.99973000	0.41739111	0.99996000	['ARF5', 'CHUK', 'NFKB1', 'NUDT16L1', 'NUMA1', 'OGFR', 'SRCAP', 'TULP4', 'ZFAND3']
0.05%	siv_modules:31	['magenta']	3	0.56237000	2.41537096	0.01868981	0.27949000	0.33923661	0.11851667	0.50053899	0.99761002	1.00000000	0.99852001	0.41739111	0.99996000	['CACNB3', 'FMNL3', 'ZNF609']
0.05%	siv_modules:25	['greenyellow']	2	0.22270000	3.16682654	0.02055979	0.27949000	0.33923661	0.11851667	0.50053899	0.99852001	1.00000000	0.99852001	0.41739111	0.99996000	['SBNO1', 'SHCBP1']
0.05%	siv_modules:29	['yellow']	3	0.71522000	2.06850352	0.03368966	0.27949000	0.37058629	0.13296067	0.50053899	0.99428006	1.00000000	0.99852001	0.41739111	0.99996000	['GALK2', 'RAI1', 'VPS35']
0.5%	siv_modules:29	['yellow']	11	6.04241000	0.86430754	0.03666963	0.33526500	0.41711583	0.13296067	0.50053899	0.98363016	1.00000000	0.99973000	0.41739111	0.99996000	['ASCC1', 'CDK4', 'EIF5B', 'GALK2', 'HERC4', 'PARP16', 'PCMT1', 'RAB10', 'RAD51C', 'RAI1', 'VPS35']
0.5%	siv_modules:25	['greenyellow']	5	1.92247000	1.37896701	0.04107959	0.33526500	0.41711583	0.13296067	0.50053899	0.98854011	1.00000000	0.99973000	0.41739111	0.99996000	['CLTC', 'MCM4', 'SBNO1', 'SHCBP1', 'SPAG5']
0.1%	siv_modules:18	['purple']	3	0.78639000	1.93164562	0.04398956	0.36048500	0.54339457	0.13296067	0.50053899	0.99247008	1.00000000	0.99996000	0.41739111	0.99996000	['SRCAP', 'SYNCRIP', 'YIPF4']
0.1%	siv_modules:29	['yellow']	4	1.38700000	1.52803221	0.04939951	0.36048500	0.54339457	0.13296067	0.50053899	0.98810012	1.00000000	0.99996000	0.41739111	0.99996000	['EIF5B', 'GALK2', 'RAI1', 'VPS35']
0.5%	siv_modules:18	['purple']	7	3.41727000	1.03451068	0.05055949	0.33526500	0.41711583	0.13296067	0.50053899	0.98220018	1.00000000	0.99973000	0.41739111	0.99996000	['BARD1', 'FBXL20', 'MPHOSPH9', 'SRCAP', 'SYNCRIP', 'TSFM', 'YIPF4']
0.1%	siv_modules:25	['greenyellow']	2	0.43352000	2.20582954	0.06904931	0.36048500	0.56965680	0.13906667	0.62144379	0.99105009	1.00000000	0.99996000	0.41739111	0.99996000	['SBNO1', 'SHCBP1']
0.5%	siv_modules:31	['magenta']	8	4.74447000	0.75375307	0.09513905	0.33616800	0.52502475	0.17371750	0.72695735	0.95771042	1.00000000	0.99973000	0.41739111	0.99996000	['BRD4', 'CACNB3', 'FMNL3', 'HOOK3', 'RAB35', 'RABGAP1L', 'SHMT1', 'ZNF609']
0.5%	siv_modules:26	['pink']	6	3.22575000	0.89532787	0.09545905	0.33616800	0.52502475	0.17371750	0.72695735	0.96313037	1.00000000	0.99973000	0.41739111	0.99996000	['ACVR2A', 'CD28', 'GCC1', 'KLHL24', 'MED9', 'P2RY14']
0.1%	siv_modules:33	['green']	2	0.60660000	1.72118260	0.12293877	0.37185800	0.81139589	0.17824190	0.86935274	0.97755022	1.00000000	0.99996000	0.41739111	0.99996000	['SRCAP', 'TULP4']
0.05%	siv_modules:30	['tan']	2	0.63726000	1.65004599	0.13377866	0.40403250	1.00000000	0.19165978	0.88293917	0.97477025	0.99531821	0.99852001	0.41739111	0.99996000	['PRPSAP2', 'XPO1']
0.1%	siv_modules:26	['pink']	2	0.74887000	1.41721280	0.17033830	0.43282500	0.93686063	0.25167417	1.00000000	0.96289037	1.00000000	0.99996000	0.41739111	0.99996000	['CD28', 'MED9']
0.5%	siv_modules:23	['salmon']	3	1.69544000	0.82330277	0.23741763	0.73290571	1.00000000	0.33394941	1.00000000	0.91617084	1.00000000	0.99973000	0.41739111	0.99996000	['PAFAH1B2', 'TFAP4', 'VPS54']
0.5%	siv_modules:15	['paleturquoise']	2	0.99374000	1.00905966	0.26187738	0.73290571	1.00000000	0.33855722	1.00000000	0.92929071	1.00000000	0.99973000	0.41739111	0.99996000	['AFF1', 'CREM']
0.05%	siv_modules:33	['green']	1	0.31225000	1.67922652	0.26929731	0.91496200	1.00000000	0.33855722	1.00000000	0.96095039	0.99531821	0.99852001	0.41739111	0.99996000	['SRCAP']
0.5%	siv_modules:30	['tan']	7	5.33268000	0.39249416	0.28042720	0.73290571	1.00000000	0.33855722	1.00000000	0.84326157	1.00000000	0.99973000	0.41739111	0.99996000	['HELZ', 'HERC4', 'PHF14', 'PRPSAP2', 'XPO1', 'ZCCHC14', 'ZNF423']
0.1%	siv_modules:16	['grey60']	1	0.33555000	1.57540034	0.28993710	0.77841571	1.00000000	0.33855722	1.00000000	0.95836042	1.00000000	0.99996000	0.41739111	0.99996000	['DAND5']
0.05%	siv_modules:18	['purple']	1	0.40432000	1.30643053	0.33546665	1.00000000	1.00000000	0.36754258	1.00000000	0.93957060	0.98892852	0.99852001	0.41739111	0.99996000	['SRCAP']
0.1%	siv_modules:30	['tan']	2	1.23748000	0.69259479	0.35343647	0.87103500	1.00000000	0.36754258	1.00000000	0.87380126	0.96482292	0.99996000	0.41739111	0.99996000	['PRPSAP2', 'XPO1']
0.1%	siv_modules:21	['orange']	1	0.46711000	1.09816576	0.38170618	0.89560556	1.00000000	0.36908556	1.00000000	0.92476075	1.00000000	0.99996000	0.41739111	0.99996000	['SERPINC1']
0.5%	siv_modules:16	['grey60']	2	1.41244000	0.50181042	0.42165578	0.97625800	1.00000000	0.41788880	1.00000000	0.84339157	1.00000000	0.99973000	0.41739111	0.99996000	['DAND5', 'PSD']
0.05%	siv_modules:32	['blue']	1	0.90542000	0.14334092	0.60088399	1.00000000	1.00000000	0.55557885	1.00000000	0.76936231	0.91838667	0.99852001	0.41739111	0.99996000	['XPO1']
0.5%	siv_modules:17	['darkolivegreen']	1	0.79595000	0.32925029	0.60709393	1.00000000	1.00000000	0.55557885	1.00000000	0.83121169	1.00000000	0.99973000	0.41739111	0.99996000	['COPS2']
0.5%	siv_modules:6	['darkturquoise']	2	2.37655000	-0.24886875	0.72773272	1.00000000	1.00000000	0.59907440	1.00000000	0.56816432	0.72227833	0.99457532	0.34982529	0.99996000	['BRIP1', 'NRG2']
0.5%	siv_modules:32	['blue']	6	7.19320000	-0.26167122	0.75091249	1.00000000	1.00000000	0.59907440	1.00000000	0.40420596	0.56417333	0.79220561	0.19155507	0.99996000	['ABI2', 'EDAR', 'GIPC2', 'SCFD2', 'SESN3', 'XPO1']
0.5%	siv_modules:5	['lightyellow']	2	2.39782000	-0.26172336	0.75215248	1.00000000	1.00000000	0.59907440	1.00000000	0.57263427	0.73102842	0.99457532	0.34982529	0.99996000	['DAPP1', 'WARS']
0.5%	siv_modules:12	['skyblue']	1	1.31543000	-0.39553448	0.76653233	1.00000000	1.00000000	0.59907440	1.00000000	0.61213388	0.77001200	0.99709289	0.41061144	0.99996000	['PMFBP1']
0.5%	siv_modules:24	['steelblue']	1	1.26750000	-0.34198575	0.77924221	1.00000000	1.00000000	0.59907440	1.00000000	0.63451365	0.80273571	0.99709289	0.41061144	0.99996000	['ASH1L']
