Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
hsa00140	['Steroid hormone biosynthesis']	3	0.74444000	0.00264380	2.01073502	2.02094597	2.00045129	0.03401966	1.00000000	1.00000000	0.99478005	1.00000000	0.99478005	['AKR1C3', 'CYP1B1', 'SULT2B1']
hsa01003	['Glycosyltransferases']	17	10.99977000	0.00925477	0.62806139	0.63048700	0.62563169	0.03544965	1.00000000	1.00000000	0.98212018	1.00000000	0.99450920	['B4GALT6', 'CHST9', 'EXT1', 'FUT8', 'GALNT18', 'GALNT7', 'GALNTL6', 'GCNT2', 'NDST3', 'NDST4', 'POFUT1', 'ST3GAL4', 'ST6GALNAC5', 'ST8SIA2', 'WBSCR17', 'XXYLT1', 'XYLT1']
hsa04974	['Protein digestion and absorption']	8	3.99151000	0.00589954	1.00306537	1.00732375	0.99879439	0.03839962	1.00000000	1.00000000	0.98573014	1.00000000	0.99450920	['COL13A1', 'COL4A1', 'COL4A3', 'COL5A2', 'KCNK5', 'MME', 'SLC16A10', 'SLC1A1']
hsa05211	['Renal cell carcinoma']	6	2.63020000	0.00488437	1.18978999	1.19513834	1.18442175	0.04251957	1.00000000	1.00000000	0.98705013	1.00000000	0.99450920	['AKT3', 'ARNT2', 'CRK', 'HGF', 'PAK5', 'PIK3CD']
hsa03010	['Ribosome']	3	0.80617000	0.00280378	1.89580650	1.90580687	1.88573632	0.04592954	1.00000000	1.00000000	0.99142009	1.00000000	0.99450920	['MRPL1', 'MRPS18C', 'MRPS6']
hsa04657	['IL-17 signaling pathway']	4	1.41105000	0.00362917	1.50323089	1.51063299	1.49579062	0.04851951	1.00000000	1.00000000	0.98877011	1.00000000	0.99450920	['IL17RA', 'IL17RE', 'MAPK10', 'MMP3']
hsa04810	['Regulation of actin cytoskeleton']	15	9.60021000	0.00901920	0.64382463	0.64653285	0.64111132	0.04908951	1.00000000	1.00000000	0.97538025	1.00000000	0.99450920	['ARHGEF12', 'ARHGEF7', 'CRK', 'DIAPH3', 'ITGAV', 'ITGB2', 'ITGB5', 'MYLK', 'PAK5', 'PIK3CD', 'PIP4K2A', 'PIP5K1B', 'ROCK2', 'TIAM1', 'VAV2']
hsa05135	['Yersinia infection']	9	5.02366000	0.00654691	0.84118618	0.84494157	0.83742098	0.05508945	1.00000000	1.00000000	0.97784022	1.00000000	0.99450920	['AKT3', 'ARHGEF12', 'ARHGEF7', 'CRK', 'MAPK10', 'PIK3CD', 'PIP5K1B', 'ROCK2', 'VAV2']
hsa05120	['Epithelial cell signaling in Helicobacter pylori infection']	5	2.22382000	0.00449536	1.16888808	1.17470901	1.16304356	0.06497935	1.00000000	1.00000000	0.98053019	1.00000000	0.99450920	['ADAM17', 'ATP6V1G3', 'JAM2', 'MAPK10', 'PTPRZ1']
hsa00860	['Porphyrin and chlorophyll metabolism']	2	0.47038000	0.00212566	2.08810138	2.10108195	2.07500294	0.07824922	1.00000000	1.00000000	0.98999010	1.00000000	0.99450920	['COX10', 'HMOX2']
hsa04140	['Autophagy - animal']	9	5.35626000	0.00682673	0.74869901	0.75237185	0.74501679	0.07917921	1.00000000	1.00000000	0.96456035	1.00000000	0.99450920	['AKT3', 'AMBRA1', 'CFLAR', 'DEPTOR', 'IGF1R', 'MAPK10', 'PIK3CD', 'PRKCQ', 'ZFYVE1']
hsa00563	['Glycosylphosphatidylinositol (GPI)-anchor biosynthesis']	2	0.48152000	0.00214443	2.05433237	2.06712546	2.04142483	0.08045920	1.00000000	1.00000000	0.98918011	1.00000000	0.99450920	['GPLD1', 'PIGK']
hsa00514	['Other types of O-glycan biosynthesis']	6	3.30927000	0.00488373	0.85844950	0.86270140	0.85418502	0.08411916	1.00000000	1.00000000	0.97325027	1.00000000	0.99450920	['GALNT18', 'GALNT7', 'GALNTL6', 'POFUT1', 'WBSCR17', 'XXYLT1']
hsa03029	['Mitochondrial biogenesis']	14	9.54506000	0.00896560	0.55260066	0.55530834	0.54988788	0.08655913	1.00000000	1.00000000	0.95334047	1.00000000	0.99450920	['AIPL1', 'AMBRA1', 'CALCOCO2', 'CLEC16A', 'COX10', 'DNAJA3', 'IMMP2L', 'MRPS6', 'MT1H', 'NEDD4', 'PARK2', 'SAMM50', 'TMEM126A', 'ZFYVE1']
hsa04930	['Type II diabetes mellitus']	5	2.52995000	0.00451828	0.98281922	0.98796310	0.97765693	0.08999910	1.00000000	1.00000000	0.97307027	1.00000000	0.99450920	['ABCC8', 'CACNA1D', 'CACNA1E', 'MAPK10', 'PIK3CD']
hsa05323	['Rheumatoid arthritis']	4	1.72782000	0.00401599	1.21104707	1.21773807	1.20432489	0.09094909	1.00000000	1.00000000	0.97386026	1.00000000	0.99450920	['ANGPT1', 'ATP6V1G3', 'ITGB2', 'MMP3']
hsa05150	['Staphylococcus aureus infection']	3	1.07119000	0.00324025	1.48574810	1.49444984	1.47699356	0.09188908	1.00000000	1.00000000	0.97774022	1.00000000	0.99450920	['CFI', 'ITGB2', 'KRT37']
hsa04510	['Focal adhesion']	17	12.34428000	0.01002269	0.46169205	0.46403289	0.45934742	0.09828902	1.00000000	1.00000000	0.94354056	1.00000000	0.99450920	['AKT3', 'COL4A1', 'COL4A3', 'CRK', 'HGF', 'IGF1R', 'ITGAV', 'ITGB5', 'LAMB3', 'MAPK10', 'MYLK', 'PAK5', 'PIK3CD', 'PIP5K1B', 'RELN', 'ROCK2', 'VAV2']
hsa04668	['TNF signaling pathway']	6	3.26604000	0.00537818	0.87742004	0.88216360	0.87266083	0.09947901	1.00000000	1.00000000	0.96144039	1.00000000	0.99450920	['AKT3', 'CFLAR', 'CREB5', 'MAPK10', 'MMP3', 'PIK3CD']
