id	feature	name
hsa00010	ACSS1	Glycolysis / Gluconeogenesis
hsa00010	ACSS2	Glycolysis / Gluconeogenesis
hsa00010	ADH1A	Glycolysis / Gluconeogenesis
hsa00010	ADH1B	Glycolysis / Gluconeogenesis
hsa00010	ADH4	Glycolysis / Gluconeogenesis
hsa00010	ADH5	Glycolysis / Gluconeogenesis
hsa00010	ADH6	Glycolysis / Gluconeogenesis
hsa00010	ADPGK	Glycolysis / Gluconeogenesis
hsa00010	AKR1A1	Glycolysis / Gluconeogenesis
hsa00010	ALDH1A3	Glycolysis / Gluconeogenesis
hsa00010	ALDH1B1	Glycolysis / Gluconeogenesis
hsa00010	ALDH2	Glycolysis / Gluconeogenesis
hsa00010	ALDH3A1	Glycolysis / Gluconeogenesis
hsa00010	ALDH3A2	Glycolysis / Gluconeogenesis
hsa00010	ALDH3B2	Glycolysis / Gluconeogenesis
hsa00010	ALDH9A1	Glycolysis / Gluconeogenesis
hsa00010	ALDOA	Glycolysis / Gluconeogenesis
hsa00010	ALDOB	Glycolysis / Gluconeogenesis
hsa00010	ALDOC	Glycolysis / Gluconeogenesis
hsa00010	BPGM	Glycolysis / Gluconeogenesis
hsa00010	DLAT	Glycolysis / Gluconeogenesis
hsa00010	DLD	Glycolysis / Gluconeogenesis
hsa00010	ENO1	Glycolysis / Gluconeogenesis
hsa00010	ENO3	Glycolysis / Gluconeogenesis
hsa00010	ENO4	Glycolysis / Gluconeogenesis
hsa00010	FBP1	Glycolysis / Gluconeogenesis
hsa00010	FBP2	Glycolysis / Gluconeogenesis
hsa00010	G6PC	Glycolysis / Gluconeogenesis
hsa00010	G6PC2	Glycolysis / Gluconeogenesis
hsa00010	G6PC3	Glycolysis / Gluconeogenesis
hsa00010	GALM	Glycolysis / Gluconeogenesis
hsa00010	GAPDH	Glycolysis / Gluconeogenesis
hsa00010	GAPDHS	Glycolysis / Gluconeogenesis
hsa00010	GCK	Glycolysis / Gluconeogenesis
hsa00010	GPI	Glycolysis / Gluconeogenesis
hsa00010	HK1	Glycolysis / Gluconeogenesis
hsa00010	HK2	Glycolysis / Gluconeogenesis
hsa00010	HK3	Glycolysis / Gluconeogenesis
hsa00010	HKDC1	Glycolysis / Gluconeogenesis
hsa00010	LDHA	Glycolysis / Gluconeogenesis
hsa00010	LDHAL6A	Glycolysis / Gluconeogenesis
hsa00010	LDHAL6B	Glycolysis / Gluconeogenesis
hsa00010	LDHB	Glycolysis / Gluconeogenesis
hsa00010	LDHC	Glycolysis / Gluconeogenesis
hsa00010	MINPP1	Glycolysis / Gluconeogenesis
hsa00010	PCK1	Glycolysis / Gluconeogenesis
hsa00010	PCK2	Glycolysis / Gluconeogenesis
hsa00010	PDHA2	Glycolysis / Gluconeogenesis
hsa00010	PDHB	Glycolysis / Gluconeogenesis
hsa00010	PDHX	Glycolysis / Gluconeogenesis
hsa00010	PFKL	Glycolysis / Gluconeogenesis
hsa00010	PFKM	Glycolysis / Gluconeogenesis
hsa00010	PFKP	Glycolysis / Gluconeogenesis
hsa00010	PGAM1	Glycolysis / Gluconeogenesis
hsa00010	PGAM2	Glycolysis / Gluconeogenesis
hsa00010	PGK2	Glycolysis / Gluconeogenesis
hsa00010	PGM1	Glycolysis / Gluconeogenesis
hsa00010	PGM2	Glycolysis / Gluconeogenesis
hsa00010	PKLR	Glycolysis / Gluconeogenesis
hsa00010	PKM	Glycolysis / Gluconeogenesis
hsa00010	TPI1	Glycolysis / Gluconeogenesis
hsa00020	ACLY	Citrate cycle (TCA cycle)
hsa00020	ACO1	Citrate cycle (TCA cycle)
hsa00020	ACO2	Citrate cycle (TCA cycle)
hsa00020	DLAT	Citrate cycle (TCA cycle)
hsa00020	DLD	Citrate cycle (TCA cycle)
hsa00020	DLST	Citrate cycle (TCA cycle)
hsa00020	FH	Citrate cycle (TCA cycle)
hsa00020	IDH1	Citrate cycle (TCA cycle)
hsa00020	IDH2	Citrate cycle (TCA cycle)
hsa00020	IDH3A	Citrate cycle (TCA cycle)
hsa00020	IDH3B	Citrate cycle (TCA cycle)
hsa00020	MDH1	Citrate cycle (TCA cycle)
hsa00020	MDH2	Citrate cycle (TCA cycle)
hsa00020	OGDH	Citrate cycle (TCA cycle)
hsa00020	PC	Citrate cycle (TCA cycle)
hsa00020	PCK1	Citrate cycle (TCA cycle)
hsa00020	PCK2	Citrate cycle (TCA cycle)
hsa00020	PDHA2	Citrate cycle (TCA cycle)
hsa00020	PDHB	Citrate cycle (TCA cycle)
hsa00020	PDHX	Citrate cycle (TCA cycle)
hsa00020	SDHA	Citrate cycle (TCA cycle)
hsa00020	SDHB	Citrate cycle (TCA cycle)
hsa00020	SDHC	Citrate cycle (TCA cycle)
hsa00020	SUCLA2	Citrate cycle (TCA cycle)
hsa00020	SUCLG1	Citrate cycle (TCA cycle)
hsa00030	ALDOA	Pentose phosphate pathway
hsa00030	ALDOB	Pentose phosphate pathway
hsa00030	ALDOC	Pentose phosphate pathway
hsa00030	DERA	Pentose phosphate pathway
hsa00030	FBP1	Pentose phosphate pathway
hsa00030	FBP2	Pentose phosphate pathway
hsa00030	GLYCTK	Pentose phosphate pathway
hsa00030	GPI	Pentose phosphate pathway
hsa00030	H6PD	Pentose phosphate pathway
hsa00030	IDNK	Pentose phosphate pathway
hsa00030	PFKL	Pentose phosphate pathway
hsa00030	PFKM	Pentose phosphate pathway
hsa00030	PFKP	Pentose phosphate pathway
hsa00030	PGD	Pentose phosphate pathway
hsa00030	PGLS	Pentose phosphate pathway
hsa00030	PGM1	Pentose phosphate pathway
hsa00030	PGM2	Pentose phosphate pathway
hsa00030	RBKS	Pentose phosphate pathway
hsa00030	RPIA	Pentose phosphate pathway
hsa00030	TALDO1	Pentose phosphate pathway
hsa00030	TKT	Pentose phosphate pathway
hsa00030	TKTL2	Pentose phosphate pathway
hsa00040	AKR1A1	Pentose and glucuronate interconversions
hsa00040	AKR1B1	Pentose and glucuronate interconversions
hsa00040	AKR1B10	Pentose and glucuronate interconversions
hsa00040	CRYL1	Pentose and glucuronate interconversions
hsa00040	DCXR	Pentose and glucuronate interconversions
hsa00040	DHDH	Pentose and glucuronate interconversions
hsa00040	GUSB	Pentose and glucuronate interconversions
hsa00040	KL	Pentose and glucuronate interconversions
hsa00040	SORD	Pentose and glucuronate interconversions
hsa00040	UGDH	Pentose and glucuronate interconversions
hsa00040	UGP2	Pentose and glucuronate interconversions
hsa00040	UGT1A1	Pentose and glucuronate interconversions
hsa00040	UGT1A10	Pentose and glucuronate interconversions
hsa00040	UGT1A7	Pentose and glucuronate interconversions
hsa00040	UGT2A1	Pentose and glucuronate interconversions
hsa00040	UGT2A3	Pentose and glucuronate interconversions
hsa00040	UGT2B11	Pentose and glucuronate interconversions
hsa00040	UGT2B15	Pentose and glucuronate interconversions
hsa00040	UGT2B17	Pentose and glucuronate interconversions
hsa00040	UGT2B4	Pentose and glucuronate interconversions
hsa00040	UGT2B7	Pentose and glucuronate interconversions
hsa00040	XYLB	Pentose and glucuronate interconversions
hsa00051	AKR1B1	Fructose and mannose metabolism
hsa00051	AKR1B10	Fructose and mannose metabolism
hsa00051	ALDOA	Fructose and mannose metabolism
hsa00051	ALDOB	Fructose and mannose metabolism
hsa00051	ALDOC	Fructose and mannose metabolism
hsa00051	ENOSF1	Fructose and mannose metabolism
hsa00051	FBP1	Fructose and mannose metabolism
hsa00051	FBP2	Fructose and mannose metabolism
hsa00051	FPGT	Fructose and mannose metabolism
hsa00051	FUK	Fructose and mannose metabolism
hsa00051	GMDS	Fructose and mannose metabolism
hsa00051	GMPPA	Fructose and mannose metabolism
hsa00051	GMPPB	Fructose and mannose metabolism
hsa00051	HK1	Fructose and mannose metabolism
hsa00051	HK2	Fructose and mannose metabolism
hsa00051	HK3	Fructose and mannose metabolism
hsa00051	HKDC1	Fructose and mannose metabolism
hsa00051	KHK	Fructose and mannose metabolism
hsa00051	MPI	Fructose and mannose metabolism
hsa00051	PFKFB2	Fructose and mannose metabolism
hsa00051	PFKFB3	Fructose and mannose metabolism
hsa00051	PFKFB4	Fructose and mannose metabolism
hsa00051	PFKL	Fructose and mannose metabolism
hsa00051	PFKM	Fructose and mannose metabolism
hsa00051	PFKP	Fructose and mannose metabolism
hsa00051	PMM1	Fructose and mannose metabolism
hsa00051	PMM2	Fructose and mannose metabolism
hsa00051	SORD	Fructose and mannose metabolism
hsa00051	TIGAR	Fructose and mannose metabolism
hsa00051	TKFC	Fructose and mannose metabolism
hsa00051	TPI1	Fructose and mannose metabolism
hsa00051	TSTA3	Fructose and mannose metabolism
hsa00052	AKR1B1	Galactose metabolism
hsa00052	AKR1B10	Galactose metabolism
hsa00052	B4GALT1	Galactose metabolism
hsa00052	B4GALT2	Galactose metabolism
hsa00052	G6PC	Galactose metabolism
hsa00052	G6PC2	Galactose metabolism
hsa00052	G6PC3	Galactose metabolism
hsa00052	GAA	Galactose metabolism
hsa00052	GALE	Galactose metabolism
hsa00052	GALK1	Galactose metabolism
hsa00052	GALM	Galactose metabolism
hsa00052	GALT	Galactose metabolism
hsa00052	GCK	Galactose metabolism
hsa00052	GLB1	Galactose metabolism
hsa00052	HK1	Galactose metabolism
hsa00052	HK2	Galactose metabolism
hsa00052	HK3	Galactose metabolism
