id	feature	name
siv_modules:1	ADAR	red
siv_modules:1	AGRN	red
siv_modules:1	ANKRD22	red
siv_modules:1	APOL2	red
siv_modules:1	ASRGL1	red
siv_modules:1	AZI2	red
siv_modules:1	BATF	red
siv_modules:1	BCL2L14	red
siv_modules:1	BST2	red
siv_modules:1	CASP1	red
siv_modules:1	CD164	red
siv_modules:1	CD38	red
siv_modules:1	CHST12	red
siv_modules:1	CNP	red
siv_modules:1	COL1A2	red
siv_modules:1	COL3A1	red
siv_modules:1	CPOX	red
siv_modules:1	CXCL10	red
siv_modules:1	DDX58	red
siv_modules:1	DPF3	red
siv_modules:1	DTL	red
siv_modules:1	DTX3L	red
siv_modules:1	EIF2AK2	red
siv_modules:1	ENPP2	red
siv_modules:1	ETV5	red
siv_modules:1	EXTL2	red
siv_modules:1	FBXO6	red
siv_modules:1	FGFR1OP2	red
siv_modules:1	FHL2	red
siv_modules:1	FOXN1	red
siv_modules:1	GBP2	red
siv_modules:1	GCNT1	red
siv_modules:1	GDAP1L1	red
siv_modules:1	GTPBP1	red
siv_modules:1	HERC5	red
siv_modules:1	HERC6	red
siv_modules:1	HRASLS2	red
siv_modules:1	HSH2D	red
siv_modules:1	HSPA1A	red
siv_modules:1	ICOS	red
siv_modules:1	IDH3A	red
siv_modules:1	IFI16	red
siv_modules:1	IFI35	red
siv_modules:1	IFI44L	red
siv_modules:1	IFIH1	red
siv_modules:1	IFIT3	red
siv_modules:1	IRF2	red
siv_modules:1	IRF7	red
siv_modules:1	LACTB	red
siv_modules:1	LAP3	red
siv_modules:1	LGALS8	red
siv_modules:1	LIPC	red
siv_modules:1	LYSMD2	red
siv_modules:1	ME2	red
siv_modules:1	MLKL	red
siv_modules:1	MPZL1	red
siv_modules:1	MX1	red
siv_modules:1	MX2	red
siv_modules:1	MYC	red
siv_modules:1	NAPA	red
siv_modules:1	NFE2L3	red
siv_modules:1	NMI	red
siv_modules:1	NRN1	red
siv_modules:1	OAS2	red
siv_modules:1	OAS3	red
siv_modules:1	OASL	red
siv_modules:1	P2RX7	red
siv_modules:1	P4HA2	red
siv_modules:1	PARP11	red
siv_modules:1	PARP12	red
siv_modules:1	PARP9	red
siv_modules:1	PGC	red
siv_modules:1	PHF11	red
siv_modules:1	PI4K2B	red
siv_modules:1	PIM1	red
siv_modules:1	PLA2G4C	red
siv_modules:1	PLSCR1	red
siv_modules:1	PML	red
siv_modules:1	PPM1K	red
siv_modules:1	PPP2R2A	red
siv_modules:1	PSMB10	red
siv_modules:1	PSMB8	red
siv_modules:1	PSMB9	red
siv_modules:1	RNASEL	red
siv_modules:1	RSAD2	red
siv_modules:1	SAMD9	red
siv_modules:1	SAMD9L	red
siv_modules:1	SECTM1	red
siv_modules:1	SNTB1	red
siv_modules:1	SNX27	red
siv_modules:1	SOCS2	red
siv_modules:1	SP100	red
siv_modules:1	STAT1	red
siv_modules:1	STAT2	red
siv_modules:1	STAT3	red
siv_modules:1	STX17	red
siv_modules:1	SUCNR1	red
siv_modules:1	TDRD7	red
siv_modules:1	TINF2	red
siv_modules:1	TMEM70	red
siv_modules:1	TRAFD1	red
siv_modules:1	TRIM14	red
siv_modules:1	TRIM5	red
siv_modules:1	UPP1	red
siv_modules:1	USP18	red
siv_modules:1	USP25	red
siv_modules:1	VAMP5	red
siv_modules:1	ZBP1	red
siv_modules:1	ZCCHC2	red
siv_modules:2	A4GALT	turquoise
siv_modules:2	ABCA8	turquoise
siv_modules:2	ABCB1	turquoise
siv_modules:2	ACSL1	turquoise
siv_modules:2	ACSL6	turquoise
siv_modules:2	ADAM15	turquoise
siv_modules:2	ADAM9	turquoise
siv_modules:2	ADH5	turquoise
siv_modules:2	ADM	turquoise
siv_modules:2	AGBL2	turquoise
siv_modules:2	AHR	turquoise
siv_modules:2	AKAP2	turquoise
siv_modules:2	ALDH1A1	turquoise
siv_modules:2	ALDH3A2	turquoise
siv_modules:2	ALOX5	turquoise
