id	feature	name
vip:0002001	ABAT	ADV
vip:0002001	ABHD12	ADV
vip:0002001	ANKRD13A	ADV
vip:0002001	ANP32A	ADV
vip:0002001	ATP2A2	ADV
vip:0002001	ATRIP	ADV
vip:0002001	ATXN2	ADV
vip:0002001	BAG3	ADV
vip:0002001	BIK	ADV
vip:0002001	BNIP3	ADV
vip:0002001	BSG	ADV
vip:0002001	CAD	ADV
vip:0002001	CARD10	ADV
vip:0002001	CASP8	ADV
vip:0002001	CCT6A	ADV
vip:0002001	CD80	ADV
vip:0002001	CD86	ADV
vip:0002001	CDC25A	ADV
vip:0002001	CDCP1	ADV
vip:0002001	CSPG4	ADV
vip:0002001	CSPP1	ADV
vip:0002001	CSRP2	ADV
vip:0002001	CTBP1	ADV
vip:0002001	CTBP2	ADV
vip:0002001	CUL1	ADV
vip:0002001	CXADR	ADV
vip:0002001	DDOST	ADV
vip:0002001	DEFA5	ADV
vip:0002001	DFFA	ADV
vip:0002001	DLG1	ADV
vip:0002001	DNAJC1	ADV
vip:0002001	DNMT1	ADV
vip:0002001	DOCK5	ADV
vip:0002001	DSG2	ADV
vip:0002001	DYRK1A	ADV
vip:0002001	DYRK1B	ADV
vip:0002001	E2F3	ADV
vip:0002001	E4F1	ADV
vip:0002001	EFCAB5	ADV
vip:0002001	ENG	ADV
vip:0002001	EPS8	ADV
vip:0002001	ERGIC1	ADV
vip:0002001	ETV4	ADV
vip:0002001	F10	ADV
vip:0002001	F7	ADV
vip:0002001	FKBP4	ADV
vip:0002001	FOXK1	ADV
vip:0002001	FUBP3	ADV
vip:0002001	GJA1	ADV
vip:0002001	GLIPR1	ADV
vip:0002001	GLIPR2	ADV
vip:0002001	GNG2	ADV
vip:0002001	GTF2E1	ADV
vip:0002001	GTF2E2	ADV
vip:0002001	GZMB	ADV
vip:0002001	HSD17B4	ADV
vip:0002001	HSPB6	ADV
vip:0002001	IGF2BP2	ADV
vip:0002001	IGF2BP3	ADV
vip:0002001	IGF2R	ADV
vip:0002001	IKBIP	ADV
vip:0002001	IMMT	ADV
vip:0002001	ITGA3	ADV
vip:0002001	ITGB5	ADV
vip:0002001	KAT2A	ADV
vip:0002001	LAMTOR1	ADV
vip:0002001	LARP4	ADV
vip:0002001	LOX	ADV
vip:0002001	MAD2L2	ADV
vip:0002001	MBOAT7	ADV
vip:0002001	MCRIP1	ADV
vip:0002001	MDM4	ADV
vip:0002001	MED23	ADV
vip:0002001	MED26	ADV
vip:0002001	MED28	ADV
vip:0002001	MLEC	ADV
vip:0002001	MMP14	ADV
vip:0002001	MOGS	ADV
vip:0002001	MPDZ	ADV
vip:0002001	MPZL1	ADV
vip:0002001	MRE11	ADV
vip:0002001	MSH3	ADV
vip:0002001	MSH6	ADV
vip:0002001	MTCH2	ADV
vip:0002001	MYOF	ADV
vip:0002001	NBN	ADV
vip:0002001	NCEH1	ADV
vip:0002001	NDUFA4	ADV
vip:0002001	NFIA	ADV
vip:0002001	NFIB	ADV
vip:0002001	NFIX	ADV
vip:0002001	NPTN	ADV
vip:0002001	NUP205	ADV
vip:0002001	NXF1	ADV
vip:0002001	PBXIP1	ADV
vip:0002001	PGRMC2	ADV
vip:0002001	PHF13	ADV
vip:0002001	POU2F1	ADV
vip:0002001	PPM1B	ADV
vip:0002001	PPP2R2A	ADV
vip:0002001	PREB	ADV
vip:0002001	PRKAR1A	ADV
vip:0002001	PRKAR2A	ADV
vip:0002001	PRKAR2B	ADV
vip:0002001	PSMB10	ADV
vip:0002001	PSMC5	ADV
vip:0002001	PTK7	ADV
vip:0002001	PTPRC	ADV
vip:0002001	PTTG1IP	ADV
vip:0002001	RAB34	ADV
vip:0002001	RAB5C	ADV
vip:0002001	RAN	ADV
vip:0002001	RAP1A	ADV
vip:0002001	RARB	ADV
vip:0002001	RBBP8	ADV
vip:0002001	RBL1	ADV
vip:0002001	RBMS1	ADV
vip:0002001	RBMS2	ADV
vip:0002001	RBPMS	ADV
vip:0002001	RCN1	ADV
vip:0002001	RFTN1	ADV
vip:0002001	RNF20	ADV
vip:0002001	RTN4	ADV
vip:0002001	S100A6	ADV
vip:0002001	SACM1L	ADV
vip:0002001	SAE1	ADV
vip:0002001	SCAMP4	ADV
vip:0002001	SDHA	ADV
vip:0002001	SEC61B	ADV
vip:0002001	SLC2A1	ADV
vip:0002001	SLC9A3R2	ADV
vip:0002001	SORT1	ADV
vip:0002001	SPRY1	ADV
vip:0002001	SQRDL	ADV
vip:0002001	SRCAP	ADV
vip:0002001	SRPRA	ADV
vip:0002001	SRPRB	ADV
vip:0002001	SRSF1	ADV
vip:0002001	SRSF9	ADV
vip:0002001	STIM1	ADV
vip:0002001	STT3A	ADV
vip:0002001	TAF4	ADV
vip:0002001	TMEM165	ADV
vip:0002001	TMEM30A	ADV
vip:0002001	TMEM43	ADV
vip:0002001	TMEM55A	ADV
vip:0002001	TMPO	ADV
vip:0002001	TMX3	ADV
vip:0002001	TPP1	ADV
vip:0002001	TRIM24	ADV
vip:0002001	TRIM33	ADV
vip:0002001	TRRAP	ADV
vip:0002001	UPF1	ADV
vip:0002001	USMG5	ADV
vip:0002001	VKORC1	ADV
vip:0002001	WRN	ADV
vip:0002001	XPO5	ADV
vip:0002002	ABCD3	DENV
vip:0002002	AKAP9	DENV
vip:0002002	ANKRD50	DENV
vip:0002002	ARF4	DENV
vip:0002002	ARHGEF2	DENV
vip:0002002	ATP2A2	DENV
vip:0002002	BIRC2	DENV
vip:0002002	BRAT1	DENV
vip:0002002	C1QA	DENV
vip:0002002	C1QB	DENV
vip:0002002	C1QC	DENV
vip:0002002	C1S	DENV
vip:0002002	C4BPA	DENV
vip:0002002	CAV1	DENV
vip:0002002	CCAR2	DENV
vip:0002002	COPG2	DENV
vip:0002002	COPS2	DENV
vip:0002002	COQ8A	DENV
vip:0002002	CYTIP	DENV
vip:0002002	DAXX	DENV
vip:0002002	DCUN1D4	DENV
vip:0002002	DDX5	DENV
vip:0002002	DPM1	DENV
vip:0002002	DYNC1H1	DENV
vip:0002002	EARS2	DENV
vip:0002002	EID1	DENV
vip:0002002	ERLIN2	DENV
vip:0002002	FAF2	DENV
vip:0002002	FAM192A	DENV
vip:0002002	FASN	DENV
vip:0002002	FCGR2A	DENV
vip:0002002	HEATR1	DENV
vip:0002002	KIAA0368	DENV
vip:0002002	KIAA1524	DENV
vip:0002002	KNTC1	DENV
vip:0002002	KPNB1	DENV
vip:0002002	MAPRE2	DENV
vip:0002002	MMS19	DENV
vip:0002002	MTOR	DENV
vip:0002002	MYCBP2	DENV
vip:0002002	NCLN	DENV
vip:0002002	NCR2	DENV
vip:0002002	NEFH	DENV
vip:0002002	NF1	DENV
vip:0002002	NFKBIB	DENV
vip:0002002	NRBP1	DENV
vip:0002002	PHGDH	DENV
vip:0002002	PTBP1	DENV
vip:0002002	RILPL2	DENV
vip:0002002	RNF213	DENV
vip:0002002	RPL18	DENV
vip:0002002	RPS27A	DENV
vip:0002002	SDC2	DENV
vip:0002002	SERPINH1	DENV
vip:0002002	SFXN1	DENV
vip:0002002	SLC25A11	DENV
vip:0002002	SLC25A13	DENV
vip:0002002	SLC25A3	DENV
vip:0002002	SLIRP	DENV
vip:0002002	SPTLC1	DENV
vip:0002002	STAT2	DENV
vip:0002002	SURF4	DENV
vip:0002002	TECR	DENV
vip:0002002	TELO2	DENV
vip:0002002	TIMM50	DENV
vip:0002002	TJP1	DENV
vip:0002002	TUBB	DENV
vip:0002002	UBR4	DENV
vip:0002002	XPO1	DENV
vip:0002002	XPO7	DENV
vip:0002002	XPOT	DENV
vip:0002002	ZNF394	DENV
vip:0002002	ZW10	DENV
vip:0002003	ADA	EBOV
vip:0002003	ATP1A1	EBOV
vip:0002003	ATP2A2	EBOV
vip:0002003	ATXN2L	EBOV
vip:0002003	BAZ1B	EBOV
vip:0002003	BORCS7	EBOV
vip:0002003	BSG	EBOV
vip:0002003	CCAR2	EBOV
vip:0002003	CCT7	EBOV
vip:0002003	CGGBP1	EBOV
vip:0002003	CLEC4G	EBOV
vip:0002003	CLEC6A	EBOV
vip:0002003	COX5B	EBOV
vip:0002003	EDC4	EBOV
vip:0002003	EEF1A2	EBOV
vip:0002003	GART	EBOV
vip:0002003	H2AFJ	EBOV
vip:0002003	H3F3A	EBOV
vip:0002003	HAVCR1	EBOV
vip:0002003	HIST1H2BN	EBOV
vip:0002003	HIST2H2AC	EBOV
vip:0002003	HIST2H2BF	EBOV
vip:0002003	HIST3H2A	EBOV
vip:0002003	HNRNPA1L2	EBOV
vip:0002003	HNRNPF	EBOV
vip:0002003	HNRNPH3	EBOV
vip:0002003	HNRNPL	EBOV
vip:0002003	ILF3	EBOV
vip:0002003	IQGAP1	EBOV
vip:0002003	KLHL7	EBOV
vip:0002003	KPNA1	EBOV
vip:0002003	KPNA6	EBOV
vip:0002003	MYO5A	EBOV
vip:0002003	MYO5C	EBOV
vip:0002003	NEFH	EBOV
vip:0002003	NPC1	EBOV
vip:0002003	PHGDH	EBOV
vip:0002003	PIAS1	EBOV
vip:0002003	PIP	EBOV
vip:0002003	PPAN	EBOV
vip:0002003	PPM1A	EBOV
vip:0002003	PRKDC	EBOV
vip:0002003	RAB11B	EBOV
vip:0002003	RPL22	EBOV
vip:0002003	RPLP0	EBOV
vip:0002003	RPLP1	EBOV
vip:0002003	RPS17	EBOV
vip:0002003	RPS20	EBOV
vip:0002003	RPS27L	EBOV
vip:0002003	SEC24C	EBOV
vip:0002003	SEC61A1	EBOV
vip:0002003	SLC25A3	EBOV
vip:0002003	SMARCC2	EBOV
vip:0002003	SMPD1	EBOV
vip:0002003	SPOP	EBOV
vip:0002003	SPTLC1	EBOV
vip:0002003	SSR3	EBOV
vip:0002003	STAT1	EBOV
vip:0002003	TCP1	EBOV
vip:0002003	TMED10	EBOV
vip:0002003	TOP1	EBOV
vip:0002003	TUBA1A	EBOV
vip:0002003	UQCRH	EBOV
vip:0002003	VDAC2	EBOV
vip:0002003	YME1L1	EBOV
vip:0002004	ABCA13	EBV
vip:0002004	ABHD12	EBV
vip:0002004	ABLIM3	EBV
vip:0002004	ACSL3	EBV
vip:0002004	ADAM9	EBV
vip:0002004	ADCY6	EBV
vip:0002004	ADCY9	EBV
vip:0002004	ADNP	EBV
vip:0002004	ADRM1	EBV
vip:0002004	AHR	EBV
vip:0002004	AIP	EBV
vip:0002004	AKAP12	EBV
vip:0002004	AKAP8L	EBV
vip:0002004	ALG1	EBV
vip:0002004	ALG5	EBV
vip:0002004	ANK3	EBV
vip:0002004	ANKRD13A	EBV
vip:0002004	ANKRD40	EBV
vip:0002004	APMAP	EBV
vip:0002004	ARHGAP1	EBV
vip:0002004	ARHGDIA	EBV
vip:0002004	ARID3A	EBV
vip:0002004	ARL1	EBV
vip:0002004	ASPH	EBV
vip:0002004	ATF1	EBV
vip:0002004	ATF7	EBV
vip:0002004	ATP13A3	EBV
vip:0002004	ATP2A2	EBV
vip:0002004	ATP2B4	EBV
vip:0002004	ATP2C1	EBV
vip:0002004	ATP5A1	EBV
vip:0002004	ATP5C1	EBV
vip:0002004	ATP5H	EBV
vip:0002004	ATP5J	EBV
vip:0002004	ATP5L	EBV
vip:0002004	ATP5O	EBV
