Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
vip:0002003	['EBOV']	4	0.207390	4.269582	0.000060	1.000000	0.000380	1.000000	0.000960	1.000000	['ATP2A2', 'KPNA6', 'PRKDC', 'TUBA1A']
vip:0002012	['IAV']	14	4.438110	1.657409	0.000150	0.999980	0.000470	1.000000	0.001200	1.000000	['AKAP8L', 'ATP2A2', 'ATXN2', 'DDX23', 'GPN3', 'KPNA6', 'LARP4', 'MVP', 'PRKDC', 'PRPSAP2', 'SDF2', 'SF3B4', 'TUBA1A', 'XPO1']
vip:0002008	['HIV']	10	4.213760	1.246820	0.009040	0.997000	0.020087	1.000000	0.048213	1.000000	['AKAP8L', 'ANAPC7', 'ATP2A2', 'EPN2', 'KCNH3', 'PRKDC', 'SDF2', 'SPATS2', 'TUBA1A', 'VPS35']
vip:0002001	['ADV']	4	1.006200	1.991083	0.017690	0.997080	0.035430	1.000000	0.070759	1.000000	['ATP2A2', 'ATXN2', 'LARP4', 'SRCAP']
vip:0002010	['HSV']	4	1.242590	1.686650	0.035210	0.992320	0.062632	1.000000	0.102939	1.000000	['ATP2A2', 'KMT2D', 'MCRS1', 'TUBA1A']
vip:0002007	['HCV']	5	1.926040	1.376290	0.043160	0.987920	0.063792	1.000000	0.102939	1.000000	['AKAP8L', 'ATP2A2', 'PPP1R13L', 'PRKDC', 'SRCAP']
vip:0002002	['DENV']	2	0.356560	2.487783	0.048620	0.995050	0.063792	1.000000	0.102939	1.000000	['ATP2A2', 'XPO1']
vip:0002014	['SV40']	3	0.844720	1.828417	0.051469	0.990390	0.063792	1.000000	0.102939	1.000000	['ATP2A2', 'BRAP', 'DIP2B']
vip:0002006	['HCMV']	1	0.210310	2.249411	0.191058	0.981920	0.206797	1.000000	0.339659	1.000000	['TUBA1A']
vip:0002015	['VACV']	1	0.329340	1.602350	0.281947	0.957190	0.309903	1.000000	0.451115	1.000000	['TUBA1A']
vip:0002013	['KSHV']	4	3.086120	0.374206	0.370486	0.806862	0.369158	1.000000	0.538889	1.000000	['GPN3', 'IFT81', 'SDF2', 'TUBA1A']
vip:0002011	['HTLV']	1	0.597240	0.743617	0.452335	0.879841	0.396245	1.000000	0.562801	1.000000	['REL']
vip:0002004	['EBV']	5	4.433470	0.173492	0.457275	0.719123	0.396245	1.000000	0.562801	1.000000	['AKAP8L', 'ATF7', 'ATP2A2', 'ATXN2', 'NCKAP5L']
vip:0002005	['HBV']	1	0.935760	0.095790	0.616054	0.761252	0.468725	1.000000	0.704062	1.000000	['SDF2']
vip:0002009	['HPV']	3	3.434060	-0.194953	0.676423	0.548945	0.503877	1.000000	0.721518	1.000000	['ATP2A2', 'SNX14', 'VPS29']
vip:0002016	['Coronaviruses']	0	0.188610		1.000000	0.827582	1.000000	1.000000	1.000000	1.000000	None
