Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
hsa05144	['Malaria']	2	0.139370	3.843008	0.008010	0.999720	1.000000	1.000000	1.000000	0.999720	['CD36', 'THBS3']
hsa04131	['Membrane trafficking']	19	11.233600	0.758179	0.013600	0.993650	1.000000	1.000000	1.000000	0.999720	['ARHGAP15', 'ARHGEF39', 'BAIAP2', 'CD36', 'DLC1', 'DOCK8', 'FYCO1', 'MANF', 'NBAS', 'NCAM2', 'PACS2', 'PEX14', 'PI4K2A', 'STX2', 'TBC1D7', 'THBS3', 'TRAPPC12', 'TRAPPC9', 'VPS4A']
hsa04090	['CD molecules']	5	1.733310	1.528398	0.029060	0.992280	1.000000	1.000000	1.000000	0.999720	['CCR3', 'CD36', 'CXCR6', 'LILRA4', 'NCAM2']
hsa04621	['NOD-like receptor signaling pathway']	3	0.767780	1.966198	0.039440	0.993270	1.000000	1.000000	1.000000	0.999720	['ITPR1', 'TAB2', 'TRPM7']
hsa00511	['Other glycan degradation']	1	0.055490	4.171628	0.054149	0.998660	1.000000	1.000000	1.000000	0.999720	['GBA']
hsa04218	['Cellular senescence']	3	0.879170	1.770748	0.056619	0.989110	1.000000	1.000000	1.000000	0.999720	['HIPK2', 'ITPR1', 'TRPM7']
hsa01001	['Protein kinases']	9	4.940310	0.865323	0.057409	0.975380	1.000000	1.000000	1.000000	0.999720	['BRD3', 'BRDT', 'GRK4', 'HIPK2', 'LRRK1', 'NRBP1', 'PAK2', 'STK33', 'TRPM7']
hsa04050	['Cytokine receptors']	2	0.395990	2.336464	0.059379	0.992080	1.000000	1.000000	1.000000	0.999720	['CCR3', 'CXCR6']
hsa04512	['ECM-receptor interaction']	3	0.919350	1.706276	0.062389	0.987330	1.000000	1.000000	1.000000	0.999720	['CD36', 'COL4A4', 'THBS3']
hsa00910	['Nitrogen metabolism']	1	0.067230	3.894751	0.065419	0.998210	1.000000	1.000000	1.000000	0.999720	['CA5A']
hsa00020	['Citrate cycle (TCA cycle)']	1	0.089480	3.482291	0.085999	0.996570	1.000000	1.000000	1.000000	0.999720	['ACO2']
hsa04217	['Necroptosis']	2	0.491080	2.025970	0.086669	0.987360	1.000000	1.000000	1.000000	0.999720	['TRPM7', 'VPS4A']
hsa03029	['Mitochondrial biogenesis']	4	1.691120	1.242021	0.087049	0.973500	1.000000	1.000000	1.000000	0.999720	['MTX1', 'SNX25', 'TFB1M', 'TRMT10C']
hsa04145	['Phagosome']	2	0.498970	2.002975	0.089309	0.986360	1.000000	1.000000	1.000000	0.999720	['CD36', 'THBS3']
hsa04010	['MAPK signaling pathway']	5	2.449530	1.029423	0.096469	0.966200	1.000000	1.000000	1.000000	0.999720	['CACNA1I', 'CACNG6', 'MEF2C', 'PAK2', 'TAB2']
hsa05130	['Pathogenic Escherichia coli infection']	3	1.091280	1.458941	0.096609	0.976170	1.000000	1.000000	1.000000	0.999720	['BAIAP2', 'PAK2', 'TAB2']
hsa03000	['Transcription factors']	8	4.706030	0.765489	0.098779	0.954650	1.000000	1.000000	1.000000	0.999720	['CUX2', 'EBF1', 'EMX1', 'ERG', 'GLIS3', 'IRF4', 'MEF2C', 'ZNF879']
hsa05410	['Hypertrophic cardiomyopathy (HCM)']	3	1.149560	1.383881	0.103339	0.975300	1.000000	1.000000	1.000000	0.999720	['CACNG6', 'RYR2', 'SGCD']
hsa04350	['TGF-beta signaling pathway']	2	0.567350	1.817689	0.108299	0.982780	1.000000	1.000000	1.000000	0.999720	['LTBP1', 'SMAD6']
hsa04142	['Lysosome']	2	0.567590	1.817079	0.109289	0.981960	1.000000	1.000000	1.000000	0.999720	['GAA', 'GBA']
hsa05414	['Dilated cardiomyopathy (DCM)']	3	1.202440	1.318998	0.115649	0.971220	1.000000	1.000000	1.000000	0.999720	['CACNG6', 'RYR2', 'SGCD']
hsa05032	['Morphine addiction']	3	1.190610	1.333262	0.117159	0.969290	1.000000	1.000000	1.000000	0.999720	['GABRB3', 'GRK4', 'PDE3A']
hsa05170	['Human immunodeficiency virus 1 infection']	3	1.207700	1.312700	0.119849	0.968490	1.000000	1.000000	1.000000	0.999720	['ITPR1', 'PAK2', 'TAB2']
hsa04921	['Oxytocin signaling pathway']	4	1.906500	1.069073	0.120739	0.960580	1.000000	1.000000	1.000000	0.999720	['CACNG6', 'ITPR1', 'MEF2C', 'RYR2']
hsa00052	['Galactose metabolism']	1	0.129980	2.943638	0.122419	0.992750	1.000000	1.000000	1.000000	0.999720	['GAA']
hsa04975	['Fat digestion and absorption']	1	0.133520	2.904872	0.124409	0.991430	1.000000	1.000000	1.000000	0.999720	['CD36']
hsa00140	['Steroid hormone biosynthesis']	1	0.138450	2.852563	0.130049	0.991900	1.000000	1.000000	1.000000	0.999720	['SULT2B1']
hsa05412	['Arrhythmogenic right ventricular cardiomyopathy (ARVC)']	3	1.279330	1.229574	0.131529	0.965370	1.000000	1.000000	1.000000	0.999720	['CACNG6', 'RYR2', 'SGCD']
hsa04040	['Ion channels']	6	3.460570	0.793953	0.131929	0.943711	1.000000	1.000000	1.000000	0.999720	['CACNA1I', 'CACNG6', 'GABRB3', 'ITPR1', 'RYR2', 'TRPM7']
hsa04380	['Osteoclast differentiation']	2	0.651570	1.618008	0.137279	0.972990	1.000000	1.000000	1.000000	0.999720	['LILRA4', 'TAB2']
hsa04062	['Chemokine signaling pathway']	3	1.294800	1.212233	0.139579	0.961210	1.000000	1.000000	1.000000	0.999720	['CCR3', 'CXCR6', 'GRK4']
hsa04130	['SNARE interactions in vesicular transport']	1	0.150460	2.732548	0.140699	0.990570	1.000000	1.000000	1.000000	0.999720	['STX2']
hsa00630	['Glyoxylate and dicarboxylate metabolism']	1	0.156360	2.677057	0.146159	0.990140	1.000000	1.000000	1.000000	0.999720	['ACO2']
hsa04371	['Apelin signaling pathway']	3	1.336020	1.167021	0.147019	0.957110	1.000000	1.000000	1.000000	0.999720	['ITPR1', 'MEF2C', 'RYR2']
hsa00250	['Alanine, aspartate and glutamate metabolism']	1	0.161600	2.629501	0.150108	0.989010	1.000000	1.000000	1.000000	0.999720	['CAD']
hsa04061	['Viral protein interaction with cytokine and cytokine receptor']	1	0.164680	2.602263	0.151838	0.987960	1.000000	1.000000	1.000000	0.999720	['CCR3']
hsa04723	['Retrograde endocannabinoid signaling']	3	1.361890	1.139352	0.155278	0.953420	1.000000	1.000000	1.000000	0.999720	['GABRB3', 'GRM1', 'ITPR1']
hsa04927	['Cortisol synthesis and secretion']	2	0.722850	1.468232	0.161798	0.965960	1.000000	1.000000	1.000000	0.999720	['CACNA1I', 'ITPR1']
hsa04060	['Cytokine-cytokine receptor interaction']	2	0.727350	1.459278	0.164078	0.962490	1.000000	1.000000	1.000000	0.999720	['CCR3', 'CXCR6']
hsa04924	['Renin secretion']	2	0.747010	1.420801	0.170078	0.963530	1.000000	1.000000	1.000000	0.999720	['ITPR1', 'PDE3A']
hsa00500	['Starch and sucrose metabolism']	1	0.186470	2.422985	0.170898	0.985250	1.000000	1.000000	1.000000	0.999720	['GAA']
hsa04020	['Calcium signaling pathway']	4	2.195850	0.865220	0.174578	0.934701	1.000000	1.000000	1.000000	0.999720	['CACNA1I', 'GRM1', 'ITPR1', 'RYR2']
hsa03110	['Chaperones and folding catalysts']	2	0.761670	1.392762	0.177478	0.959930	1.000000	1.000000	1.000000	0.999720	['DNAJC11', 'PCSK2']
hsa00536	['Glycosaminoglycan binding proteins']	3	1.466060	1.033018	0.178878	0.943621	1.000000	1.000000	1.000000	0.999720	['COL4A4', 'NCAM2', 'THBS3']
hsa04713	['Circadian entrainment']	3	1.476930	1.022361	0.181208	0.944011	1.000000	1.000000	1.000000	0.999720	['CACNA1I', 'ITPR1', 'RYR2']
hsa04260	['Cardiac muscle contraction']	2	0.786420	1.346628	0.182008	0.960180	1.000000	1.000000	1.000000	0.999720	['CACNG6', 'RYR2']
hsa04114	['Oocyte meiosis']	2	0.780080	1.358306	0.182708	0.958370	1.000000	1.000000	1.000000	0.999720	['ITPR1', 'PPP2R5C']
hsa03009	['Ribosome biogenesis']	2	0.786850	1.345839	0.184658	0.957470	1.000000	1.000000	1.000000	0.999720	['TFB1M', 'UTP4']
hsa04978	['Mineral absorption']	1	0.215360	2.215178	0.195478	0.981380	1.000000	1.000000	1.000000	0.999720	['TRPM7']
hsa04261	['Adrenergic signaling in cardiomyocytes']	3	1.535550	0.966207	0.196388	0.934841	1.000000	1.000000	1.000000	0.999720	['CACNG6', 'PPP2R5C', 'RYR2']
hsa04147	['Exosome']	6	3.928690	0.610914	0.200588	0.901011	1.000000	1.000000	1.000000	0.999720	['CD36', 'COL4A4', 'GAA', 'LTF', 'STX2', 'THBS3']
hsa00532	['Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate']	1	0.220450	2.181477	0.200938	0.981480	1.000000	1.000000	1.000000	0.999720	['CHST11']
hsa04972	['Pancreatic secretion']	2	0.834130	1.261656	0.202058	0.951780	1.000000	1.000000	1.000000	0.999720	['ITPR1', 'RYR2']
hsa04929	['GnRH secretion']	2	0.845530	1.242072	0.205468	0.949911	1.000000	1.000000	1.000000	0.999720	['CACNA1I', 'ITPR1']
hsa05140	['Leishmaniasis']	1	0.231270	2.112350	0.208208	0.978670	1.000000	1.000000	1.000000	0.999720	['TAB2']
hsa05020	['Prion diseases']	1	0.229850	2.121235	0.209008	0.980210	1.000000	1.000000	1.000000	0.999720	['NCAM2']
hsa04022	['cGMP-PKG signaling pathway']	3	1.616200	0.892357	0.217228	0.924111	1.000000	1.000000	1.000000	0.999720	['ITPR1', 'MEF2C', 'PDE3A']
hsa04152	['AMPK signaling pathway']	2	0.884410	1.177213	0.221528	0.941971	1.000000	1.000000	1.000000	0.999720	['CD36', 'PPP2R5C']
hsa05135	['Yersinia infection']	2	0.895050	1.159960	0.224558	0.940641	1.000000	1.000000	1.000000	0.999720	['BAIAP2', 'TAB2']
hsa04657	['IL-17 signaling pathway']	1	0.252550	1.985359	0.224598	0.974220	1.000000	1.000000	1.000000	0.999720	['TAB2']
hsa03460	['Fanconi anemia pathway']	1	0.258520	1.951652	0.229078	0.972940	1.000000	1.000000	1.000000	0.999720	['POLN']
hsa03008	['Ribosome biogenesis in eukaryotes']	1	0.263640	1.923359	0.234048	0.972380	1.000000	1.000000	1.000000	0.999720	['UTP4']
hsa04720	['Long-term potentiation']	2	0.932240	1.101227	0.238128	0.936661	1.000000	1.000000	1.000000	0.999720	['GRM1', 'ITPR1']
hsa04640	['Hematopoietic cell lineage']	1	0.281400	1.829306	0.245428	0.967160	1.000000	1.000000	1.000000	0.999720	['CD36']
hsa04979	['Cholesterol metabolism']	1	0.282380	1.824290	0.248338	0.968850	1.000000	1.000000	1.000000	0.999720	['CD36']
hsa05167	['Kaposi sarcoma-associated herpesvirus infection']	2	1.001070	0.998457	0.263877	0.922401	1.000000	1.000000	1.000000	0.999720	['CCR3', 'ITPR1']
hsa00600	['Sphingolipid metabolism']	1	0.304630	1.714870	0.264697	0.963430	1.000000	1.000000	1.000000	0.999720	['GBA']
hsa03320	['PPAR signaling pathway']	1	0.306300	1.706983	0.265017	0.962630	1.000000	1.000000	1.000000	0.999720	['CD36']
hsa00240	['Pyrimidine metabolism']	1	0.306760	1.704818	0.268757	0.964650	1.000000	1.000000	1.000000	0.999720	['CAD']
hsa04540	['Gap junction']	2	1.022430	0.967998	0.273037	0.921261	1.000000	1.000000	1.000000	0.999720	['GRM1', 'ITPR1']
hsa01009	['Protein phosphatases and associated proteins']	6	4.397410	0.448308	0.273427	0.853291	1.000000	1.000000	1.000000	0.999720	['GRM1', 'ITPR1', 'PPM1G', 'PPP2R5C', 'PTPRA', 'PTPRD']
hsa04730	['Long-term depression']	2	1.026250	0.962618	0.274367	0.920551	1.000000	1.000000	1.000000	0.999720	['GRM1', 'ITPR1']
hsa04620	['Toll-like receptor signaling pathway']	1	0.324410	1.624110	0.279047	0.958960	1.000000	1.000000	1.000000	0.999720	['TAB2']
hsa04928	['Parathyroid hormone synthesis, secretion and action']	2	1.051270	0.927867	0.284087	0.914041	1.000000	1.000000	1.000000	0.999720	['ITPR1', 'MEF2C']
hsa04030	['G protein-coupled receptors']	3	1.862740	0.687536	0.286577	0.885061	1.000000	1.000000	1.000000	0.999720	['CCR3', 'CXCR6', 'GRM1']
hsa04915	['Estrogen signaling pathway']	2	1.069560	0.902983	0.291027	0.911341	1.000000	1.000000	1.000000	0.999720	['GRM1', 'ITPR1']
hsa04146	['Peroxisome']	1	0.341900	1.548354	0.291367	0.954430	1.000000	1.000000	1.000000	0.999720	['PEX14']
hsa04925	['Aldosterone synthesis and secretion']	2	1.095590	0.868292	0.300947	0.906771	1.000000	1.000000	1.000000	0.999720	['CACNA1I', 'ITPR1']
hsa05168	['Herpes simplex virus 1 infection']	2	1.100950	0.861251	0.301337	0.897761	1.000000	1.000000	1.000000	0.999720	['TAB2', 'ZNF879']
hsa03036	['Chromosome and associated proteins']	9	7.290870	0.303834	0.304587	0.806752	1.000000	1.000000	1.000000	0.999720	['BRD3', 'BRDT', 'BRPF3', 'CHTF8', 'EVC2', 'IFT172', 'PPP2R5C', 'SCML4', 'ZMYND11']
hsa05132	['Salmonella infection']	2	1.125290	0.829703	0.310767	0.899021	1.000000	1.000000	1.000000	0.999720	['FYCO1', 'TAB2']
hsa05202	['Transcriptional misregulation in cancer']	2	1.141050	0.809638	0.316407	0.895201	1.000000	1.000000	1.000000	0.999720	['ERG', 'MEF2C']
hsa05416	['Viral myocarditis']	1	0.378090	1.403198	0.320397	0.948101	1.000000	1.000000	1.000000	0.999720	['SGCD']
hsa04726	['Serotonergic synapse']	2	1.157240	0.789312	0.322577	0.892631	1.000000	1.000000	1.000000	0.999720	['GABRB3', 'ITPR1']
hsa04340	['Hedgehog signaling pathway']	1	0.388780	1.362974	0.323657	0.942051	1.000000	1.000000	1.000000	0.999720	['EVC2']
