Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
vip:0002008	['HIV']	7	4.457470	0.651130	0.155758	0.924231	1.000000	1.000000	1.000000	0.940321	['CCR3', 'CXCR6', 'ITPR1', 'LTF', 'PACS2', 'PAK2', 'PPM1G']
vip:0002001	['ADV']	2	1.061290	0.914181	0.286647	0.910691	1.000000	1.000000	1.000000	0.940321	['CAD', 'MCRIP1']
vip:0002002	['DENV']	1	0.396840	1.333371	0.329237	0.940321	1.000000	1.000000	1.000000	0.940321	['NRBP1']
vip:0002012	['IAV']	6	4.690840	0.355116	0.329747	0.813222	1.000000	1.000000	1.000000	0.940321	['DNAJC11', 'HDLBP', 'MTX1', 'PPM1G', 'TFB1M', 'TRAPPC9']
vip:0002011	['HTLV']	1	0.608760	0.716055	0.460155	0.877311	1.000000	1.000000	1.000000	0.940321	['TAB2']
vip:0002009	['HPV']	4	3.600930	0.151630	0.489275	0.707973	1.000000	1.000000	1.000000	0.940321	['DNAJC11', 'SGCD', 'SNTB2', 'SNX17']
vip:0002014	['SV40']	1	0.876930	0.189466	0.588364	0.781772	1.000000	1.000000	1.000000	0.940321	['HDLBP']
vip:0002013	['KSHV']	3	3.177570	-0.082961	0.622904	0.606694	1.000000	1.000000	1.000000	0.940321	['CD36', 'TRMT10C', 'TRPM7']
vip:0002005	['HBV']	1	1.012330	-0.017680	0.644274	0.731853	1.000000	1.000000	1.000000	0.940321	['GAA']
vip:0002004	['EBV']	4	4.583130	-0.196333	0.681033	0.512065	1.000000	1.000000	1.000000	0.940321	['HDLBP', 'PEX14', 'PI4K2A', 'ZMYND11']
vip:0002010	['HSV']	1	1.283560	-0.360151	0.728703	0.630904	1.000000	1.000000	1.000000	0.940321	['EBF1']
vip:0002007	['HCV']	1	2.087690	-1.061908	0.881481	0.377716	1.000000	1.000000	1.000000	0.940321	['PPM1G']
vip:0002003	['EBOV']	0	0.230920		1.000000	0.792282	1.000000	1.000000	1.000000	0.940321	None
vip:0002006	['HCMV']	0	0.233850		1.000000	0.789992	1.000000	1.000000	1.000000	0.940321	None
vip:0002015	['VACV']	0	0.345500		1.000000	0.706643	1.000000	1.000000	1.000000	0.940321	None
vip:0002016	['Coronaviruses']	0	0.206460		1.000000	0.811972	1.000000	1.000000	1.000000	0.940321	None
