Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
hsa05144	['Malaria']	3	0.277280	3.435547	0.002730	0.999900	0.436730	1.000000	0.366476	0.999900	['CD36', 'THBS3']; ['THBS3']
hsa04621	['NOD-like receptor signaling pathway']	6	1.523470	1.977601	0.004170	0.999040	0.436730	1.000000	0.366476	0.999900	['ITPR1', 'TAB2', 'TRPM7']; ['CARD6', 'OAS2', 'TAB2']
hsa04371	['Apelin signaling pathway']	8	2.647950	1.595124	0.004710	0.998780	0.436730	1.000000	0.366476	0.999900	['ITPR1', 'MEF2C', 'RYR2']; ['GNG7', 'HDAC4', 'HDAC5', 'MEF2C', 'PRKAA1']
hsa03009	['Ribosome biogenesis']	6	1.558940	1.944397	0.004740	0.999160	0.436730	1.000000	0.366476	0.999900	['TFB1M', 'UTP4']; ['NIP7', 'RRP12', 'SNU13', 'UTP4']
hsa00511	['Other glycan degradation']	2	0.109830	4.186656	0.005090	0.999850	0.436730	1.000000	0.366476	0.999900	['GBA']; ['GBA']
hsa00910	['Nitrogen metabolism']	2	0.132520	3.915718	0.007440	0.999730	0.436730	1.000000	0.446396	0.999900	['CA5A']; ['CA4']
hsa05170	['Human immunodeficiency virus 1 infection']	7	2.391720	1.549306	0.010340	0.997090	0.436730	1.000000	0.531766	0.999900	['ITPR1', 'PAK2', 'TAB2']; ['GNG7', 'PAK2', 'PDIA3', 'TAB2']
hsa03008	['Ribosome biogenesis in eukaryotes']	3	0.523070	2.519887	0.015330	0.998360	0.436730	1.000000	0.689843	0.999900	['UTP4']; ['SNU13', 'UTP4']
hsa05169	['Epstein-Barr virus infection']	5	1.502050	1.734995	0.017600	0.995860	0.436730	1.000000	0.703993	0.999900	['TAB2']; ['OAS2', 'PDIA3', 'PSMD14', 'TAB2']
hsa00600	['Sphingolipid metabolism']	3	0.601510	2.318302	0.022080	0.997130	0.436730	1.000000	0.749093	0.999900	['GBA']; ['GBA', 'PLPP2']
hsa04010	['MAPK signaling pathway']	10	4.862470	1.040239	0.024050	0.990880	0.436730	1.000000	0.749093	0.999900	['CACNA1I', 'CACNG6', 'MEF2C', 'PAK2', 'TAB2']; ['CACNA1I', 'DUSP5', 'MEF2C', 'PAK2', 'TAB2']
