Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
siv_modules:4	['lightcyan']	3	0.296050	3.341050	0.002730	0.999870	0.036590	1.000000	0.087359	0.999870	['MEF2C']; ['CREB5', 'MEF2C']
siv_modules:33	['green']	4	0.707960	2.498260	0.005750	0.999050	0.044275	1.000000	0.091999	0.999870	['THBS3']; ['CBX7', 'STARD10', 'THBS3']
siv_modules:9	['darkgreen']	2	0.470770	2.086906	0.078199	0.989980	0.473183	1.000000	0.834125	0.999870	['CACNA1I']; ['CACNA1I']
siv_modules:17	['darkolivegreen']	1	0.223260	2.163203	0.204168	0.981810	0.801555	1.000000	1.000000	0.999870	['LTBP1']; None
siv_modules:31	['magenta']	2	1.201060	0.735692	0.339077	0.881131	1.000000	1.000000	1.000000	0.999870	['PACS2']; ['EHMT1']
siv_modules:23	['salmon']	1	0.434960	1.201045	0.353876	0.928961	1.000000	1.000000	1.000000	0.999870	None; ['DUSP5']
siv_modules:30	['tan']	2	1.325190	0.593801	0.382426	0.852731	1.000000	1.000000	1.000000	0.999870	['TFB1M']; ['ZCCHC14']
siv_modules:22	['white']	1	0.545950	0.873159	0.427846	0.899241	1.000000	1.000000	1.000000	0.999870	['PTPRD']; None
siv_modules:29	['yellow']	2	1.516190	0.399549	0.449126	0.805162	1.000000	1.000000	1.000000	0.999870	['SIT1', 'TBC1D7']; None
siv_modules:28	['midnightblue']	1	0.621020	0.687288	0.466915	0.872101	1.000000	1.000000	1.000000	0.999870	['GLIS3']; None
siv_modules:3	['black']	2	1.573100	0.346390	0.471335	0.792552	1.000000	1.000000	1.000000	0.999870	None; ['ABTB2', 'HDAC5']
siv_modules:26	['pink']	1	0.756590	0.402416	0.532745	0.824352	1.000000	1.000000	1.000000	0.999870	['LILRA4']; None
siv_modules:1	['red']	1	0.970960	0.042516	0.623564	0.747183	1.000000	1.000000	1.000000	0.999870	None; ['OAS2']
siv_modules:11	['brown']	1	2.277300	-1.187324	0.903541	0.327647	1.000000	0.540160	1.000000	0.999870	None; ['MEGF11']
siv_modules:2	['turquoise']	2	4.519540	-1.176176	0.943521	0.164118	1.000000	0.306940	1.000000	0.999870	['BAIAP2', 'CD36']; None
siv_modules:7	['cyan']	0	0.998480		1.000000	0.353896	1.000000	0.540160	1.000000	0.999870	None; None
siv_modules:6	['darkturquoise']	0	0.603200		1.000000	0.541715	1.000000	0.779346	1.000000	0.999870	None; None
siv_modules:5	['lightyellow']	0	0.737390		1.000000	0.461385	1.000000	0.557412	1.000000	0.999870	None; None
siv_modules:10	['yellowgreen']	0	0.349390		1.000000	0.699253	1.000000	1.000000	1.000000	0.999870	None; None
siv_modules:32	['blue']	0	1.841480		1.000000	0.154008	1.000000	0.306940	1.000000	0.999870	None; None
siv_modules:12	['skyblue']	0	0.324610		1.000000	0.720103	1.000000	1.000000	1.000000	0.999870	None; None
siv_modules:21	['orange']	0	0.430040		1.000000	0.647574	1.000000	1.000000	1.000000	0.999870	None; None
siv_modules:13	['darkred']	0	0.362850		1.000000	0.692613	1.000000	1.000000	1.000000	0.999870	None; None
siv_modules:15	['paleturquoise']	0	0.249300		1.000000	0.778072	1.000000	1.000000	1.000000	0.999870	None; None
siv_modules:16	['grey60']	0	0.358580		1.000000	0.696533	1.000000	1.000000	1.000000	0.999870	None; None
siv_modules:27	['darkgrey']	0	0.326590		1.000000	0.719963	1.000000	1.000000	1.000000	0.999870	None; None
siv_modules:18	['purple']	0	0.807750		1.000000	0.442316	1.000000	0.543747	1.000000	0.999870	None; None
siv_modules:25	['greenyellow']	0	0.489280		1.000000	0.610874	1.000000	0.880306	1.000000	0.999870	None; None
siv_modules:8	['royalblue']	0	1.040600		1.000000	0.342827	1.000000	0.540160	1.000000	0.999870	None; None
siv_modules:19	['lightgreen']	0	0.897390		1.000000	0.399776	1.000000	0.543747	1.000000	0.999870	None; None
siv_modules:14	['darkorange']	0	0.353410		1.000000	0.700353	1.000000	1.000000	1.000000	0.999870	None; None
siv_modules:24	['steelblue']	0	0.326620		1.000000	0.716553	1.000000	1.000000	1.000000	0.999870	None; None
