Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
siv_modules:33	['green']	3	0.349430	3.101887	0.005250	0.999640	0.050340	1.000000	0.131199	0.999750	['CBX7', 'STARD10', 'THBS3']
siv_modules:4	['lightcyan']	2	0.146850	3.767585	0.008200	0.999750	0.050340	1.000000	0.131199	0.999750	['CREB5', 'MEF2C']
siv_modules:3	['black']	2	0.779070	1.360175	0.182838	0.960290	1.000000	1.000000	1.000000	0.999750	['ABTB2', 'HDAC5']
siv_modules:23	['salmon']	1	0.215900	2.211565	0.195288	0.980690	1.000000	1.000000	1.000000	0.999750	['DUSP5']
siv_modules:9	['darkgreen']	1	0.233350	2.099433	0.211108	0.978940	1.000000	1.000000	1.000000	0.999750	['CACNA1I']
siv_modules:1	['red']	1	0.479690	1.059826	0.382586	0.916731	1.000000	1.000000	1.000000	0.999750	['OAS2']
siv_modules:31	['magenta']	1	0.595190	0.748578	0.453645	0.881741	1.000000	1.000000	1.000000	0.999750	['EHMT1']
siv_modules:30	['tan']	1	0.658820	0.602044	0.486965	0.860371	1.000000	1.000000	1.000000	0.999750	['ZCCHC14']
siv_modules:11	['brown']	1	1.130660	-0.177165	0.686963	0.686933	1.000000	0.956083	1.000000	0.999750	['MEGF11']
siv_modules:15	['paleturquoise']	0	0.123440		1.000000	0.883311	1.000000	1.000000	1.000000	0.999750	None
siv_modules:7	['cyan']	0	0.496910		1.000000	0.596494	1.000000	0.903260	1.000000	0.999750	None
siv_modules:6	['darkturquoise']	0	0.295840		1.000000	0.740363	1.000000	0.956083	1.000000	0.999750	None
siv_modules:5	['lightyellow']	0	0.364990		1.000000	0.682233	1.000000	0.956083	1.000000	0.999750	None
siv_modules:10	['yellowgreen']	0	0.173500		1.000000	0.837332	1.000000	1.000000	1.000000	0.999750	None
siv_modules:32	['blue']	0	0.911940		1.000000	0.395466	1.000000	0.523910	1.000000	0.999750	None
siv_modules:12	['skyblue']	0	0.159990		1.000000	0.850661	1.000000	1.000000	1.000000	0.999750	None
siv_modules:29	['yellow']	0	0.753010		1.000000	0.468355	1.000000	0.655657	1.000000	0.999750	None
siv_modules:28	['midnightblue']	0	0.306810		1.000000	0.732383	1.000000	0.956083	1.000000	0.999750	None
siv_modules:27	['darkgrey']	0	0.160530		1.000000	0.850881	1.000000	1.000000	1.000000	0.999750	None
siv_modules:26	['pink']	0	0.375360		1.000000	0.685453	1.000000	0.956083	1.000000	0.999750	None
siv_modules:25	['greenyellow']	0	0.241650		1.000000	0.784162	1.000000	0.956083	1.000000	0.999750	None
siv_modules:8	['royalblue']	0	0.518450		1.000000	0.586674	1.000000	0.903260	1.000000	0.999750	None
siv_modules:13	['darkred']	0	0.179480		1.000000	0.834462	1.000000	1.000000	1.000000	0.999750	None
siv_modules:22	['white']	0	0.270690		1.000000	0.758012	1.000000	0.956083	1.000000	0.999750	None
siv_modules:21	['orange']	0	0.213810		1.000000	0.805832	1.000000	0.975891	1.000000	0.999750	None
siv_modules:2	['turquoise']	0	2.234000		1.000000	0.100839	1.000000	0.100830	1.000000	0.999750	None
siv_modules:19	['lightgreen']	0	0.443520		1.000000	0.636084	1.000000	0.956083	1.000000	0.999750	None
siv_modules:18	['purple']	0	0.400580		1.000000	0.667973	1.000000	0.956083	1.000000	0.999750	None
siv_modules:17	['darkolivegreen']	0	0.109350		1.000000	0.894191	1.000000	1.000000	1.000000	0.999750	None
siv_modules:16	['grey60']	0	0.176930		1.000000	0.836652	1.000000	1.000000	1.000000	0.999750	None
siv_modules:14	['darkorange']	0	0.176170		1.000000	0.837242	1.000000	1.000000	1.000000	0.999750	None
siv_modules:24	['steelblue']	0	0.160790		1.000000	0.848762	1.000000	1.000000	1.000000	0.999750	None
