Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
siv_modules:33	['green']	4	0.657990	2.603862	0.004640	0.999510	0.068210	1.000000	0.148479	0.999510	['CBX7', 'STARD10', 'THBS3']; ['SRCAP']
siv_modules:31	['magenta']	4	1.156510	1.790222	0.028150	0.994240	0.193820	1.000000	0.361383	0.999510	['EHMT1']; ['CACNB3', 'FMNL3', 'ZNF609']
siv_modules:4	['lightcyan']	2	0.297080	2.751077	0.033880	0.997330	0.193820	1.000000	0.361383	0.999510	['CREB5', 'MEF2C']; None
siv_modules:25	['greenyellow']	2	0.465480	2.103209	0.078579	0.988560	0.351730	1.000000	0.628634	0.999510	None; ['SBNO1', 'SHCBP1']
siv_modules:30	['tan']	3	1.297440	1.209295	0.140669	0.958810	0.428226	1.000000	0.900279	0.999510	['ZCCHC14']; ['PRPSAP2', 'XPO1']
siv_modules:29	['yellow']	3	1.466240	1.032841	0.180498	0.940201	0.454485	1.000000	0.962657	0.999510	None; ['GALK2', 'RAI1', 'VPS35']
siv_modules:23	['salmon']	1	0.415240	1.267983	0.341017	0.934981	1.000000	1.000000	1.000000	0.999510	['DUSP5']; None
siv_modules:9	['darkgreen']	1	0.469760	1.090004	0.378806	0.920811	1.000000	1.000000	1.000000	0.999510	['CACNA1I']; None
siv_modules:3	['black']	2	1.579220	0.340788	0.473625	0.792592	1.000000	0.947318	1.000000	0.999510	['ABTB2', 'HDAC5']; None
siv_modules:18	['purple']	1	0.808890	0.305985	0.557764	0.807312	1.000000	0.947318	1.000000	0.999510	None; ['SRCAP']
siv_modules:1	['red']	1	0.961410	0.056776	0.619784	0.748573	1.000000	0.936697	1.000000	0.999510	['OAS2']; None
siv_modules:32	['blue']	1	1.816620	-0.861257	0.843552	0.453695	1.000000	0.876900	1.000000	0.999510	None; ['XPO1']
siv_modules:11	['brown']	1	2.224660	-1.153585	0.898011	0.341137	1.000000	0.876900	1.000000	0.999510	['MEGF11']; None
siv_modules:2	['turquoise']	1	4.519330	-2.176109	0.990430	0.055929	1.000000	0.055920	1.000000	0.999510	None; ['SDF2']
siv_modules:7	['cyan']	0	0.999950		1.000000	0.353056	1.000000	0.876900	1.000000	0.999510	None; None
siv_modules:6	['darkturquoise']	0	0.607350		1.000000	0.538005	1.000000	0.876900	1.000000	0.999510	None; None
siv_modules:5	['lightyellow']	0	0.740210		1.000000	0.456945	1.000000	0.876900	1.000000	0.999510	None; None
siv_modules:10	['yellowgreen']	0	0.369100		1.000000	0.684773	1.000000	0.936312	1.000000	0.999510	None; None
siv_modules:12	['skyblue']	0	0.320090		1.000000	0.723103	1.000000	0.936312	1.000000	0.999510	None; None
siv_modules:13	['darkred']	0	0.380360		1.000000	0.680953	1.000000	0.936312	1.000000	0.999510	None; None
siv_modules:19	['lightgreen']	0	0.927200		1.000000	0.388146	1.000000	0.876900	1.000000	0.999510	None; None
siv_modules:14	['darkorange']	0	0.366770		1.000000	0.690173	1.000000	0.936312	1.000000	0.999510	None; None
siv_modules:28	['midnightblue']	0	0.632330		1.000000	0.526935	1.000000	0.876900	1.000000	0.999510	None; None
siv_modules:27	['darkgrey']	0	0.319400		1.000000	0.724643	1.000000	0.936312	1.000000	0.999510	None; None
siv_modules:26	['pink']	0	0.764460		1.000000	0.462055	1.000000	0.876900	1.000000	0.999510	None; None
siv_modules:16	['grey60']	0	0.349570		1.000000	0.702833	1.000000	0.936312	1.000000	0.999510	None; None
siv_modules:8	['royalblue']	0	1.079300		1.000000	0.329767	1.000000	0.876900	1.000000	0.999510	None; None
siv_modules:17	['darkolivegreen']	0	0.213050		1.000000	0.804332	1.000000	0.947318	1.000000	0.999510	None; None
siv_modules:22	['white']	0	0.560120		1.000000	0.564914	1.000000	0.876900	1.000000	0.999510	None; None
siv_modules:21	['orange']	0	0.456640		1.000000	0.630154	1.000000	0.876900	1.000000	0.999510	None; None
siv_modules:15	['paleturquoise']	0	0.241890		1.000000	0.783892	1.000000	0.947318	1.000000	0.999510	None; None
siv_modules:24	['steelblue']	0	0.326640		1.000000	0.717453	1.000000	0.936312	1.000000	0.999510	None; None
