Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
siv_modules:31	['magenta']	6	1.092860	2.456854	0.000620	0.999900	0.007100	1.000000	0.019840	0.999900	['CACNB3', 'FMNL3', 'HOOK3', 'RAB35', 'RABGAP1L', 'ZNF609']
siv_modules:18	['purple']	3	0.792850	1.919843	0.044850	0.992490	0.345690	1.000000	0.525968	0.999900	['SRCAP', 'SYNCRIP', 'YIPF4']
siv_modules:29	['yellow']	4	1.394140	1.520625	0.049310	0.987820	0.345690	1.000000	0.525968	0.999900	['EIF5B', 'GALK2', 'RAI1', 'VPS35']
siv_modules:25	['greenyellow']	2	0.440970	2.181248	0.072189	0.990600	0.345690	1.000000	0.577514	0.999900	['SBNO1', 'SHCBP1']
siv_modules:33	['green']	2	0.598450	1.740697	0.121069	0.977100	0.366730	1.000000	0.774840	0.999900	['SRCAP', 'TULP4']
siv_modules:26	['pink']	2	0.757020	1.401597	0.172998	0.960530	0.427970	1.000000	0.922657	0.999900	['CD28', 'MED9']
siv_modules:16	['grey60']	1	0.334980	1.577853	0.289417	0.958250	0.746353	1.000000	1.000000	0.999900	['DAND5']
siv_modules:30	['tan']	2	1.239760	0.689939	0.352876	0.873601	0.894579	0.963999	1.000000	0.999900	['PRPSAP2', 'XPO1']
siv_modules:21	['orange']	1	0.471280	1.085344	0.385146	0.923961	0.895172	1.000000	1.000000	0.999900	['SERPINC1']
siv_modules:3	['black']	1	1.539700	-0.622649	0.801072	0.535795	1.000000	0.747920	1.000000	0.999900	['MYT1L']
siv_modules:2	['turquoise']	3	4.439160	-0.565324	0.829082	0.345187	1.000000	0.747920	1.000000	0.999900	['SDF2', 'SYNPO2L', 'WDR76']
siv_modules:32	['blue']	1	1.742780	-0.801390	0.833802	0.474405	1.000000	0.747920	1.000000	0.999900	['XPO1']
siv_modules:5	['lightyellow']	0	0.697460		1.000000	0.459325	1.000000	0.747920	1.000000	0.999900	None
siv_modules:6	['darkturquoise']	0	0.595060		1.000000	0.538995	1.000000	0.747920	1.000000	0.999900	None
siv_modules:7	['cyan']	0	0.938600		1.000000	0.365666	1.000000	0.747920	1.000000	0.999900	None
siv_modules:28	['midnightblue']	0	0.621860		1.000000	0.527165	1.000000	0.747920	1.000000	0.999900	None
siv_modules:4	['lightcyan']	0	0.289070		1.000000	0.743143	1.000000	0.864431	1.000000	0.999900	None
siv_modules:1	['red']	0	0.944940		1.000000	0.383796	1.000000	0.747920	1.000000	0.999900	None
siv_modules:24	['steelblue']	0	0.323780		1.000000	0.712253	1.000000	0.862462	1.000000	0.999900	None
siv_modules:8	['royalblue']	0	1.068790		1.000000	0.323057	1.000000	0.747920	1.000000	0.999900	None
siv_modules:23	['salmon']	0	0.391430		1.000000	0.672553	1.000000	0.807860	1.000000	0.999900	None
siv_modules:22	['white']	0	0.554550		1.000000	0.559774	1.000000	0.747920	1.000000	0.999900	None
siv_modules:19	['lightgreen']	0	0.935120		1.000000	0.380226	1.000000	0.747920	1.000000	0.999900	None
siv_modules:17	['darkolivegreen']	0	0.198660		1.000000	0.813212	1.000000	0.937426	1.000000	0.999900	None
siv_modules:15	['paleturquoise']	0	0.229390		1.000000	0.793932	1.000000	0.914322	1.000000	0.999900	None
siv_modules:14	['darkorange']	0	0.370040		1.000000	0.684473	1.000000	0.807860	1.000000	0.999900	None
siv_modules:13	['darkred']	0	0.396590		1.000000	0.666233	1.000000	0.807860	1.000000	0.999900	None
siv_modules:12	['skyblue']	0	0.313830		1.000000	0.725533	1.000000	0.864431	1.000000	0.999900	None
siv_modules:11	['brown']	0	2.100460		1.000000	0.110689	1.000000	0.168130	1.000000	0.999900	None
siv_modules:10	['yellowgreen']	0	0.371410		1.000000	0.675623	1.000000	0.807860	1.000000	0.999900	None
siv_modules:27	['darkgrey']	0	0.310140		1.000000	0.730333	1.000000	0.864431	1.000000	0.999900	None
siv_modules:9	['darkgreen']	0	0.459220		1.000000	0.622494	1.000000	0.747920	1.000000	0.999900	None
