Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
siv_modules:2	['turquoise']	7	4.317280	0.697232	0.138329	0.935291	1.000000	1.000000	0.979990	0.985400	['ARHGAP26', 'ARRDC2', 'BAIAP2', 'CD36', 'MAPK13', 'PLCB1', 'PTPRJ']
siv_modules:33	['green']	2	0.678890	1.558750	0.146509	0.969060	1.000000	1.000000	0.979990	0.985400	['ISOC2', 'THBS3']
siv_modules:29	['yellow']	3	1.458160	1.040813	0.179088	0.941411	1.000000	1.000000	0.979990	0.985400	['RASGRP1', 'SIT1', 'TBC1D7']
siv_modules:17	['darkolivegreen']	1	0.213050	2.230736	0.197898	0.985400	1.000000	1.000000	0.979990	0.985400	['LTBP1']
siv_modules:1	['red']	2	0.939160	1.090557	0.241958	0.932441	1.000000	1.000000	0.979990	0.985400	['HERC6', 'STAT1']
siv_modules:4	['lightcyan']	1	0.281510	1.828742	0.251237	0.971460	1.000000	1.000000	0.979990	0.985400	['MEF2C']
siv_modules:10	['yellowgreen']	1	0.329110	1.603358	0.291527	0.964760	1.000000	1.000000	0.979990	0.985400	['SORBS2']
siv_modules:16	['grey60']	1	0.343640	1.541030	0.295597	0.956220	1.000000	1.000000	0.979990	0.985400	['SLC24A2']
siv_modules:31	['magenta']	2	1.148530	0.800211	0.319907	0.894461	1.000000	1.000000	0.979990	0.985400	['DPP9', 'PACS2']
siv_modules:23	['salmon']	1	0.416210	1.264616	0.344347	0.936661	1.000000	1.000000	0.979990	0.985400	['VPS54']
siv_modules:30	['tan']	2	1.270370	0.654751	0.364436	0.865801	1.000000	1.000000	0.979990	0.985400	['TFB1M', 'ZCCHC14']
siv_modules:9	['darkgreen']	1	0.444240	1.170589	0.367496	0.931691	1.000000	1.000000	0.979990	0.985400	['CACNA1I']
siv_modules:22	['white']	1	0.517560	0.950202	0.415896	0.910551	1.000000	1.000000	1.000000	0.985400	['PTPRD']
siv_modules:28	['midnightblue']	1	0.597560	0.742845	0.458805	0.883171	1.000000	1.000000	1.000000	0.985400	['GLIS3']
siv_modules:26	['pink']	1	0.721640	0.470649	0.519715	0.838332	1.000000	1.000000	1.000000	0.985400	['LILRA4']
siv_modules:5	['lightyellow']	1	0.681790	0.552601	0.527035	0.866501	1.000000	1.000000	1.000000	0.985400	['MAGI2']
siv_modules:3	['black']	1	1.489120	-0.574460	0.791762	0.554334	1.000000	1.000000	1.000000	0.985400	['TIMP2']
siv_modules:32	['blue']	1	1.758780	-0.814575	0.836702	0.468925	1.000000	1.000000	1.000000	0.985400	['NCOR2']
siv_modules:11	['brown']	1	2.157830	-1.109581	0.897501	0.352196	1.000000	1.000000	1.000000	0.985400	['CHRNA7']
siv_modules:7	['cyan']	0	0.927010		1.000000	0.370056	1.000000	1.000000	1.000000	0.985400	None
siv_modules:6	['darkturquoise']	0	0.570040		1.000000	0.554084	1.000000	1.000000	1.000000	0.985400	None
siv_modules:12	['skyblue']	0	0.314340		1.000000	0.724573	1.000000	1.000000	1.000000	0.985400	None
siv_modules:13	['darkred']	0	0.349490		1.000000	0.700003	1.000000	1.000000	1.000000	0.985400	None
siv_modules:21	['orange']	0	0.415560		1.000000	0.653943	1.000000	1.000000	1.000000	0.985400	None
siv_modules:19	['lightgreen']	0	0.853910		1.000000	0.414116	1.000000	1.000000	1.000000	0.985400	None
siv_modules:15	['paleturquoise']	0	0.238740		1.000000	0.785572	1.000000	1.000000	1.000000	0.985400	None
siv_modules:27	['darkgrey']	0	0.315880		1.000000	0.726753	1.000000	1.000000	1.000000	0.985400	None
siv_modules:25	['greenyellow']	0	0.467730		1.000000	0.625044	1.000000	1.000000	1.000000	0.985400	None
siv_modules:8	['royalblue']	0	0.982410		1.000000	0.356416	1.000000	1.000000	1.000000	0.985400	None
siv_modules:18	['purple']	0	0.772230		1.000000	0.456665	1.000000	1.000000	1.000000	0.985400	None
siv_modules:14	['darkorange']	0	0.337280		1.000000	0.708323	1.000000	1.000000	1.000000	0.985400	None
siv_modules:24	['steelblue']	0	0.311800		1.000000	0.723563	1.000000	1.000000	1.000000	0.985400	None
