Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
hsa00310	['Lysine degradation']	5	1.413010	1.823156	0.012380	0.997600	1.000000	1.000000	0.818220	0.998690	['COLGALT2', 'SMYD3']; ['ALDH2', 'KMT2D', 'KMT5A']
hsa03460	['Fanconi anemia pathway']	4	0.952930	2.069558	0.014730	0.997510	1.000000	1.000000	0.818220	0.998690	['POLN']; ['POLH', 'REV1', 'TOP3A']
hsa00340	['Histidine metabolism']	2	0.222490	3.168188	0.020860	0.998690	1.000000	1.000000	0.818220	0.998690	None; ['ALDH2', 'ALDH3A1']
hsa03016	['Transfer RNA biogenesis']	7	2.792820	1.325632	0.021290	0.993320	1.000000	1.000000	0.818220	0.998690	['PUS7L', 'URM1']; ['AIMP2', 'DARS2', 'PUS10', 'XPO1', 'XPO5']
hsa05169	['Epstein-Barr virus infection']	7	2.783620	1.330393	0.021930	0.993190	1.000000	1.000000	0.818220	0.998690	['LYN', 'MAPK13', 'NCOR2', 'STAT1', 'TAB2']; ['PDIA3', 'SIN3A']
hsa05168	['Herpes simplex virus 1 infection']	9	3.962380	1.183558	0.022460	0.991230	1.000000	1.000000	0.818220	0.998690	['STAT1', 'TAB2', 'ZNF418', 'ZNF484', 'ZNF879']; ['PDIA3', 'PPP1CC', 'ZNF689', 'ZNF764']
hsa04621	['NOD-like receptor signaling pathway']	7	2.820500	1.311404	0.022820	0.992960	1.000000	1.000000	0.818220	0.998690	['ITPR1', 'MAPK13', 'PLCB1', 'STAT1', 'TAB2', 'TRPM7']; ['MCU']
hsa03029	['Mitochondrial biogenesis']	12	6.331540	0.922406	0.023580	0.989500	1.000000	1.000000	0.818220	0.998690	['CPT1C', 'MTX1', 'MYO5B', 'SNX25', 'TFB1M', 'TRMT10C']; ['C12orf65', 'DARS2', 'ERAL1', 'MCU', 'MSS51', 'SP1']
hsa03040	['Spliceosome']	4	1.120820	1.835445	0.025760	0.994600	1.000000	1.000000	0.818220	0.998690	['DDX46']; ['DDX23', 'DHX38', 'SF3B4']
hsa03019	['Messenger RNA biogenesis']	13	7.080100	0.876670	0.026270	0.987840	1.000000	1.000000	0.818220	0.998690	['DDX60', 'MYO5B']; ['ATXN2', 'DDX60L', 'KLC3', 'LARP4', 'NUP155', 'PAPOLG', 'PCBP2', 'PPP1CC', 'SYMPK', 'TUBA1A', 'XPO1']
hsa05410	['Hypertrophic cardiomyopathy (HCM)']	9	4.382850	1.038056	0.026690	0.990250	1.000000	1.000000	0.818220	0.998690	['CACNB1', 'CACNG6', 'RYR2', 'SGCD']; ['ATP2A2', 'CACNA2D3', 'CACNB3', 'ITGB7', 'PRKAG1']
