Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
hsa05169	['Epstein-Barr virus infection']	12	4.219460	1.507904	0.001060	0.999710	0.196830	1.000000	0.146399	0.999800	['LYN', 'MAPK13', 'NCOR2', 'STAT1', 'TAB2']; ['OAS2', 'PDIA3', 'PSMD14', 'STAT1', 'TAB2']; ['PDIA3', 'SIN3A']
hsa00310	['Lysine degradation']	8	2.129010	1.909817	0.001090	0.999800	0.196830	1.000000	0.146399	0.999800	['COLGALT2', 'SMYD3']; ['EHMT1', 'SMYD3', 'WHSC1']; ['ALDH2', 'KMT2D', 'KMT5A']
hsa04621	['NOD-like receptor signaling pathway']	12	4.276870	1.488407	0.001220	0.999620	0.196830	1.000000	0.146399	0.999800	['ITPR1', 'MAPK13', 'PLCB1', 'STAT1', 'TAB2', 'TRPM7']; ['CARD6', 'OAS2', 'STAT1', 'TAB2', 'TANK']; ['MCU']
hsa00330	['Arginine and proline metabolism']	4	0.635380	2.654308	0.003660	0.999460	0.196830	1.000000	0.302397	0.999800	None; ['CKMT1A', 'DAO', 'L3HYPDH']; ['ALDH2']
hsa05168	['Herpes simplex virus 1 infection']	14	6.051140	1.210148	0.004200	0.998280	0.196830	1.000000	0.302397	0.999800	['STAT1', 'TAB2', 'ZNF418', 'ZNF484', 'ZNF879']; ['OAS2', 'PDIA3', 'STAT1', 'TAB2', 'ZNF205']; ['PDIA3', 'PPP1CC', 'ZNF689', 'ZNF764']
hsa00910	['Nitrogen metabolism']	3	0.381400	2.975586	0.005950	0.999600	0.196830	1.000000	0.356996	0.999800	['CA5A']; ['CA4', 'CA7']; None
hsa03040	['Spliceosome']	6	1.687870	1.829759	0.007180	0.998530	0.204063	1.000000	0.369253	0.999800	['DDX46']; ['SF3B3', 'SNU13']; ['DDX23', 'DHX38', 'SF3B4']
hsa05140	['Leishmaniasis']	5	1.323750	1.917297	0.009990	0.997890	0.252460	1.000000	0.449546	0.999800	['MAPK13', 'STAT1', 'TAB2']; ['STAT1', 'TAB2']; None
hsa04672	['Intestinal immune network for IgA production']	3	0.556010	2.431780	0.018430	0.997550	0.423872	1.000000	0.737193	0.999800	None; ['TNFRSF13B']; ['CD28', 'ITGB7']
hsa00010	['Glycolysis / Gluconeogenesis']	4	1.041580	1.941226	0.020620	0.996490	0.430255	1.000000	0.742313	0.999800	['HK1']; ['PKLR']; ['ALDH2', 'ALDH3A1']
hsa04147	['Exosome']	32	22.373180	0.516302	0.027680	0.982910	0.533249	1.000000	0.783892	0.999800	['ATP6V0A2', 'CD36', 'COL4A4', 'GAA', 'KRT24', 'LTF', 'SELENBP1', 'SEPT2', 'SLC44A5', 'STX2', 'THBS3']; ['ACAP2', 'CA4', 'CKMT1A', 'CTH', 'CUBN', 'GNG7', 'JUP', 'PDIA3', 'PKLR', 'PMEL', 'SFN', 'SLC26A4', 'THBS3']; ['ERBB2', 'ITGB7', 'MVP', 'PDIA3', 'RAB35', 'SEPT12', 'SERPINC1', 'TUBA1A']
hsa04612	['Antigen processing and presentation']	3	0.677160	2.147394	0.031970	0.994990	0.560348	1.000000	0.783892	0.999800	['CD4']; ['PDIA3']; ['PDIA3']
