Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
hsa00330	['Arginine and proline metabolism']	3	0.212850	3.817054	0.001180	0.999960	0.171830	1.000000	0.424796	0.999960	['CKMT1A', 'DAO', 'L3HYPDH']
hsa00910	['Nitrogen metabolism']	2	0.126020	3.988275	0.006460	0.999880	0.509695	1.000000	1.000000	0.999960	['CA4', 'CA7']
hsa04621	['NOD-like receptor signaling pathway']	5	1.456370	1.779551	0.014310	0.997080	0.790293	1.000000	1.000000	0.999960	['CARD6', 'OAS2', 'STAT1', 'TAB2', 'TANK']
hsa05169	['Epstein-Barr virus infection']	5	1.435840	1.800033	0.014380	0.996750	0.790293	1.000000	1.000000	0.999960	['OAS2', 'PDIA3', 'PSMD14', 'STAT1', 'TAB2']
hsa00260	['Glycine, serine and threonine metabolism']	2	0.202390	3.304790	0.017290	0.998940	0.790293	1.000000	1.000000	0.999960	['CTH', 'DAO']
hsa00310	['Lysine degradation']	3	0.716000	2.066931	0.032550	0.995630	0.955255	1.000000	1.000000	0.999960	['EHMT1', 'SMYD3', 'WHSC1']
hsa04147	['Exosome']	13	7.418970	0.809221	0.035080	0.983100	0.955255	1.000000	1.000000	0.999960	['ACAP2', 'CA4', 'CKMT1A', 'CTH', 'CUBN', 'GNG7', 'JUP', 'PDIA3', 'PKLR', 'PMEL', 'SFN', 'SLC26A4', 'THBS3']
hsa00051	['Fructose and mannose metabolism']	2	0.338460	2.562943	0.038460	0.997230	0.955255	1.000000	1.000000	0.999960	['FUK', 'GMDS']
hsa03022	['Basal transcription factors']	2	0.330100	2.599025	0.041970	0.996040	0.955255	1.000000	1.000000	0.999960	['GTF2H3', 'TAF3']
hsa04144	['Endocytosis']	7	3.269810	1.098148	0.043140	0.984140	0.955255	1.000000	1.000000	0.999960	['ACAP2', 'DAB2', 'GIT1', 'GRK4', 'LDLR', 'VPS4A', 'WIPF1']
hsa03009	['Ribosome biogenesis']	4	1.482750	1.431725	0.058999	0.984700	0.955255	1.000000	1.000000	0.999960	['NIP7', 'RRP12', 'SNU13', 'UTP4']
hsa05168	['Herpes simplex virus 1 infection']	5	2.088760	1.259281	0.061049	0.979310	0.955255	1.000000	1.000000	0.999960	['OAS2', 'PDIA3', 'STAT1', 'TAB2', 'ZNF205']
hsa05162	['Measles']	3	0.911500	1.718648	0.061729	0.987440	0.955255	1.000000	1.000000	0.999960	['OAS2', 'STAT1', 'TAB2']
hsa05034	['Alcoholism']	4	1.524430	1.391730	0.063819	0.983590	0.955255	1.000000	1.000000	0.999960	['CREB5', 'GNG7', 'HDAC4', 'HDAC5']
hsa00520	['Amino sugar and nucleotide sugar metabolism']	2	0.435550	2.199090	0.065169	0.992500	0.955255	1.000000	1.000000	0.999960	['FUK', 'GMDS']
hsa05140	['Leishmaniasis']	2	0.440000	2.184425	0.068969	0.991290	0.955255	1.000000	1.000000	0.999960	['STAT1', 'TAB2']
hsa03008	['Ribosome biogenesis in eukaryotes']	2	0.497600	2.006942	0.087549	0.988280	0.955255	1.000000	1.000000	0.999960	['SNU13', 'UTP4']
hsa04950	['Maturity onset diabetes of the young']	1	0.100320	3.317319	0.096439	0.996130	0.960497	1.000000	1.000000	0.999960	['PKLR']
hsa04371	['Apelin signaling pathway']	5	2.491140	1.005122	0.098319	0.965180	0.960497	1.000000	1.000000	0.999960	['GNG7', 'HDAC4', 'HDAC5', 'MEF2C', 'PRKAA1']
