Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
vip:0002007	['HCV']	8	3.936470	1.023098	0.043600	0.983090	0.439610	1.000000	0.575194	0.983090	['APOA1', 'ATXN10', 'C11orf84', 'COG8', 'RRP12', 'SF3B3', 'SMYD3', 'SORBS2']
vip:0002015	['VACV']	2	0.646680	1.628876	0.134479	0.974300	0.669155	1.000000	0.575194	0.983090	['ACAP2', 'JUP']
vip:0002008	['HIV']	12	8.413870	0.512193	0.135379	0.921921	0.669155	1.000000	0.575194	0.983090	['APOA1', 'ATXN10', 'CCDC134', 'EXOSC1', 'GTF2H3', 'HEBP1', 'ISOC2', 'NUDC', 'PAK2', 'SF3B3', 'SNU13', 'WHSC1']
vip:0002002	['DENV']	2	0.744020	1.426587	0.168618	0.962260	0.669155	1.000000	0.575194	0.983090	['DCUN1D4', 'MMS19']
vip:0002012	['IAV']	12	8.889430	0.432872	0.179748	0.891111	0.669155	1.000000	0.575194	0.983090	['AHNAK2', 'ATXN10', 'ATXN2', 'C11orf84', 'FRYL', 'HDLBP', 'JUP', 'MMS19', 'NUDC', 'PSMD14', 'RPL37', 'SF3B3']
vip:0002005	['HBV']	3	1.892610	0.664585	0.292427	0.884101	0.669155	1.000000	0.717153	0.983090	['JUP', 'NCOA3', 'SF3B3']
vip:0002011	['HTLV']	2	1.154430	0.792819	0.322387	0.894051	0.669155	1.000000	0.717153	0.983090	['FDPS', 'TAB2']
vip:0002003	['EBOV']	1	0.439070	1.187477	0.358576	0.929721	0.669155	1.000000	0.717153	0.983090	['STAT1']
vip:0002010	['HSV']	3	2.433970	0.301651	0.442666	0.773392	0.669155	1.000000	0.786961	0.983090	['HDAC5', 'SF3B3', 'TAF3']
vip:0002014	['SV40']	2	1.656510	0.271853	0.498015	0.771722	0.669155	1.000000	0.796824	0.983090	['HDLBP', 'PDIA3']
vip:0002001	['ADV']	2	1.994920	0.003669	0.597674	0.677403	0.693155	1.000000	0.869344	0.983090	['ATXN2', 'RBPMS']
vip:0002009	['HPV']	6	6.785560	-0.177505	0.681063	0.476805	0.693155	1.000000	0.908084	0.983090	['DAB2', 'MMS19', 'PIGU', 'PSMD14', 'SNTB2', 'UTRN']
vip:0002004	['EBV']	7	8.603720	-0.297606	0.768312	0.362526	0.728569	1.000000	0.945615	0.983090	['ATXN2', 'CUBN', 'EHMT1', 'HDAC4', 'HDLBP', 'PSMD14', 'RBPMS']
vip:0002013	['KSHV']	3	5.965540	-0.991690	0.945811	0.141299	0.838815	0.981360	1.000000	0.983090	['ATXN10', 'COG8', 'GMDS']
vip:0002006	['HCMV']	0	0.441600		1.000000	0.639024	1.000000	1.000000	1.000000	0.983090	None
vip:0002016	['Coronaviruses']	0	0.392880		1.000000	0.673493	1.000000	1.000000	1.000000	0.983090	None
