Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
hsa00330	['Arginine and proline metabolism']	4	0.423880	3.238272	0.000790	0.999930	0.129400	1.000000	0.284397	0.999930	['CKMT1A', 'DAO', 'L3HYPDH']; ['ALDH2']
hsa00310	['Lysine degradation']	6	1.408770	2.090526	0.002120	0.999620	0.189445	1.000000	0.381596	0.999930	['EHMT1', 'SMYD3', 'WHSC1']; ['ALDH2', 'KMT2D', 'KMT5A']
hsa03040	['Spliceosome']	5	1.115790	2.163863	0.005270	0.999090	0.329927	1.000000	0.567894	0.999930	['SF3B3', 'SNU13']; ['DDX23', 'DHX38', 'SF3B4']
hsa04672	['Intestinal immune network for IgA production']	3	0.376560	2.994011	0.006310	0.999530	0.329927	1.000000	0.567894	0.999930	['TNFRSF13B']; ['CD28', 'ITGB7']
hsa03019	['Messenger RNA biogenesis']	14	7.054890	0.988731	0.011950	0.994740	0.456330	1.000000	0.776872	0.999930	['ATXN2', 'EXOSC1', 'NOCT']; ['ATXN2', 'DDX60L', 'KLC3', 'LARP4', 'NUP155', 'PAPOLG', 'PCBP2', 'PPP1CC', 'SYMPK', 'TUBA1A', 'XPO1']
hsa04144	['Endocytosis']	13	6.541140	0.990898	0.013590	0.994280	0.456330	1.000000	0.776872	0.999930	['ACAP2', 'DAB2', 'GIT1', 'GRK4', 'LDLR', 'VPS4A', 'WIPF1']; ['CYTH3', 'EPN2', 'RAB35', 'VPS29', 'VPS35', 'VPS45']
hsa03036	['Chromosome and associated proteins']	38	26.829280	0.502191	0.019650	0.987400	0.555349	1.000000	0.776872	0.999930	['CBX7', 'CDK5RAP2', 'CHTF8', 'DISC1', 'EHMT1', 'FAM92B', 'HDAC4', 'HDAC5', 'MYT1', 'NCOA3', 'PPP2R5C', 'SF3B3', 'SMYD3', 'WHRN', 'WHSC1']; ['ANAPC7', 'ASXL2', 'B9D1', 'BICDL1', 'BPTF', 'C5orf42', 'CENPL', 'HOOK3', 'IFT81', 'KMT2D', 'KMT5A', 'KPNA6', 'MCRS1', 'MYT1L', 'NEK8', 'SIN3A', 'SRCAP', 'TCTN1', 'TRIP4', 'TUBA1A', 'UBN1', 'XPO1', 'XPO5']
hsa05169	['Epstein-Barr virus infection']	7	2.775570	1.334571	0.021120	0.993500	0.555349	1.000000	0.776872	0.999930	['OAS2', 'PDIA3', 'PSMD14', 'STAT1', 'TAB2']; ['PDIA3', 'SIN3A']
hsa00340	['Histidine metabolism']	2	0.222040	3.171108	0.021240	0.998630	0.555349	1.000000	0.776872	0.999930	None; ['ALDH2', 'ALDH3A1']
hsa05168	['Herpes simplex virus 1 infection']	9	3.955340	1.186123	0.021580	0.991730	0.555349	1.000000	0.776872	0.999930	['OAS2', 'PDIA3', 'STAT1', 'TAB2', 'ZNF205']; ['PDIA3', 'PPP1CC', 'ZNF689', 'ZNF764']
hsa00910	['Nitrogen metabolism']	2	0.253470	2.980113	0.025260	0.998360	0.555349	1.000000	0.826683	0.999930	['CA4', 'CA7']; None
hsa03041	['Spliceosome']	11	5.812310	0.920320	0.028270	0.988680	0.555349	1.000000	0.848092	0.999930	['CLK2', 'SF3B3', 'SNU13']; ['DDX23', 'DHX38', 'KHDRBS1', 'MFAP1', 'PCBP2', 'PPP1CC', 'SF3B4', 'SYNCRIP']
hsa00010	['Glycolysis / Gluconeogenesis']	3	0.690690	2.118852	0.032290	0.995070	0.555349	1.000000	0.894176	0.999930	['PKLR']; ['ALDH2', 'ALDH3A1']
hsa00260	['Glycine, serine and threonine metabolism']	2	0.399480	2.323805	0.060609	0.992780	0.891636	1.000000	1.000000	0.999930	['CTH', 'DAO']; None
hsa03015	['mRNA surveillance pathway']	4	1.518490	1.397363	0.063349	0.983600	0.893085	1.000000	1.000000	0.999930	['PPP2R5C']; ['PAPOLG', 'PPP1CC', 'SYMPK']
hsa04621	['NOD-like receptor signaling pathway']	6	2.820120	1.089206	0.063639	0.977940	0.893085	1.000000	1.000000	0.999930	['CARD6', 'OAS2', 'STAT1', 'TAB2', 'TANK']; ['MCU']
hsa03460	['Fanconi anemia pathway']	3	0.947390	1.662932	0.068899	0.985600	0.893085	1.000000	1.000000	0.999930	None; ['POLH', 'REV1', 'TOP3A']
hsa05202	['Transcriptional misregulation in cancer']	8	4.342640	0.881428	0.069739	0.970170	0.893085	1.000000	1.000000	0.999930	['JUP', 'MEF2C', 'RUNX1', 'WHSC1']; ['ITGB7', 'REL', 'SIN3A', 'SP1']
hsa03009	['Ribosome biogenesis']	6	2.916170	1.040888	0.070449	0.974570	0.893085	1.000000	1.000000	0.999930	['NIP7', 'RRP12', 'SNU13', 'UTP4']; ['ERAL1', 'XPO1']
