Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
siv_modules:33	['green']	9	2.623020	0.004968	1.778696	1.784151	1.773221	0.001130	0.017130	0.037290	0.999690	1.000000	0.999690	['ARF5', 'CHUK', 'NFKB1', 'NUDT16L1', 'NUMA1', 'OGFR', 'SRCAP', 'TULP4', 'ZFAND3']
siv_modules:29	['yellow']	11	6.030340	0.007373	0.867192	0.870716	0.863660	0.035320	0.319435	0.415301	0.984100	1.000000	0.999690	['ASCC1', 'CDK4', 'EIF5B', 'GALK2', 'HERC4', 'PARP16', 'PCMT1', 'RAB10', 'RAD51C', 'RAI1', 'VPS35']
siv_modules:25	['greenyellow']	5	1.932250	0.004279	1.371646	1.378022	1.365242	0.042240	0.319435	0.415301	0.988400	1.000000	0.999690	['CLTC', 'MCM4', 'SBNO1', 'SHCBP1', 'SPAG5']
siv_modules:18	['purple']	7	3.438230	0.005555	1.025689	1.030344	1.021019	0.050339	0.319435	0.415301	0.981850	1.000000	0.999690	['BARD1', 'FBXL20', 'MPHOSPH9', 'SRCAP', 'SYNCRIP', 'TSFM', 'YIPF4']
siv_modules:31	['magenta']	8	4.714780	0.006479	0.762810	0.766769	0.758839	0.092309	0.322210	0.527170	0.958900	1.000000	0.999690	['BRD4', 'CACNB3', 'FMNL3', 'HOOK3', 'RAB35', 'RABGAP1L', 'SHMT1', 'ZNF609']
siv_modules:26	['pink']	6	3.225000	0.005365	0.895663	0.900455	0.890856	0.095849	0.322210	0.527170	0.962330	1.000000	0.999690	['ACVR2A', 'CD28', 'GCC1', 'KLHL24', 'MED9', 'P2RY14']
siv_modules:23	['salmon']	3	1.704640	0.003962	0.815495	0.822186	0.808774	0.239988	0.753890	1.000000	0.913931	1.000000	0.999690	['PAFAH1B2', 'TFAP4', 'VPS54']
siv_modules:15	['paleturquoise']	2	0.997930	0.003024	1.002989	1.011707	0.994219	0.262667	0.753890	1.000000	0.928751	1.000000	0.999690	['AFF1', 'CREM']
siv_modules:30	['tan']	7	5.340730	0.006845	0.390318	0.394011	0.386615	0.282317	0.753890	1.000000	0.843072	1.000000	0.999690	['HELZ', 'HERC4', 'PHF14', 'PRPSAP2', 'XPO1', 'ZCCHC14', 'ZNF423']
siv_modules:16	['grey60']	2	1.418110	0.003484	0.496031	0.503102	0.488924	0.422946	0.976811	1.000000	0.841592	1.000000	0.999690	['DAND5', 'PSD']
siv_modules:17	['darkolivegreen']	1	0.802800	0.002423	0.316887	0.325569	0.308154	0.610194	1.000000	1.000000	0.827722	1.000000	0.999690	['COPS2']
siv_modules:6	['darkturquoise']	2	2.385920	0.004256	-0.254546	-0.249408	-0.259702	0.730423	1.000000	1.000000	0.566184	0.721371	0.998869	['BRIP1', 'NRG2']
