Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
mergedvip:0002012	['merged_IAV']	54	33.54161000	0.01695497	0.68700747	0.68846527	0.68554819	0.00028000	0.00549000	0.01679983	0.99989000	1.00000000	0.99989000	['AIMP2', 'AKAP8L', 'ALDH3A2', 'ARF5', 'ATP2A2', 'ATXN2', 'BIRC6', 'CALU', 'CBX3', 'CCDC88A', 'CHD1', 'CLTC', 'CRAMP1', 'CTPS1', 'DDX23', 'DDX55', 'DNAJA2', 'EGFR', 'EIF2B1', 'EIF5AL1', 'FLNC', 'GCN1', 'GLYR1', 'GOLGA4', 'GPN3', 'HADHA', 'HNRNPUL1', 'KPNA6', 'LARP4', 'LRRFIP2', 'MCM7', 'MDN1', 'MFAP1', 'MRPS35', 'MYH10', 'NT5C2', 'NUDC', 'P4HA1', 'PRPSAP2', 'PSMB7', 'PTX3', 'QPCTL', 'RAB10', 'RPL37', 'SF3A3', 'SF3B4', 'SUMO1', 'TNRC18', 'TRIP12', 'TROVE2', 'TUBA1A', 'TUBA1B', 'XPO1', 'XPO7']
mergedvip:0002006	['merged_HCMV']	6	1.62266000	0.00381929	1.88660176	1.89337722	1.87979433	0.00342997	0.03890000	0.07604924	0.99950000	1.00000000	0.99989000	['ABI2', 'ANKRD17', 'RAB10', 'TRIM23', 'TUBA1A', 'USP54']
mergedvip:0002008	['merged_HIV']	46	31.49847000	0.01624263	0.54635211	0.54783923	0.54486345	0.00469995	0.03927333	0.07604924	0.99726003	1.00000000	0.99989000	['AFF1', 'AKAP8L', 'ANAPC7', 'ANKRD13A', 'APP', 'ATP2A2', 'ATP6V1D', 'CALU', 'CCNT1', 'CD28', 'CD63', 'CERS2', 'EIF5B', 'GNAO1', 'GTF2H3', 'HADHA', 'ITGAL', 'KCNH3', 'LEF1', 'LRP1', 'MFAP1', 'MYH10', 'NDUFB10', 'NEK7', 'NIPBL', 'NOP58', 'NUDC', 'PAXBP1', 'PCMT1', 'PDS5B', 'PSMB7', 'RAC1', 'SERPINC1', 'SF3A3', 'SMG6', 'SP1', 'SPATA5L1', 'SPATS2', 'STOML2', 'TUBA1A', 'TUBA1B', 'VAV2', 'VPS35', 'WHSC1', 'YEATS4', 'ZNF638']
ltvip:0000042	['ev71']	3	0.39918000	0.00192493	2.90985116	2.92369844	2.89586967	0.00506995	0.03927333	0.07604924	0.99972000	1.00000000	0.99989000	['ANKRD17', 'EIF5B', 'GBF1']
mergedvip:0002007	['merged_HCV']	23	14.37616000	0.01112727	0.67795549	0.68018708	0.67572044	0.01429986	0.06285800	0.17159828	0.99258007	1.00000000	0.99989000	['AKAP8L', 'ATP2A2', 'CALU', 'CCDC88A', 'CLTC', 'COG5', 'DNAJA2', 'ERC1', 'ERLIN1', 'FBXL20', 'HADHA', 'LATS1', 'PIGS', 'PPIB', 'PPP1R13L', 'RASAL2', 'RRP12', 'SCARB1', 'SLC22A7', 'SRC', 'SRCAP', 'SYNCRIP', 'TUBA1B']
mergedvip:0002010	['merged_HSV']	16	9.35681000	0.00899674	0.77398324	0.77675493	0.77120622	0.02158978	0.09541667	0.20116942	0.98976010	1.00000000	0.99989000	['ATP2A2', 'BLM', 'CDK4', 'CTCF', 'DNAJA2', 'GCN1', 'KIF3C', 'KMT2D', 'MCRS1', 'NFKB1', 'NUP214', 'P4HA1', 'PPL', 'RELA', 'TUBA1A', 'ZNF638']
ltvip:0000119	['polyomavirus']	2	0.26493000	0.00156768	2.91631687	2.93329046	2.89914121	0.02346977	0.09541667	0.20116942	0.99902001	1.00000000	0.99989000	['PDIA3', 'VPS39']
ltvip:0000073	['jcv']	2	0.37570000	0.00186459	2.41234698	2.42659649	2.39795532	0.04757952	0.15909875	0.32666340	0.99579004	1.00000000	0.99989000	['NFATC3', 'POU3F1']
mergedvip:0002002	['merged_DENV']	6	2.71581000	0.00498384	1.14357995	1.14886530	1.13827517	0.04899951	0.15909875	0.32666340	0.98407016	1.00000000	0.99989000	['ATP2A2', 'COPG2', 'COPS2', 'RILPL2', 'XPO1', 'XPO7']
mergedvip:0002016	['merged_Coronaviruses']	4	1.48347000	0.00372519	1.43102425	1.43825172	1.42376039	0.05705943	0.15909875	0.34235658	0.98588014	1.00000000	0.99989000	['ITGAL', 'MPP5', 'PLEKHO1', 'PPIB']
mergedvip:0002013	['merged_KSHV']	29	22.16897000	0.01340640	0.38751116	0.38925501	0.38576520	0.07191928	0.15909875	0.36004255	0.95367046	1.00000000	0.99989000	['ANXA7', 'APP', 'ATE1', 'BBX', 'BLM', 'C2CD5', 'CERS2', 'ENKD1', 'GID4', 'GOLPH3L', 'GPN3', 'IFT81', 'LAMTOR1', 'MRPS18A', 'NDUFB10', 'PPP2R3A', 'PTPN9', 'PYM1', 'RBPJ', 'RNF41', 'RSBN1', 'SDK1', 'SEC23IP', 'SF3A3', 'TBC1D10B', 'TM9SF2', 'TRMT10C', 'TUBA1A', 'XPO7']
mergedvip:0002003	['merged_EBOV']	4	1.60220000	0.00387674	1.31994575	1.32691051	1.31294720	0.07254927	0.15909875	0.36004255	0.98049020	1.00000000	0.99989000	['ATP2A2', 'KPNA6', 'SPOP', 'TUBA1A']
ltvip:0000007	['asfv']	1	0.08047000	0.00088868	3.63540516	3.66692337	3.60318296	0.07800922	0.16080231	0.36004255	0.99755002	1.00000000	0.99989000	['PPP1CC']
ltvip:0000086	['mev']	1	0.11162000	0.00104633	3.16333254	3.19012991	3.13602799	0.10661893	0.20482071	0.45693829	0.99514005	1.00000000	0.99989000	['SHCBP1']
mergedvip:0002005	['merged_HBV']	10	6.75427000	0.00753921	0.56612824	0.56934537	0.56290393	0.12602874	0.21715800	0.50411496	0.93475065	1.00000000	0.99989000	['CLTC', 'COPS3', 'MRPS18A', 'NCOA3', 'NUP155', 'QPCTL', 'SRPK2', 'TET2', 'TXLNA', 'ZC3H18']
ltvip:0000019	['bpv']	1	0.16712000	0.00126898	2.58104370	2.60278841	2.55896622	0.15660843	0.26317875	0.55990028	0.98988010	1.00000000	0.99989000	['PXN']
