Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
hsa03036	['Chromosome and associated proteins']	73	49.648240	0.019923	0.556154	0.557311	0.554996	0.000350	0.062280	0.130899	0.999770	1.000000	0.999770	['AHDC1', 'ALDOC', 'ANAPC7', 'ANKRD17', 'ARID1A', 'ARID2', 'ASXL2', 'ATXN7', 'BARD1', 'BICDL1', 'BPTF', 'BRD4', 'C5orf42', 'CBX3', 'CENPL', 'CENPP', 'CHD1', 'CHD7', 'CNTLN', 'CTCF', 'DCDC2B', 'DDHD2', 'DGCR8', 'DICER1', 'EPC2', 'HAUS2', 'HOOK3', 'HSPB11', 'IFT140', 'IFT81', 'KANSL2', 'KAT6B', 'KMT2D', 'KMT5A', 'KPNA6', 'MCRS1', 'MLLT10', 'MPHOSPH9', 'MYT1L', 'NCOA3', 'NEK6', 'NEK7', 'NIPBL', 'NPM2', 'NUMA1', 'PCGF6', 'PCNT', 'PDS5B', 'PHF20', 'PIWIL2', 'PLA2G3', 'PLD6', 'PPP2R3A', 'PRMT7', 'RNF151', 'RSBN1', 'SGF29', 'SIN3A', 'SRCAP', 'STARD9', 'TCTN1', 'THAP1', 'TRIP4', 'TUBA1A', 'TUBA1B', 'TUBD1', 'UBN1', 'WHSC1', 'WHSC1L1', 'XPO1', 'XPO5', 'YEATS4', 'ZNF423']
hsa03013	['RNA transport']	10	3.365820	0.005589	1.570970	1.575754	1.566171	0.001480	0.135430	0.175778	0.999510	1.000000	0.999770	['AAAS', 'EIF2B1', 'EIF5B', 'NDC1', 'NUP155', 'NUP214', 'PYM1', 'SUMO1', 'XPO1', 'XPO5']
hsa03021	['Transcription machinery']	18	8.585130	0.008642	1.068085	1.070987	1.065178	0.001710	0.135430	0.175778	0.999350	1.000000	0.999770	['AFF1', 'ARID1A', 'ARID2', 'ATXN7', 'BRD4', 'CCNT1', 'CHD1', 'CSRNP2', 'DRAP1', 'ERCC2', 'GPN2', 'GPN3', 'GTF2H3', 'MED12L', 'NELFA', 'PPP1CC', 'SGF29', 'SYMPK']
hsa05418	['Fluid shear stress and atherosclerosis']	11	4.255490	0.006100	1.370106	1.374237	1.365964	0.002520	0.135430	0.175778	0.999230	1.000000	0.999770	['ACVR2A', 'AKT2', 'CHUK', 'MAP2K5', 'MAPK7', 'NFKB1', 'PRKAA2', 'RAC1', 'RELA', 'SRC', 'SUMO1']
hsa01523	['Antifolate resistance']	4	0.719270	0.002537	2.475395	2.485536	2.465181	0.003210	0.135430	0.175778	0.999740	1.000000	0.999770	['CHUK', 'NFKB1', 'RELA', 'SHMT1']
hsa05163	['Human cytomegalovirus infection']	19	10.108550	0.009110	0.910423	0.913021	0.907821	0.003290	0.135430	0.175778	0.998550	1.000000	0.999770	['AKAP13', 'AKT2', 'CDK4', 'CHUK', 'EGFR', 'GNAO1', 'ITPR2', 'NFATC3', 'NFKB1', 'PDIA3', 'PPP3CB', 'PTGER2', 'PTGER4', 'PXN', 'RAC1', 'RELA', 'RPS6KB1', 'SP1', 'SRC']
hsa04662	['B cell receptor signaling pathway']	10	3.941040	0.005772	1.343352	1.347572	1.339119	0.003290	0.135430	0.175778	0.999220	1.000000	0.999770	['AKT2', 'BLNK', 'CHUK', 'DAPP1', 'NFATC3', 'NFKB1', 'PPP3CB', 'RAC1', 'RELA', 'VAV2']
hsa05224	['Breast cancer']	13	5.904620	0.007205	1.138596	1.142112	1.135070	0.004660	0.135430	0.191050	0.998600	1.000000	0.999770	['AKT2', 'CDK4', 'DVL2', 'EGFR', 'ERBB2', 'FGF7', 'LEF1', 'NCOA3', 'RPS6KB1', 'SHC4', 'SP1', 'WNT1', 'WNT10B']
hsa05169	['Epstein-Barr virus infection']	12	5.274980	0.006912	1.185797	1.189573	1.182011	0.005160	0.135430	0.191050	0.998150	1.000000	0.999770	['AKT2', 'BLNK', 'CDK4', 'CHUK', 'ITGAL', 'NFKB1', 'PDIA3', 'RAC1', 'RBPJ', 'RELA', 'SIN3A', 'TAB2']
hsa04620	['Toll-like receptor signaling pathway']	7	2.258800	0.004486	1.631798	1.637518	1.626056	0.005250	0.135430	0.191050	0.999050	1.000000	0.999770	['AKT2', 'CHUK', 'IL12A', 'NFKB1', 'RAC1', 'RELA', 'TAB2']
hsa05212	['Pancreatic cancer']	9	3.543900	0.005578	1.344587	1.349122	1.340038	0.005870	0.135430	0.191050	0.998470	1.000000	0.999770	['AKT2', 'CDK4', 'CHUK', 'EGFR', 'ERBB2', 'NFKB1', 'RAC1', 'RELA', 'RPS6KB1']
hsa05162	['Measles']	9	3.449230	0.005576	1.383651	1.388308	1.378978	0.006130	0.135430	0.191050	0.998380	1.000000	0.999770	['AKT2', 'BBC3', 'CD28', 'CDK4', 'CHUK', 'IL12A', 'NFKB1', 'RELA', 'TAB2']
hsa03029	['Mitochondrial biogenesis']	20	11.539550	0.009760	0.793413	0.795851	0.790971	0.008080	0.135430	0.197283	0.996360	1.000000	0.999770	['C12orf65', 'COX14', 'DARS2', 'DNAJA2', 'GATB', 'MCU', 'MRPL37', 'MRPS16', 'MSS51', 'MTIF2', 'NAA25', 'NDUFAF7', 'PRKAA2', 'RNF41', 'SNX25', 'SP1', 'SUMO1', 'TRMT10C', 'TSFM', 'ULK2']
hsa03460	['Fanconi anemia pathway']	6	1.826510	0.004104	1.715873	1.722341	1.709375	0.008170	0.135430	0.197283	0.998360	1.000000	0.999770	['BLM', 'BRIP1', 'FANCM', 'POLH', 'RAD51C', 'REV1']
hsa00340	['Histidine metabolism']	3	0.437580	0.002063	2.777344	2.790880	2.763679	0.008740	0.135430	0.197283	0.999140	1.000000	0.999770	['ALDH2', 'ALDH3A1', 'ALDH3A2']
hsa04625	['C-type lectin receptor signaling pathway']	9	3.827770	0.005674	1.233421	1.237692	1.229137	0.009140	0.135430	0.197283	0.997180	1.000000	0.999770	['AKT2', 'CHUK', 'IL12A', 'ITPR2', 'NFATC3', 'NFKB1', 'PPP3CB', 'RELA', 'SRC']
hsa00310	['Lysine degradation']	7	2.606630	0.004648	1.425169	1.430305	1.420015	0.009500	0.135430	0.197283	0.997770	1.000000	0.999770	['ALDH2', 'ALDH3A2', 'HADHA', 'KMT2D', 'KMT5A', 'WHSC1', 'WHSC1L1']
hsa05168	['Herpes simplex virus 1 infection']	15	7.555220	0.008560	0.989417	0.992682	0.986144	0.009530	0.135430	0.197283	0.995860	1.000000	0.999770	['AKT2', 'CHUK', 'EIF2B1', 'IL12A', 'NFKB1', 'PDIA3', 'PPP1CC', 'RELA', 'SRC', 'SRSF7', 'TAB2', 'ZNF141', 'ZNF200', 'ZNF689', 'ZNF764']
hsa00010	['Glycolysis / Gluconeogenesis']	5	1.341920	0.003594	1.897629	1.905336	1.889882	0.010470	0.135430	0.197283	0.998110	1.000000	0.999770	['ALDH2', 'ALDH3A1', 'ALDH3A2', 'ALDOC', 'GALM']
hsa05235	['PD-L1 expression and PD-1 checkpoint pathway in cancer']	9	3.896800	0.005702	1.207635	1.211851	1.203407	0.010550	0.135430	0.197283	0.996750	1.000000	0.999770	['AKT2', 'CD28', 'CHUK', 'EGFR', 'NFATC3', 'NFKB1', 'PPP3CB', 'RELA', 'RPS6KB1']
hsa05219	['Bladder cancer']	5	1.462050	0.003644	1.773935	1.781109	1.766726	0.011930	0.135430	0.208053	0.997940	1.000000	0.999770	['CDK4', 'EGFR', 'ERBB2', 'RPS6KA5', 'SRC']
hsa03016	['Transfer RNA biogenesis']	11	5.274270	0.006765	1.060460	1.064156	1.056755	0.012610	0.135430	0.208053	0.995390	1.000000	0.999770	['AARS2', 'AIMP2', 'ATE1', 'CDKAL1', 'DARS2', 'IARS', 'LCMT2', 'PUS10', 'WARS', 'XPO1', 'XPO5']
hsa05010	['Alzheimer disease']	21	12.937170	0.010345	0.698867	0.701173	0.696558	0.013560	0.135430	0.208053	0.993410	1.000000	0.999770	['AKT2', 'APP', 'ATP2A1', 'ATP2A2', 'ATP5G2', 'CHUK', 'DVL2', 'ITPR2', 'KLC3', 'LRP1', 'MCU', 'NDUFB10', 'NFKB1', 'PPP3CB', 'PSMB7', 'RELA', 'TUBA1A', 'TUBA1B', 'ULK2', 'WNT1', 'WNT10B']
hsa05120	['Epithelial cell signaling in Helicobacter pylori infection']	7	2.706080	0.004894	1.371150	1.376359	1.365923	0.013660	0.135430	0.208053	0.996150	1.000000	0.999770	['ATP6V1D', 'CHUK', 'EGFR', 'NFKB1', 'RAC1', 'RELA', 'SRC']
hsa04660	['T cell receptor signaling pathway']	11	5.402110	0.006781	1.025909	1.029526	1.022282	0.014270	0.135430	0.208053	0.994980	1.000000	0.999770	['AKT2', 'CD28', 'CDK4', 'CHUK', 'ICOS', 'NCK1', 'NFATC3', 'NFKB1', 'PPP3CB', 'RELA', 'VAV2']
