Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
siv_modules:33	['green']	9	2.39320000	0.00474588	1.91098403	1.91669464	1.90525073	0.00052999	0.00666000	0.01748983	0.99992000	1.00000000	0.99992000	['ARF5', 'CHUK', 'NFKB1', 'NUDT16L1', 'NUMA1', 'OGFR', 'SRCAP', 'TULP4', 'ZFAND3']
siv_modules:29	['yellow']	11	5.47293000	0.00706793	1.00711821	1.01083970	1.00338710	0.01917981	0.17681000	0.31646684	0.99220008	1.00000000	0.99992000	['ASCC1', 'CDK4', 'EIF5B', 'GALK2', 'HERC4', 'PARP16', 'PCMT1', 'RAB10', 'RAD51C', 'RAI1', 'VPS35']
siv_modules:18	['purple']	7	3.10842000	0.00532926	1.17117347	1.17611190	1.16621808	0.03278967	0.21657000	0.36068639	0.98987010	1.00000000	0.99992000	['BARD1', 'FBXL20', 'MPHOSPH9', 'SRCAP', 'SYNCRIP', 'TSFM', 'YIPF4']
siv_modules:31	['magenta']	8	4.31251000	0.00622960	0.89147220	0.89563425	0.88729810	0.06176938	0.25807000	0.50959740	0.97468025	1.00000000	0.99992000	['BRD4', 'CACNB3', 'FMNL3', 'HOOK3', 'RAB35', 'RABGAP1L', 'SHMT1', 'ZNF609']
siv_modules:26	['pink']	5	2.92951000	0.00512906	0.77126872	0.77631171	0.76620805	0.16352836	0.72507200	0.96113896	0.93377066	1.00000000	0.99992000	['ACVR2A', 'CD28', 'GCC1', 'KLHL24', 'P2RY14']
siv_modules:23	['salmon']	3	1.54041000	0.00377771	0.96164811	0.96870695	0.95455456	0.19672803	0.72507200	0.96113896	0.93640064	1.00000000	0.99992000	['PAFAH1B2', 'TFAP4', 'VPS54']
siv_modules:30	['tan']	7	4.83296000	0.00658036	0.53444787	0.53837116	0.53051388	0.20387796	0.72507200	0.96113896	0.89541105	1.00000000	0.99992000	['HELZ', 'HERC4', 'PHF14', 'PRPSAP2', 'XPO1', 'ZCCHC14', 'ZNF423']
siv_modules:25	['greenyellow']	3	1.74389000	0.00408250	0.78265346	0.78939248	0.77588282	0.25214748	0.72507200	1.00000000	0.90472095	1.00000000	0.99992000	['CLTC', 'SBNO1', 'SHCBP1']
siv_modules:17	['darkolivegreen']	1	0.72883000	0.00234264	0.45634575	0.46559043	0.44704145	0.56909431	1.00000000	1.00000000	0.85522145	1.00000000	0.99992000	['COPS2']
siv_modules:15	['paleturquoise']	1	0.90529000	0.00288468	0.14354808	0.15271313	0.13432443	0.61265387	1.00000000	1.00000000	0.77473225	0.92119217	0.99992000	['AFF1']
siv_modules:6	['darkturquoise']	2	2.17908000	0.00411129	-0.12371916	-0.11828552	-0.12917335	0.67696323	1.00000000	1.00000000	0.62827372	0.75357350	0.94433056	['BRIP1', 'NRG2']
siv_modules:5	['lightyellow']	2	2.22726000	0.00379090	-0.15526998	-0.15036725	-0.16018943	0.70675293	1.00000000	1.00000000	0.62955370	0.75357350	0.94433056	['DAPP1', 'WARS']
siv_modules:1	['red']	3	3.70110000	0.00579248	-0.30299162	-0.29848283	-0.30751453	0.72913271	1.00000000	1.00000000	0.48873511	0.58653526	0.84885572	['ICOS', 'NFE2L3', 'TRAFD1']
siv_modules:16	['grey60']	1	1.27866000	0.00334130	-0.35463270	-0.34711244	-0.36219236	0.74630254	1.00000000	1.00000000	0.62928371	0.75357350	0.94433056	['DAND5']
siv_modules:32	['blue']	5	6.56745000	0.00734419	-0.39340522	-0.39018217	-0.39663548	0.81154188	1.00000000	1.00000000	0.33820662	0.43001176	0.65651873	['ABI2', 'EDAR', 'SCFD2', 'SESN3', 'XPO1']
siv_modules:21	['orange']	1	1.75313000	0.00377649	-0.80993298	-0.80373080	-0.81616194	0.85820142	1.00000000	1.00000000	0.45432546	0.53363833	0.83293000	['SERPINC1']
siv_modules:19	['lightgreen']	2	3.45267000	0.00523154	-0.78771245	-0.78334707	-0.79209108	0.88834112	1.00000000	1.00000000	0.29733703	0.39224867	0.61826944	['GNAO1', 'KIAA0825']
siv_modules:3	['black']	3	5.51142000	0.00645518	-0.87746157	-0.87408605	-0.88084501	0.94240058	1.00000000	1.00000000	0.16060839	0.28805000	0.61826944	['CCNT1', 'LCMT2', 'MYT1L']
siv_modules:11	['brown']	4	7.73294000	0.00765462	-0.95101702	-0.94816368	-0.95387602	0.96956030	1.00000000	1.00000000	0.08315917	0.28805000	0.60460895	['CORO2B', 'INPP5F', 'OLFML2A', 'SLC28A1']
siv_modules:2	['turquoise']	10	16.76333000	0.01175596	-0.74530877	-0.74328669	-0.74733368	0.98062019	1.00000000	1.00000000	0.03982960	0.28805000	0.60460895	['ALDH3A2', 'BLNK', 'CRHR1', 'LRP1', 'SCARB1', 'SEC14L5', 'ST8SIA1', 'SYNPO2L', 'TMPRSS7', 'WDR76']
