Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
ltvip:0000067	['hiv2']	2	0.24330000	0.00151441	3.03919177	3.05704094	3.02111901	0.02051979	0.54690000	1.00000000	0.99904001	1.00000000	0.99904001	['CXCR6', 'PAK2']
ltvip:0000119	['polyomavirus']	2	0.33216000	0.00175895	2.59004975	2.60524894	2.57468872	0.03752962	0.54690000	1.00000000	0.99712003	1.00000000	0.99904001	['ERP29', 'SALL2']
ltvip:0000103	['nipahvirus']	1	0.08599000	0.00090970	3.53968729	3.56989384	3.50883474	0.08391916	0.68467333	1.00000000	0.99792002	1.00000000	0.99904001	['STAT1']
mergedvip:0002005	['merged_HBV']	11	7.71098000	0.00805365	0.51251739	0.51552786	0.50950063	0.13728863	0.92454000	1.00000000	0.92508075	1.00000000	0.99904001	['AICDA', 'AIP', 'ATP5A1', 'DAP3', 'GAA', 'GPC5', 'NCOA3', 'NCOA6', 'SF3B3', 'SFXN1', 'SSR2']
ltvip:0000136	['rsv']	1	0.14646000	0.00117486	2.77142139	2.79438345	2.74808796	0.14014860	0.92454000	1.00000000	0.99387006	1.00000000	0.99904001	['RHOA']
ltvip:0000088	['mhv']	2	0.68957000	0.00245687	1.53623108	1.54647501	1.52591390	0.14200858	0.92454000	1.00000000	0.97732023	1.00000000	0.99904001	['BRD3', 'PLCG2']
ltvip:0000047	['flv']	1	0.20464000	0.00140165	2.28883993	2.30846883	2.26894027	0.18844812	0.92454000	1.00000000	0.98445016	1.00000000	0.99904001	['SLC19A2']
mergedvip:0002002	['merged_DENV']	5	3.21658000	0.00540210	0.63640052	0.64123829	0.63154648	0.21448786	0.92454000	1.00000000	0.90203098	1.00000000	0.99904001	['MAPRE2', 'NFKBIB', 'NRBP1', 'SFXN1', 'SLIRP']
ltvip:0000078	['lasv']	1	0.23503000	0.00139847	2.08908318	2.10615036	2.07181166	0.22717773	0.92454000	1.00000000	0.99217008	1.00000000	0.99904001	['DAG1']
ltvip:0000144	['siv']	1	0.35930000	0.00177619	1.47673916	1.49093292	1.46240437	0.31870681	1.00000000	1.00000000	0.96140039	1.00000000	0.99904001	['PAK2']
ltvip:0000127	['rabiesvirus']	1	0.40155000	0.00189269	1.31634846	1.32988492	1.30268377	0.34646654	1.00000000	1.00000000	0.94869051	1.00000000	0.99904001	['MAST2']
mergedvip:0002001	['merged_ADV']	10	8.57578000	0.00870397	0.22166020	0.22458575	0.21872870	0.35206648	1.00000000	1.00000000	0.76469235	0.99784500	0.99904001	['ABAT', 'ANKRD13A', 'ATXN2', 'CAD', 'CDC25A', 'IGF2BP3', 'MCRIP1', 'MRE11', 'NCEH1', 'PRKAR2A']
ltvip:0000024	['chikv']	1	0.40566000	0.00183951	1.30165704	1.31468219	1.28851322	0.35963640	1.00000000	1.00000000	0.95653043	1.00000000	0.99904001	['ZBTB43']
mergedvip:0002007	['merged_HCV']	18	16.67340000	0.01194919	0.11044858	0.11251495	0.10837925	0.40194598	1.00000000	1.00000000	0.69337307	0.99784500	0.99904001	['ATF6', 'ATP5A1', 'ATXN10', 'CINP', 'EIF2B3', 'ESR1', 'FBXL20', 'FHOD1', 'MAPK12', 'MAPKAPK3', 'MSI2', 'PDPK1', 'PGAM5', 'PPM1G', 'SCARB1', 'SF3B3', 'SMYD3', 'SORBS2']
mergedvip:0002008	['merged_HIV']	37	35.63194000	0.01725248	0.05435424	0.05575063	0.05295649	0.43008570	1.00000000	1.00000000	0.64088359	0.99784500	0.99904001	['ANKRD13A', 'ATXN10', 'BICD2', 'CAMLG', 'CBFB', 'CCR3', 'CD4', 'COMT', 'CXCR6', 'DAP3', 'DCAF1', 'EHD4', 'EZH2', 'FBN2', 'HSPG2', 'IFT122', 'IGF2BP3', 'ISOC2', 'ITPR1', 'LTF', 'MDFIC', 'MED1', 'MEPCE', 'NGLY1', 'NIPBL', 'PACS2', 'PAK2', 'PPM1G', 'RBM12', 'RBM17', 'SF3A1', 'SF3B3', 'SLC30A7', 'SLIRP', 'SNW1', 'TARDBP', 'XRCC6']
ltvip:0000089	['mhv68']	1	0.55390000	0.00209708	0.85230256	0.86318557	0.84133682	0.46367536	1.00000000	1.00000000	0.91570084	1.00000000	0.99904001	['IRF4']
mergedvip:0002011	['merged_HTLV']	5	4.82748000	0.00639349	0.05065781	0.05447416	0.04683134	0.53845462	1.00000000	1.00000000	0.64975350	0.99784500	0.99904001	['MAD1L1', 'NEDD9', 'SOX5', 'TAB2', 'VAC14']
mergedvip:0002014	['merged_SV40']	7	6.96616000	0.00772556	0.00699131	0.01018771	0.00378782	0.55633444	1.00000000	1.00000000	0.60525395	0.99784500	0.99904001	['BRAP', 'FBN1', 'FBXW7', 'HDLBP', 'SLIRP', 'TACC2', 'TEAD1']
mergedvip:0002003	['merged_EBOV']	2	1.90956000	0.00420221	0.06675975	0.07309546	0.06039609	0.58010420	1.00000000	1.00000000	0.70310297	0.99784500	0.99904001	['ADA', 'STAT1']
mergedvip:0002010	['merged_HSV']	10	10.35841000	0.00943310	-0.05080257	-0.04817732	-0.05343260	0.59784402	1.00000000	1.00000000	0.53458465	0.99784500	0.99904001	['ATP5A1', 'CNIH4', 'EBF1', 'EXT1', 'HDAC9', 'MEIS2', 'NUP214', 'PILRA', 'SF3B3', 'XRCC6']
ltvip:0000066	['hiv1']	15	15.68505000	0.01149963	-0.06442763	-0.06231373	-0.06654463	0.61734383	1.00000000	1.00000000	0.49256507	0.99784500	0.99904001	['CAMLG', 'CCR3', 'CD4', 'CXCR6', 'EHD4', 'EZH2', 'HSPG2', 'ITPR1', 'LTF', 'MDFIC', 'PACS2', 'PAK2', 'SNW1', 'TARDBP', 'XRCC6']
ltvip:0000092	['mmtv']	1	0.86731000	0.00262595	0.20538035	0.21409010	0.19661770	0.62175378	1.00000000	1.00000000	0.79323207	0.99784500	0.99904001	['TEAD1']
mergedvip:0002009	['merged_HPV']	25	28.30803000	0.01531479	-0.17928326	-0.17772309	-0.18084511	0.78063219	1.00000000	1.00000000	0.28826712	0.99430333	0.99904001	['ABCC4', 'ANKRD13A', 'ATP9A', 'CCNA1', 'CDH1', 'CHD6', 'COMT', 'CPEB1', 'DNAJC11', 'MAGI2', 'MEGF8', 'NCEH1', 'PATJ', 'PLAGL1', 'SCRIB', 'SERPINF1', 'SGCD', 'SLC30A7', 'SLIRP', 'SNTB2', 'SNW1', 'SNX17', 'TAF7', 'TNS3', 'UBAC2']
mergedvip:0002012	['merged_IAV']	34	37.93358000	0.01791710	-0.15794079	-0.15657858	-0.15930428	0.78085219	1.00000000	1.00000000	0.27663723	0.99430333	0.99904001	['AKAP12', 'ANKFY1', 'ATP5A1', 'ATXN10', 'ATXN2', 'BIRC6', 'CERCAM', 'CERS6', 'CNIH4', 'COPS7B', 'DAP3', 'DDX46', 'DNAJC11', 'FRYL', 'GRIN2A', 'HDLBP', 'HK1', 'HPCAL1', 'IGF2BP3', 'LUC7L', 'MEPCE', 'MTX1', 'NISCH', 'PGAM5', 'PNKD', 'PPM1G', 'RASGRP1', 'RBM17', 'SF3A1', 'SF3B3', 'SF3B4', 'SLC2A12', 'TFB1M', 'TRAPPC9']
mergedvip:0002016	['merged_Coronaviruses']	1	1.72260000	0.00400269	-0.78458774	-0.77789869	-0.79130794	0.83340167	1.00000000	1.00000000	0.47929521	0.99784500	0.99904001	['BRF1']
ltvip:0000057	['hdv']	1	1.14709000	0.00218306	-0.19797859	-0.19249775	-0.20348033	0.85908141	1.00000000	1.00000000	0.74500255	0.99784500	0.99904001	['GPC5']
mergedvip:0002006	['merged_HCMV']	1	1.90336000	0.00416346	-0.92854846	-0.92225064	-0.93487388	0.86424136	1.00000000	1.00000000	0.42056579	0.99784500	0.99904001	['ULBP3']
mergedvip:0002004	['merged_EBV']	29	35.53331000	0.01684428	-0.29311918	-0.29175204	-0.29448763	0.90939091	1.00000000	1.00000000	0.12642874	0.61572000	0.99904001	['AIP', 'AKAP12', 'ANKRD13A', 'ATP5A1', 'ATXN2', 'COMT', 'CUBN', 'DNAH1', 'HDLBP', 'IGF2BP3', 'ITSN1', 'LAMA3', 'NCEH1', 'NISCH', 'PEX14', 'PI4K2A', 'PNKD', 'SLC30A7', 'SLC38A4', 'TCP11L1', 'TNIK', 'TNS3', 'TP63', 'TRIM32', 'UBAC2', 'USO1', 'WWOX', 'ZEB2', 'ZMYND11']
