Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
hsa04060	['Cytokine-cytokine receptor interaction']	20	6.00147000	0.00748407	1.73661218	1.74020589	1.73300949	0.00002000	0.00175000	0.00747993	1.00000000	1.00000000	1.00000000	['ACVR1', 'BMP6', 'BMP7', 'CCL24', 'CCR3', 'CCR9', 'CD4', 'CXCL9', 'CXCR6', 'IFNGR2', 'IL11', 'IL20RA', 'IL31RA', 'IL33', 'IL4R', 'INHBA', 'LEP', 'TNFRSF11A', 'TNFRSF13B', 'TNFSF14']
hsa05340	['Primary immunodeficiency']	6	0.69009000	0.00255880	3.12010607	3.13076540	3.10936740	0.00006000	0.00450500	0.01121989	1.00000000	1.00000000	1.00000000	['ADA', 'AICDA', 'BLNK', 'CD4', 'RFX5', 'TNFRSF13B']
hsa05140	['Leishmaniasis']	8	1.86917000	0.00409098	2.09760221	2.10390358	2.09127321	0.00033000	0.01935333	0.04113959	0.99996000	1.00000000	1.00000000	['IFNGR2', 'IRAK4', 'ITGAM', 'MAPK12', 'MAPK13', 'NFKBIB', 'STAT1', 'TAB2']
hsa04061	['Viral protein interaction with cytokine and cytokine receptor']	6	1.37665000	0.00364201	2.12380069	2.13141404	2.11614694	0.00219998	0.10439500	0.20569794	0.99966000	1.00000000	1.00000000	['CCL24', 'CCR3', 'CCR9', 'CXCL9', 'IL20RA', 'TNFSF14']
hsa04050	['Cytokine receptors']	9	3.25661000	0.00548961	1.46655404	1.47140971	1.46168198	0.00435996	0.17750400	0.27862721	0.99875001	1.00000000	1.00000000	['CCR3', 'CCR9', 'CXCR6', 'IFNGR2', 'IL20RA', 'IL31RA', 'IL4R', 'TNFRSF11A', 'TNFRSF13B']
hsa00051	['Fructose and mannose metabolism']	5	1.34491000	0.00322265	1.89441846	1.90131587	1.88748792	0.00484995	0.17750400	0.27862721	0.99943001	1.00000000	1.00000000	['FUK', 'GMDS', 'HK1', 'PMM2', 'SORD']
hsa04152	['AMPK signaling pathway']	14	6.90920000	0.00757548	1.01883625	1.02199642	1.01566913	0.00541995	0.17750400	0.27862721	0.99808002	1.00000000	1.00000000	['ACACB', 'CCNA1', 'CD36', 'CPT1C', 'CREB3L2', 'CREB5', 'GYS1', 'IGF1', 'IGF1R', 'LEP', 'PDPK1', 'PPP2R5C', 'RPTOR', 'TBC1D1']
hsa04122	['Sulfur relay system']	2	0.10869000	0.00104803	4.20170888	4.22926601	4.17361512	0.00595994	0.17750400	0.27862721	0.99975000	1.00000000	1.00000000	['TST', 'URM1']
hsa00350	['Tyrosine metabolism']	4	0.85000000	0.00280507	2.23446525	2.24395598	2.22491168	0.00800992	0.18803111	0.28510023	0.99913001	1.00000000	1.00000000	['COMT', 'HPD', 'IL4I1', 'TYR']
hsa04974	['Protein digestion and absorption']	11	5.05632000	0.00657648	1.12134385	1.12509184	1.11758609	0.00824992	0.18803111	0.28510023	0.99738003	1.00000000	1.00000000	['COL12A1', 'COL14A1', 'COL15A1', 'COL22A1', 'COL4A1', 'COL4A4', 'CPA1', 'ELN', 'PRCP', 'SLC16A10', 'SLC8A1']
hsa04350	['TGF-beta signaling pathway']	10	4.44813000	0.00610058	1.16872914	1.17268102	1.16476641	0.00879991	0.18803111	0.28510023	0.99732003	1.00000000	1.00000000	['ACVR1', 'BMP6', 'BMP7', 'FBN1', 'INHBA', 'LTBP1', 'NEO1', 'RHOA', 'SMAD6', 'TGIF2']
hsa04918	['Thyroid hormone synthesis']	11	5.42023000	0.00644155	1.02107755	1.02450255	1.01764439	0.00984990	0.18803111	0.28510023	0.99690003	1.00000000	1.00000000	['ADCY1', 'ASGR2', 'CREB3L2', 'CREB5', 'DUOX2', 'GPX1', 'ITPR1', 'ITPR2', 'LRP2', 'PLCB1', 'TG']
hsa04927	['Cortisol synthesis and secretion']	11	5.42546000	0.00641485	1.01968616	1.02309370	1.01627055	0.00990990	0.18803111	0.28510023	0.99676003	1.00000000	1.00000000	['ADCY1', 'CACNA1C', 'CACNA1I', 'CREB3L2', 'CREB5', 'ITPR1', 'ITPR2', 'NCEH1', 'PDE8A', 'PLCB1', 'SCARB1']
hsa00910	['Nitrogen metabolism']	3	0.54634000	0.00224435	2.45709154	2.46889624	2.44518945	0.01282987	0.19324571	0.34274086	0.99887001	1.00000000	1.00000000	['CA4', 'CA5A', 'CA7']
hsa04621	['NOD-like receptor signaling pathway']	12	6.11492000	0.00725468	0.97262888	0.97604802	0.96920161	0.01482985	0.20881467	0.35903641	0.99434006	1.00000000	1.00000000	['IRAK4', 'ITPR1', 'ITPR2', 'MAPK12', 'MAPK13', 'NAIP', 'NFKBIB', 'PLCB1', 'RHOA', 'STAT1', 'TAB2', 'TRPM7']
hsa04914	['Progesterone-mediated oocyte maturation']	10	4.83005000	0.00631372	1.04988997	1.05365676	1.04611332	0.01535985	0.20881467	0.35903641	0.99502005	1.00000000	1.00000000	['ADCY1', 'BRAF', 'CCNA1', 'CDC25A', 'CPEB1', 'IGF1', 'IGF1R', 'MAD1L1', 'MAPK12', 'MAPK13']
hsa04658	['Th1 and Th2 cell differentiation']	8	3.45551000	0.00548330	1.21110135	1.21567272	1.20651545	0.01702983	0.21662471	0.36595534	0.99472005	1.00000000	1.00000000	['CD4', 'DLL1', 'IFNGR2', 'IL4R', 'MAPK12', 'MAPK13', 'NFKBIB', 'STAT1']
hsa05169	['Epstein-Barr virus infection']	12	6.18980000	0.00747284	0.95506971	0.95854899	0.95158201	0.01871981	0.22270833	0.36595534	0.99262007	1.00000000	1.00000000	['BLNK', 'CCNA1', 'IRAK4', 'LYN', 'MAPK12', 'MAPK13', 'NCOR2', 'NFKBIB', 'PLCG2', 'SNW1', 'STAT1', 'TAB2']
hsa04052	['Cytokines and growth factors']	12	6.46807000	0.00716141	0.89162721	0.89481836	0.88842898	0.01889981	0.22270833	0.36595534	0.99272007	1.00000000	1.00000000	['BMP6', 'BMP7', 'CCL24', 'CXCL9', 'EFNA5', 'IGF1', 'IL11', 'IL33', 'INHBA', 'LEP', 'PDGFD', 'TNFSF14']
hsa01522	['Endocrine resistance']	11	5.71591000	0.00683241	0.94444842	0.94789330	0.94099529	0.01956980	0.22270833	0.36595534	0.99302007	1.00000000	1.00000000	['ABCB11', 'ADCY1', 'BRAF', 'DLL1', 'ESR1', 'IGF1', 'IGF1R', 'MAPK12', 'MAPK13', 'MED1', 'NCOA3']
hsa00520	['Amino sugar and nucleotide sugar metabolism']	5	1.77412000	0.00379826	1.49482450	1.50098872	1.48863383	0.02107979	0.22270833	0.37542101	0.99552004	1.00000000	1.00000000	['FUK', 'GMDS', 'HK1', 'NANS', 'PMM2']
hsa05133	['Pertussis']	5	1.70452000	0.00394435	1.55256257	1.55922411	1.54587012	0.02357976	0.23538955	0.40085599	0.99457005	1.00000000	1.00000000	['IRAK4', 'ITGAM', 'MAPK12', 'MAPK13', 'RHOA']
hsa04064	['NF-kappa B signaling pathway']	8	3.76249000	0.00566337	1.08831225	1.09264887	1.08396256	0.02620974	0.25367913	0.42619313	0.99124009	1.00000000	1.00000000	['BLNK', 'EDARADD', 'IRAK4', 'LYN', 'PLCG2', 'TAB2', 'TNFRSF11A', 'TNFSF14']
hsa04062	['Chemokine signaling pathway']	16	9.91410000	0.00884705	0.69051819	0.69309073	0.68794105	0.02796972	0.25971792	0.42770212	0.98677013	1.00000000	1.00000000	['ADCY1', 'BRAF', 'CCL24', 'CCR3', 'CCR9', 'CXCL9', 'CXCR6', 'GNG11', 'GNGT1', 'GRK4', 'LYN', 'NFKBIB', 'PLCB1', 'RHOA', 'STAT1', 'TIAM1']
hsa04114	['Oocyte meiosis']	11	6.04695000	0.00701514	0.86322397	0.86656747	0.85987270	0.02858971	0.25971792	0.42770212	0.98896011	1.00000000	1.00000000	['ADCY1', 'CPEB1', 'ESPL1', 'IGF1', 'IGF1R', 'ITPR1', 'ITPR2', 'MAD1L1', 'MAPK12', 'MAPK13', 'PPP2R5C']
hsa00360	['Phenylalanine metabolism']	2	0.32851000	0.00175137	2.60599081	2.62129216	2.59052543	0.03762962	0.31890731	0.47724189	0.99744003	1.00000000	1.00000000	['HPD', 'IL4I1']
hsa03040	['Spliceosome']	6	2.51355000	0.00487704	1.25523611	1.26082380	1.24962670	0.03853961	0.31890731	0.47724189	0.98777012	1.00000000	1.00000000	['DDX46', 'RBM17', 'SF3A1', 'SF3B3', 'SF3B4', 'SNW1']
hsa05145	['Toxoplasmosis']	9	4.75898000	0.00633703	0.91927261	0.92310967	0.91542532	0.03906961	0.31890731	0.47724189	0.98508015	1.00000000	1.00000000	['IFNGR2', 'IRAK4', 'LAMA3', 'MAPK12', 'MAPK13', 'NFKBIB', 'PDPK1', 'STAT1', 'TAB2']
hsa00250	['Alanine, aspartate and glutamate metabolism']	4	1.32703000	0.00352953	1.59179901	1.59945302	1.58410419	0.04017960	0.31890731	0.47724189	0.99122009	1.00000000	1.00000000	['ABAT', 'ALDH4A1', 'CAD', 'IL4I1']
hsa04620	['Toll-like receptor signaling pathway']	6	2.63183000	0.00483676	1.18889620	1.19418922	1.18358368	0.04123959	0.31890731	0.47724189	0.98745013	1.00000000	1.00000000	['CXCL9', 'IRAK4', 'MAPK12', 'MAPK13', 'STAT1', 'TAB2']
hsa04672	['Intestinal immune network for IgA production']	3	0.77348000	0.00273724	1.95552661	1.96570165	1.94527930	0.04144959	0.31890731	0.47724189	0.99325007	1.00000000	1.00000000	['AICDA', 'CCR9', 'TNFRSF13B']
hsa00620	['Pyruvate metabolism']	4	1.37273000	0.00352662	1.54295211	1.55034585	1.53552028	0.04206958	0.31890731	0.47724189	0.99104009	1.00000000	1.00000000	['ACACB', 'ACSS2', 'ME3', 'PKLR']
hsa04934	['Cushing syndrome']	15	9.55263000	0.00873547	0.65099261	0.65362877	0.64835163	0.04210958	0.31890731	0.47724189	0.97942021	1.00000000	1.00000000	['ADCY1', 'AIP', 'BRAF', 'CACNA1C', 'CACNA1I', 'CREB3L2', 'CREB5', 'ITPR1', 'ITPR2', 'KMT2A', 'NCEH1', 'PDE8A', 'PLCB1', 'RBBP5', 'SCARB1']
hsa00920	['Sulfur metabolism']	2	0.35887000	0.00184592	2.47846677	2.49323254	2.46354831	0.04634954	0.31890731	0.50984490	0.99590004	1.00000000	1.00000000	['SELENBP1', 'TST']
hsa04614	['Renin-angiotensin system']	3	0.86361000	0.00281554	1.79651065	1.80588706	1.78707289	0.04947951	0.31890731	0.52872386	0.99220008	1.00000000	1.00000000	['NLN', 'PRCP', 'PREP']
hsa05030	['Cocaine addiction']	6	2.88914000	0.00486155	1.05432239	1.05916948	1.04945895	0.05412946	0.34216917	0.56234493	0.98371016	1.00000000	1.00000000	['CREB3L2', 'CREB5', 'GPSM1', 'GRIN2A', 'GRIN2B', 'GRM2']
hsa05203	['Viral carcinogenesis']	12	7.44112000	0.00788455	0.68944272	0.69249682	0.68638214	0.05825942	0.36104784	0.57537886	0.97216028	1.00000000	1.00000000	['CCNA1', 'CCR3', 'CREB3L2', 'CREB5', 'HDAC9', 'LYN', 'MAD1L1', 'RHOA', 'SCIN', 'SCRIB', 'SNW1', 'VAC14']
