Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
siv_modules:2	['turquoise']	27	17.77702000	0.01210865	0.60294590	0.60490992	0.60097921	0.01500985	0.23545000	0.49532505	0.99168008	1.00000000	0.99168008	['AGBL2', 'ARHGAP26', 'ARRDC2', 'BAIAP2', 'BANK1', 'BLNK', 'CCL24', 'CD36', 'COLEC12', 'EPB41L1', 'FGD6', 'FHOD1', 'GPX1', 'INHBA', 'ITGAM', 'MAPK13', 'NLN', 'PLCB1', 'PLCG2', 'PTPRE', 'PTPRJ', 'SCARB1', 'SLC23A2', 'SLC24A3', 'SOX5', 'TNFSF14', 'TYR']
siv_modules:10	['yellowgreen']	3	1.28004000	0.00302532	1.22877361	1.23557704	1.22193794	0.10210898	0.99699500	1.00000000	0.98268017	1.00000000	0.99168008	['IL4I1', 'SORBS2', 'ULK4']
siv_modules:12	['skyblue']	3	1.29588000	0.00327929	1.21103037	1.21831358	1.20371020	0.12488875	0.99699500	1.00000000	0.97293027	1.00000000	0.99168008	['GRIN2A', 'PMM2', 'TACC2']
siv_modules:33	['green']	5	2.92166000	0.00518174	0.77513980	0.78024815	0.77001329	0.16209838	0.99699500	1.00000000	0.93180068	1.00000000	0.99168008	['AAMP', 'APBB1', 'ISOC2', 'KLHDC3', 'THBS3']
siv_modules:6	['darkturquoise']	4	2.28407000	0.00421980	0.80839313	0.81371405	0.80305252	0.17351826	0.99699500	1.00000000	0.94308057	1.00000000	0.99168008	['ATP5A1', 'GPSM1', 'MPPED2', 'RGS6']
siv_modules:32	['blue']	9	7.23393000	0.00774703	0.31514536	0.31823211	0.31205200	0.28954710	1.00000000	1.00000000	0.82590174	0.93827250	0.99168008	['CAMK1D', 'DNER', 'DPP10', 'EDARADD', 'NCOR2', 'NPEPL1', 'OSBPL1A', 'SENP7', 'SPAG17']
siv_modules:4	['lightcyan']	2	1.14729000	0.00305437	0.80176989	0.80943113	0.79406776	0.31879681	1.00000000	1.00000000	0.91275087	1.00000000	0.99168008	['CREB5', 'MEF2C']
siv_modules:21	['orange']	2	1.72448000	0.00379082	0.21383860	0.22016747	0.20748185	0.53345467	1.00000000	1.00000000	0.75959240	0.93827250	0.99168008	['PDE4D', 'SPR']
siv_modules:23	['salmon']	2	1.78714000	0.00405429	0.16234734	0.16887832	0.15578667	0.54301457	1.00000000	1.00000000	0.73719263	0.93827250	0.99168008	['VPS54', 'YIPF5']
siv_modules:31	['magenta']	5	4.91499000	0.00662053	0.02473961	0.02862103	0.02084773	0.55213448	1.00000000	1.00000000	0.63292367	0.93827250	0.99168008	['ADCY1', 'DPP9', 'EPB41', 'MBD5', 'PACS2']
