Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
ltvip:0000119	['polyomavirus']	4	0.59709000	0.00324341	2.74397969	2.75956869	2.72822040	0.00164998	0.04512000	0.09899901	0.99983000	1.00000000	0.99983000	['ERP29', 'SALL2']; ['PDIA3', 'VPS39']
mergedvip:0002008	['merged_HIV']	83	67.13041000	0.01029179	0.30614488	0.30658718	0.30570245	0.02219978	0.33595000	0.42453861	0.98364016	1.00000000	0.99983000	['ANKRD13A', 'ATXN10', 'BICD2', 'CAMLG', 'CBFB', 'CCR3', 'CD4', 'COMT', 'CXCR6', 'DAP3', 'DCAF1', 'EHD4', 'EZH2', 'FBN2', 'HSPG2', 'IFT122', 'IGF2BP3', 'ISOC2', 'ITPR1', 'LTF', 'MDFIC', 'MED1', 'MEPCE', 'NGLY1', 'NIPBL', 'PACS2', 'PAK2', 'PPM1G', 'RBM12', 'RBM17', 'SF3A1', 'SF3B3', 'SLC30A7', 'SLIRP', 'SNW1', 'TARDBP', 'XRCC6']; ['AFF1', 'AKAP8L', 'ANAPC7', 'ANKRD13A', 'APP', 'ATP2A2', 'ATP6V1D', 'CALU', 'CCNT1', 'CD28', 'CD63', 'CERS2', 'EIF5B', 'GNAO1', 'GTF2H3', 'HADHA', 'ITGAL', 'KCNH3', 'LEF1', 'LRP1', 'MFAP1', 'MYH10', 'NDUFB10', 'NEK7', 'NIPBL', 'NOP58', 'NUDC', 'PAXBP1', 'PCMT1', 'PDS5B', 'PSMB7', 'RAC1', 'SERPINC1', 'SF3A3', 'SMG6', 'SP1', 'SPATA5L1', 'SPATS2', 'STOML2', 'TUBA1A', 'TUBA1B', 'VAV2', 'VPS35', 'WHSC1', 'YEATS4', 'ZNF638']
mergedvip:0002012	['merged_IAV']	88	71.47519000	0.01050120	0.30006097	0.30048484	0.29963699	0.02258977	0.33595000	0.42453861	0.98353016	1.00000000	0.99983000	['AKAP12', 'ANKFY1', 'ATP5A1', 'ATXN10', 'ATXN2', 'BIRC6', 'CERCAM', 'CERS6', 'CNIH4', 'COPS7B', 'DAP3', 'DDX46', 'DNAJC11', 'FRYL', 'GRIN2A', 'HDLBP', 'HK1', 'HPCAL1', 'IGF2BP3', 'LUC7L', 'MEPCE', 'MTX1', 'NISCH', 'PGAM5', 'PNKD', 'PPM1G', 'RASGRP1', 'RBM17', 'SF3A1', 'SF3B3', 'SF3B4', 'SLC2A12', 'TFB1M', 'TRAPPC9']; ['AIMP2', 'AKAP8L', 'ALDH3A2', 'ARF5', 'ATP2A2', 'ATXN2', 'BIRC6', 'CALU', 'CBX3', 'CCDC88A', 'CHD1', 'CLTC', 'CRAMP1', 'CTPS1', 'DDX23', 'DDX55', 'DNAJA2', 'EGFR', 'EIF2B1', 'EIF5AL1', 'FLNC', 'GCN1', 'GLYR1', 'GOLGA4', 'GPN3', 'HADHA', 'HNRNPUL1', 'KPNA6', 'LARP4', 'LRRFIP2', 'MCM7', 'MDN1', 'MFAP1', 'MRPS35', 'MYH10', 'NT5C2', 'NUDC', 'P4HA1', 'PRPSAP2', 'PSMB7', 'PTX3', 'QPCTL', 'RAB10', 'RPL37', 'SF3A3', 'SF3B4', 'SUMO1', 'TNRC18', 'TRIP12', 'TROVE2', 'TUBA1A', 'TUBA1B', 'XPO1', 'XPO7']
mergedvip:0002002	['merged_DENV']	11	5.93239000	0.00573090	0.89081817	0.89360288	0.88802809	0.03219968	0.33595000	0.42453861	0.98589014	1.00000000	0.99983000	['MAPRE2', 'NFKBIB', 'NRBP1', 'SFXN1', 'SLIRP']; ['ATP2A2', 'COPG2', 'COPS2', 'RILPL2', 'XPO1', 'XPO7']
mergedvip:0002007	['merged_HCV']	41	31.04956000	0.00854249	0.40105109	0.40184471	0.40025703	0.03672963	0.33595000	0.42453861	0.97566024	1.00000000	0.99983000	['ATF6', 'ATP5A1', 'ATXN10', 'CINP', 'EIF2B3', 'ESR1', 'FBXL20', 'FHOD1', 'MAPK12', 'MAPKAPK3', 'MSI2', 'PDPK1', 'PGAM5', 'PPM1G', 'SCARB1', 'SF3B3', 'SMYD3', 'SORBS2']; ['AKAP8L', 'ATP2A2', 'CALU', 'CCDC88A', 'CLTC', 'COG5', 'DNAJA2', 'ERC1', 'ERLIN1', 'FBXL20', 'HADHA', 'LATS1', 'PIGS', 'PPIB', 'PPP1R13L', 'RASAL2', 'RRP12', 'SCARB1', 'SLC22A7', 'SRC', 'SRCAP', 'SYNCRIP', 'TUBA1B']
mergedvip:0002005	['merged_HBV']	21	14.46525000	0.00702203	0.53779807	0.53919808	0.53639670	0.04817952	0.33595000	0.42453861	0.97257027	1.00000000	0.99983000	['AICDA', 'AIP', 'ATP5A1', 'DAP3', 'GAA', 'GPC5', 'NCOA3', 'NCOA6', 'SF3B3', 'SFXN1', 'SSR2']; ['CLTC', 'COPS3', 'MRPS18A', 'NCOA3', 'NUP155', 'QPCTL', 'SRPK2', 'TET2', 'TXLNA', 'ZC3H18']
ltvip:0000042	['ev71']	3	0.85817000	0.00355451	1.80562713	1.81752907	1.79362618	0.04952950	0.33595000	0.42453861	0.99182008	1.00000000	0.99983000	None; ['ANKRD17', 'EIF5B', 'GBF1']
mergedvip:0002006	['merged_HCMV']	7	3.52602000	0.00502431	0.98931426	0.99341988	0.98519694	0.05743943	0.33595000	0.43079569	0.97903021	1.00000000	0.99983000	['ULBP3']; ['ABI2', 'ANKRD17', 'RAB10', 'TRIM23', 'TUBA1A', 'USP54']
ltvip:0000067	['hiv2']	2	0.48528000	0.00309348	2.04311069	2.06138774	2.02459912	0.08058919	0.33595000	0.50921491	0.98951010	1.00000000	0.99983000	['CXCR6', 'PAK2']; None
mergedvip:0002010	['merged_HSV']	26	19.71522000	0.00763415	0.39920181	0.40031867	0.39808410	0.08486915	0.33595000	0.50921491	0.94508055	1.00000000	0.99983000	['ATP5A1', 'CNIH4', 'EBF1', 'EXT1', 'HDAC9', 'MEIS2', 'NUP214', 'PILRA', 'SF3B3', 'XRCC6']; ['ATP2A2', 'BLM', 'CDK4', 'CTCF', 'DNAJA2', 'GCN1', 'KIF3C', 'KMT2D', 'MCRS1', 'NFKB1', 'NUP214', 'P4HA1', 'PPL', 'RELA', 'TUBA1A', 'ZNF638']
mergedvip:0002003	['merged_EBOV']	6	3.51176000	0.00505449	0.77276825	0.77691524	0.76860930	0.13706863	0.41088000	0.69050738	0.93979060	1.00000000	0.99983000	['ADA', 'STAT1']; ['ATP2A2', 'KPNA6', 'SPOP', 'TUBA1A']
ltvip:0000144	['siv']	2	0.71380000	0.00333390	1.48640819	1.49982224	1.47286825	0.15086849	0.41088000	0.69050738	0.97609024	1.00000000	0.99983000	['PAK2']; ['ITGAL']
ltvip:0000103	['nipahvirus']	1	0.17110000	0.00239482	2.54708834	2.58691908	2.50612662	0.16008840	0.41088000	0.69050738	0.98929011	1.00000000	0.99983000	['STAT1']; None
