Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
siv_modules:33	['green']	14	5.31486000	0.00560302	1.39732323	1.40036186	1.39427819	0.00078999	0.01527000	0.02606974	0.99974000	0.99938667	0.99974000	['AAMP', 'APBB1', 'ISOC2', 'KLHDC3', 'THBS3']; ['ARF5', 'CHUK', 'NFKB1', 'NUDT16L1', 'NUMA1', 'OGFR', 'SRCAP', 'TULP4', 'ZFAND3']
siv_modules:29	['yellow']	17	11.74078000	0.00679373	0.53400649	0.53567514	0.53233591	0.07809922	0.82458500	1.00000000	0.95483045	0.96542950	0.98466890	['FRMD3', 'GALK2', 'RASGRP1', 'SALL2', 'SIT1', 'TBC1D7']; ['ASCC1', 'CDK4', 'EIF5B', 'GALK2', 'HERC4', 'PARP16', 'PCMT1', 'RAB10', 'RAD51C', 'RAI1', 'VPS35']
siv_modules:31	['magenta']	13	9.22750000	0.00637461	0.49449989	0.49649182	0.49250520	0.13169868	0.96702333	1.00000000	0.92462075	0.96542950	0.98427371	['ADCY1', 'DPP9', 'EPB41', 'MBD5', 'PACS2']; ['BRD4', 'CACNB3', 'FMNL3', 'HOOK3', 'RAB35', 'RABGAP1L', 'SHMT1', 'ZNF609']
siv_modules:23	['salmon']	5	3.32755000	0.00497664	0.58746775	0.59177666	0.58314593	0.23734763	1.00000000	1.00000000	0.88758112	0.96542950	0.97633924	['VPS54', 'YIPF5']; ['PAFAH1B2', 'TFAP4', 'VPS54']
siv_modules:6	['darkturquoise']	6	4.46315000	0.00513276	0.42690021	0.43021468	0.42357810	0.27439726	1.00000000	1.00000000	0.86238138	0.96542950	0.97633924	['ATP5A1', 'GPSM1', 'MPPED2', 'RGS6']; ['BRIP1', 'NRG2']
siv_modules:18	['purple']	8	6.44943000	0.00586367	0.31082834	0.31344929	0.30820262	0.31559684	1.00000000	1.00000000	0.80625194	0.96542950	0.95831042	['FBXL20']; ['BARD1', 'FBXL20', 'MPHOSPH9', 'SRCAP', 'SYNCRIP', 'TSFM', 'YIPF4']
siv_modules:30	['tan']	12	10.24930000	0.00653778	0.22750902	0.22934837	0.22566733	0.32622674	1.00000000	1.00000000	0.77892221	0.96542950	0.95831042	['ATP9A', 'CBFB', 'TFB1M', 'ZCCHC14', 'ZNF423']; ['HELZ', 'HERC4', 'PHF14', 'PRPSAP2', 'XPO1', 'ZCCHC14', 'ZNF423']
siv_modules:2	['turquoise']	37	34.54035000	0.00868715	0.09924257	0.09996808	0.09851669	0.34824652	1.00000000	1.00000000	0.71711283	0.96542950	0.95831042	['AGBL2', 'ARHGAP26', 'ARRDC2', 'BAIAP2', 'BANK1', 'BLNK', 'CCL24', 'CD36', 'COLEC12', 'EPB41L1', 'FGD6', 'FHOD1', 'GPX1', 'INHBA', 'ITGAM', 'MAPK13', 'NLN', 'PLCB1', 'PLCG2', 'PTPRE', 'PTPRJ', 'SCARB1', 'SLC23A2', 'SLC24A3', 'SOX5', 'TNFSF14', 'TYR']; ['ALDH3A2', 'BLNK', 'CRHR1', 'LRP1', 'SCARB1', 'SEC14L5', 'ST8SIA1', 'SYNPO2L', 'TMPRSS7', 'WDR76']
siv_modules:26	['pink']	7	6.04705000	0.00574342	0.21112341	0.21386133	0.20838029	0.40203598	1.00000000	1.00000000	0.74516255	0.96542950	0.95831042	['LILRA4', 'USP3']; ['ACVR2A', 'CD28', 'GCC1', 'KLHL24', 'P2RY14']
siv_modules:12	['skyblue']	3	2.49254000	0.00451147	0.26734584	0.27255894	0.26211385	0.46649534	1.00000000	1.00000000	0.77147229	0.96542950	0.95831042	['GRIN2A', 'PMM2', 'TACC2']; None
