Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
mergedvip:0002008	['merged_HIV']	92	70.77455000	0.01043164	0.37840319	0.37882841	0.37797784	0.00473995	0.14000000	0.20679793	0.99661003	1.00000000	0.99969000	['ANKRD13A', 'ATXN10', 'BICD2', 'CAMLG', 'CBFB', 'CCR3', 'CD4', 'COMT', 'CXCR6', 'DAP3', 'DCAF1', 'EHD4', 'EZH2', 'FBN2', 'HSPG2', 'IFT122', 'IGF2BP3', 'ISOC2', 'ITPR1', 'LTF', 'MDFIC', 'MED1', 'MEPCE', 'NGLY1', 'NIPBL', 'PACS2', 'PAK2', 'PPM1G', 'RBM12', 'RBM17', 'SF3A1', 'SF3B3', 'SLC30A7', 'SLIRP', 'SNW1', 'TARDBP', 'XRCC6']; ['ANAPC7', 'ANKRD13A', 'APOA1', 'APP', 'ATP2A2', 'ATXN10', 'CBFB', 'CCDC134', 'CCNB2', 'CHP1', 'COX5A', 'CTNNA3', 'DCAF8', 'DDX6', 'DOCK2', 'DYNC1H1', 'ERGIC3', 'EXOSC1', 'FYN', 'GLG1', 'GTF2H3', 'HEBP1', 'HIST1H2BD', 'HIVEP1', 'HLA-A', 'IGF2BP2', 'IGF2BP3', 'ISOC2', 'LBR', 'LPO', 'MAP3K5', 'MX2', 'MYH9', 'MYO1E', 'NARS', 'NEDD4L', 'NFATC2', 'NUDC', 'OSBPL6', 'PAK2', 'PIP4K2A', 'PRKCB', 'RBM12', 'RBM7', 'RTN4', 'SCAMP3', 'SF3B3', 'SGPL1', 'SNU13', 'SPCS3', 'TCF12', 'TNPO3', 'VAV2', 'WDR36', 'WHSC1']
ltvip:0000067	['hiv2']	3	0.48362000	0.00308785	2.63301669	2.65132287	2.61447523	0.01011990	0.14109500	0.20679793	0.99903001	1.00000000	0.99969000	['CXCR6', 'PAK2']; ['PAK2']
ltvip:0000103	['nipahvirus']	2	0.17069000	0.00239306	3.55054956	3.59044576	3.50951861	0.01033990	0.14109500	0.20679793	0.99969000	1.00000000	0.99969000	['STAT1']; ['STAT1']
ltvip:0000119	['polyomavirus']	3	0.65984000	0.00332756	2.18477436	2.19925245	2.17014949	0.02303977	0.17424750	0.25429746	0.99712003	1.00000000	0.99969000	['ERP29', 'SALL2']; ['PDIA3']
mergedvip:0002002	['merged_DENV']	12	6.39948000	0.00584280	0.90700782	0.90963981	0.90437101	0.02474975	0.17424750	0.25429746	0.98930011	1.00000000	0.99969000	['MAPRE2', 'NFKBIB', 'NRBP1', 'SFXN1', 'SLIRP']; ['AKAP9', 'ATP2A2', 'DCUN1D4', 'DYNC1H1', 'FCGR2A', 'MMS19', 'NFKBIB']
ltvip:0000144	['siv']	3	0.71641000	0.00334995	2.06610512	2.07953458	2.05254948	0.02542975	0.17424750	0.25429746	0.99730003	1.00000000	0.99969000	['PAK2']; ['FYN', 'PAK2']
mergedvip:0002007	['merged_HCV']	41	33.14818000	0.00868248	0.30669425	0.30744982	0.30593828	0.08651913	0.42876143	0.69876801	0.93731063	1.00000000	0.99969000	['ATF6', 'ATP5A1', 'ATXN10', 'CINP', 'EIF2B3', 'ESR1', 'FBXL20', 'FHOD1', 'MAPK12', 'MAPKAPK3', 'MSI2', 'PDPK1', 'PGAM5', 'PPM1G', 'SCARB1', 'SF3B3', 'SMYD3', 'SORBS2']; ['APOA1', 'ARL8B', 'ATP2A2', 'ATXN10', 'C11orf84', 'CCDC88A', 'CHCHD3', 'COG8', 'FHOD1', 'HLA-A', 'KRT9', 'LBR', 'PDPK1', 'RRP12', 'RTN1', 'RTN3', 'SCAMP3', 'SCARB1', 'SEC63', 'SF3B3', 'SMYD3', 'SORBS2', 'SPTAN1']
ltvip:0000017	['blv']	3	1.21984000	0.00367159	1.29827057	1.30692925	1.28955962	0.09316907	0.42876143	0.69876801	0.98464015	1.00000000	0.99969000	None; ['DNMT3A', 'FDPS', 'PCSK5']
mergedvip:0002010	['merged_HSV']	26	20.57003000	0.00771771	0.33796773	0.33904989	0.33688474	0.12210878	0.44034000	0.81405853	0.91756082	1.00000000	0.99969000	['ATP5A1', 'CNIH4', 'EBF1', 'EXT1', 'HDAC9', 'MEIS2', 'NUP214', 'PILRA', 'SF3B3', 'XRCC6']; ['ATP2A2', 'ATP5L', 'B2M', 'DST', 'EXT1', 'GALNT1', 'GCN1', 'HDAC5', 'HDAC9', 'HIST1H2BD', 'HLA-A', 'LBR', 'MED9', 'SF3B3', 'SPCS3', 'TAF3']
ltvip:0000088	['mhv']	3	1.36762000	0.00393673	1.13329507	1.14157692	1.12496541	0.14670853	0.47346900	0.88025120	0.96132039	1.00000000	0.99969000	['BRD3', 'PLCG2']; ['DNMT3A']
