Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
hsa05340	['Primary immunodeficiency']	8	1.360940	0.004009	2.555397	2.563872	2.546871	0.000040	0.006110	0.007480	1.000000	1.000000	1.000000	['ADA', 'AICDA', 'BLNK', 'CD4', 'RFX5', 'TNFRSF13B']; ['CD3D', 'TNFRSF13B']
hsa00051	['Fructose and mannose metabolism']	10	2.681540	0.004513	1.898866	1.903714	1.894002	0.000050	0.006110	0.007480	0.999990	1.000000	1.000000	['FUK', 'GMDS', 'HK1', 'PMM2', 'SORD']; ['FUK', 'GMDS', 'HKDC1', 'MPI', 'SORD']
hsa05140	['Leishmaniasis']	13	3.725760	0.005083	1.802905	1.806836	1.798963	0.000060	0.006110	0.007480	1.000000	1.000000	1.000000	['IFNGR2', 'IRAK4', 'ITGAM', 'MAPK12', 'MAPK13', 'NFKBIB', 'STAT1', 'TAB2']; ['MAPK14', 'NFKBIB', 'PRKCB', 'STAT1', 'TAB2']
hsa04658	['Th1 and Th2 cell differentiation']	18	6.876680	0.005885	1.388213	1.390680	1.385741	0.000100	0.006110	0.008228	0.999970	1.000000	1.000000	['CD4', 'DLL1', 'IFNGR2', 'IL4R', 'MAPK12', 'MAPK13', 'NFKBIB', 'STAT1']; ['CD3D', 'CD3G', 'IL12RB1', 'IL13', 'MAML3', 'MAPK14', 'NFATC2', 'NFKBIB', 'NOTCH3', 'STAT1']
hsa04060	['Cytokine-cytokine receptor interaction']	27	11.936680	0.006863	1.177558	1.179216	1.175898	0.000110	0.006110	0.008228	0.999980	1.000000	1.000000	['ACVR1', 'BMP6', 'BMP7', 'CCL24', 'CCR3', 'CCR9', 'CD4', 'CXCL9', 'CXCR6', 'IFNGR2', 'IL11', 'IL20RA', 'IL31RA', 'IL33', 'IL4R', 'INHBA', 'LEP', 'TNFRSF11A', 'TNFRSF13B', 'TNFSF14']; ['ACKR3', 'IL12RB1', 'IL13', 'IL31', 'IL34', 'TNFRSF13B', 'TNFSF13B']
hsa05169	['Epstein-Barr virus infection']	26	12.292500	0.006857	1.080733	1.082342	1.079123	0.000170	0.006110	0.010597	0.999950	1.000000	1.000000	['BLNK', 'CCNA1', 'IRAK4', 'LYN', 'MAPK12', 'MAPK13', 'NCOR2', 'NFKBIB', 'PLCG2', 'SNW1', 'STAT1', 'TAB2']; ['AKT3', 'B2M', 'CD3D', 'CD3G', 'HLA-A', 'MAPK14', 'NFKBIB', 'OAS2', 'PDIA3', 'PSMD14', 'RIPK1', 'SHFM1', 'STAT1', 'TAB2']
hsa00520	['Amino sugar and nucleotide sugar metabolism']	11	3.540600	0.004894	1.635438	1.639421	1.631444	0.000240	0.007133	0.012823	0.999960	1.000000	1.000000	['FUK', 'GMDS', 'HK1', 'NANS', 'PMM2']; ['CYB5RL', 'FUK', 'GFPT2', 'GMDS', 'HKDC1', 'MPI']
hsa00910	['Nitrogen metabolism']	6	1.090430	0.003778	2.460065	2.470028	2.450034	0.000530	0.014450	0.024777	0.999920	1.000000	1.000000	['CA4', 'CA5A', 'CA7']; ['CA1', 'CA4', 'CA7']
hsa04122	['Sulfur relay system']	3	0.220100	0.002581	3.768731	3.802171	3.734499	0.001530	0.039106	0.063579	0.999920	1.000000	1.000000	['TST', 'URM1']; ['URM1']
hsa04621	['NOD-like receptor signaling pathway']	23	12.187860	0.006758	0.916189	0.917788	0.914588	0.001710	0.039341	0.063953	0.999290	1.000000	1.000000	['IRAK4', 'ITPR1', 'ITPR2', 'MAPK12', 'MAPK13', 'NAIP', 'NFKBIB', 'PLCB1', 'RHOA', 'STAT1', 'TAB2', 'TRPM7']; ['CARD6', 'CARD8', 'MAPK14', 'NFKBIB', 'NLRP7', 'OAS2', 'RIPK1', 'RNASEL', 'STAT1', 'TAB2', 'TANK']
