Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
siv_modules:4	['lightcyan']	7	2.28032000	0.00439268	1.61811863	1.62366620	1.61254964	0.00389996	0.07240000	0.12869871	0.99938001	1.00000000	0.99938001	['CREB5', 'MEF2C']; ['ANXA4', 'CREB5', 'HKDC1', 'MEF2C', 'RTN1']
siv_modules:33	['green']	11	5.79787000	0.00571659	0.92390863	0.92675077	0.92106089	0.02887971	0.28729000	0.35441646	0.98829012	1.00000000	0.99938001	['AAMP', 'APBB1', 'ISOC2', 'KLHDC3', 'THBS3']; ['CBX7', 'ISOC2', 'OGFR', 'PHC2', 'STARD10', 'THBS3']
siv_modules:31	['magenta']	16	9.77055000	0.00645884	0.71156022	0.71346636	0.70965157	0.03221968	0.28729000	0.35441646	0.98425016	1.00000000	0.99938001	['ADCY1', 'DPP9', 'EPB41', 'MBD5', 'PACS2']; ['ANKH', 'CD6', 'DNMT3A', 'EHMT1', 'GLB1', 'MBD5', 'MYH9', 'RAB35', 'SHPRH', 'USP20', 'WBP11']
siv_modules:1	['red']	13	8.03901000	0.00620156	0.69342187	0.69564604	0.69119427	0.05852941	0.31779500	0.48286767	0.97020030	1.00000000	0.99938001	['HERC6', 'STAT1']; ['BCL2L14', 'COL1A2', 'DPF3', 'IRF2', 'LGALS8', 'MX2', 'OAS2', 'PI4K2B', 'RNASEL', 'SP100', 'STAT1']
siv_modules:30	['tan']	14	10.76787000	0.00661056	0.37869393	0.38046423	0.37692146	0.18573814	0.87467200	1.00000000	0.88325117	1.00000000	0.99938001	['ATP9A', 'CBFB', 'TFB1M', 'ZCCHC14', 'ZNF423']; ['ANKH', 'BAHD1', 'CACNB4', 'CBFB', 'FGFR2', 'SLC39A8', 'TCF12', 'TFB1M', 'ZCCHC14']
siv_modules:11	['brown']	20	16.88573000	0.00709654	0.24419545	0.24540758	0.24298230	0.22759772	0.91666667	1.00000000	0.84468155	1.00000000	0.99938001	['ABCA4', 'CHRNA7', 'GPC6', 'NMNAT2', 'PSTPIP2', 'SCIN', 'SEMA6A', 'SRGAP1']; ['C8A', 'CNTNAP4', 'DNAH8', 'DST', 'FAM19A4', 'GPC6', 'INPP5E', 'MAL', 'MEGF11', 'SCIN', 'SRGAP1', 'UNC5C']
siv_modules:10	['yellowgreen']	4	2.54929000	0.00436848	0.64990450	0.65484047	0.64495159	0.22785772	0.91666667	1.00000000	0.92085079	1.00000000	0.99938001	['IL4I1', 'SORBS2', 'ULK4']; ['SORBS2']
siv_modules:12	['skyblue']	4	2.57886000	0.00455445	0.63326655	0.63835337	0.62816172	0.24978750	0.91666667	1.00000000	0.89973100	1.00000000	0.99938001	['GRIN2A', 'PMM2', 'TACC2']; ['NHSL1']
siv_modules:2	['turquoise']	39	35.34594000	0.00873634	0.14192961	0.14264261	0.14121627	0.27619724	0.91666667	1.00000000	0.78090219	1.00000000	0.99938001	['AGBL2', 'ARHGAP26', 'ARRDC2', 'BAIAP2', 'BANK1', 'BLNK', 'CCL24', 'CD36', 'COLEC12', 'EPB41L1', 'FGD6', 'FHOD1', 'GPX1', 'INHBA', 'ITGAM', 'MAPK13', 'NLN', 'PLCB1', 'PLCG2', 'PTPRE', 'PTPRJ', 'SCARB1', 'SLC23A2', 'SLC24A3', 'SOX5', 'TNFSF14', 'TYR']; ['ARHGEF10', 'ARRDC2', 'BAIAP2', 'BANK1', 'BNIP1', 'CA1', 'FHOD1', 'OGFRL1', 'PDE2A', 'RIPK1', 'SCARB1', 'SLC24A3']
siv_modules:15	['paleturquoise']	3	2.01800000	0.00437235	0.57203633	0.57827452	0.56577104	0.32655673	0.91666667	1.00000000	0.86261137	1.00000000	0.99938001	['CRISPLD2']; ['CD274', 'TNFSF13B']
siv_modules:21	['orange']	4	3.42723000	0.00489579	0.22295699	0.22707288	0.21882932	0.45628544	1.00000000	1.00000000	0.75032250	1.00000000	0.99938001	['PDE4D', 'SPR']; ['ITGB5', 'PDE4D']
siv_modules:6	['darkturquoise']	5	4.54123000	0.00515328	0.13884499	0.14211555	0.13556700	0.48506515	1.00000000	1.00000000	0.70887291	1.00000000	0.99938001	['ATP5A1', 'GPSM1', 'MPPED2', 'RGS6']; ['NRG2']
siv_modules:9	['darkgreen']	4	3.60242000	0.00489940	0.15103361	0.15495250	0.14710404	0.49720503	1.00000000	1.00000000	0.71798282	1.00000000	0.99938001	['CACNA1I']; ['CACNA1I', 'KATNAL1', 'NEDD4L']
siv_modules:17	['darkolivegreen']	2	1.67633000	0.00396394	0.25469382	0.26150069	0.24785468	0.53135469	1.00000000	1.00000000	0.78312217	1.00000000	0.99938001	['LTBP1']; ['LTBP1']
siv_modules:14	['darkorange']	3	2.81605000	0.00467281	0.09128955	0.09606949	0.08649372	0.55028450	1.00000000	1.00000000	0.69348307	1.00000000	0.99938001	['SYT6']; ['DST', 'SYT6']
siv_modules:25	['greenyellow']	4	4.08944000	0.00528100	-0.03190330	-0.02818198	-0.03563423	0.58708413	1.00000000	1.00000000	0.61147389	0.95276529	0.99938001	None; ['CCNB2', 'NUSAP1', 'SBNO1', 'SHCBP1']
siv_modules:3	['black']	11	11.62409000	0.00649626	-0.07961425	-0.07800262	-0.08122769	0.63498365	1.00000000	1.00000000	0.49815502	0.84682600	0.99938001	['BRPF1', 'IGF1', 'NDST4', 'TACC2', 'TIMP2']; ['ABTB2', 'GIMAP7', 'HDAC5', 'MYT1L', 'REXO1', 'SPAG16']
siv_modules:23	['salmon']	3	3.55278000	0.00505250	-0.24398585	-0.23988829	-0.24809509	0.70183298	1.00000000	1.00000000	0.52130479	0.89557500	0.99938001	['VPS54', 'YIPF5']; ['DUSP5']
siv_modules:5	['lightyellow']	4	4.84036000	0.00503819	-0.27511435	-0.27211415	-0.27812080	0.76525235	1.00000000	1.00000000	0.44830552	0.81384143	0.99938001	['MAGI2']; ['DAO', 'MAGI2', 'SIPA1L2']
