Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
hsa05169	['Epstein-Barr virus infection']	38	17.57716000	0.00829345	1.11229743	1.11365821	1.11093537	0.00002000	0.00220000	0.00280497	1.00000000	1.00000000	1.00000000	['BLNK', 'CCNA1', 'IRAK4', 'LYN', 'MAPK12', 'MAPK13', 'NCOR2', 'NFKBIB', 'PLCG2', 'SNW1', 'STAT1', 'TAB2']; ['AKT3', 'B2M', 'CD3D', 'CD3G', 'HLA-A', 'MAPK14', 'NFKBIB', 'OAS2', 'PDIA3', 'PSMD14', 'RIPK1', 'SHFM1', 'STAT1', 'TAB2']; ['AKT2', 'BLNK', 'CDK4', 'CHUK', 'ITGAL', 'NFKB1', 'PDIA3', 'RAC1', 'RBPJ', 'RELA', 'SIN3A', 'TAB2']
hsa04658	['Th1 and Th2 cell differentiation']	25	9.95397000	0.00714839	1.32858415	1.33065479	1.32651053	0.00003000	0.00220000	0.00280497	1.00000000	1.00000000	1.00000000	['CD4', 'DLL1', 'IFNGR2', 'IL4R', 'MAPK12', 'MAPK13', 'NFKBIB', 'STAT1']; ['CD3D', 'CD3G', 'IL12RB1', 'IL13', 'MAML3', 'MAPK14', 'NFATC2', 'NFKBIB', 'NOTCH3', 'STAT1']; ['CHUK', 'IL12A', 'NFATC3', 'NFKB1', 'PPP3CB', 'RBPJ', 'RELA']
hsa05340	['Primary immunodeficiency']	10	2.00138000	0.00488591	2.32093298	2.32795986	2.31387170	0.00003000	0.00220000	0.00280497	1.00000000	1.00000000	1.00000000	['ADA', 'AICDA', 'BLNK', 'CD4', 'RFX5', 'TNFRSF13B']; ['CD3D', 'TNFRSF13B']; ['BLNK', 'ICOS']
hsa05140	['Leishmaniasis']	17	5.45387000	0.00619378	1.64018253	1.64345566	1.63690196	0.00003000	0.00220000	0.00280497	0.99999000	1.00000000	1.00000000	['IFNGR2', 'IRAK4', 'ITGAM', 'MAPK12', 'MAPK13', 'NFKBIB', 'STAT1', 'TAB2']; ['MAPK14', 'NFKBIB', 'PRKCB', 'STAT1', 'TAB2']; ['IL12A', 'NFKB1', 'RELA', 'TAB2']
hsa04620	['Toll-like receptor signaling pathway']	18	7.49266000	0.00668688	1.26444701	1.26701981	1.26186963	0.00027000	0.01182600	0.02019580	0.99992000	1.00000000	1.00000000	['CXCL9', 'IRAK4', 'MAPK12', 'MAPK13', 'STAT1', 'TAB2']; ['AKT3', 'MAPK14', 'RIPK1', 'STAT1', 'TAB2']; ['AKT2', 'CHUK', 'IL12A', 'NFKB1', 'RAC1', 'RELA', 'TAB2']
hsa05235	['PD-L1 expression and PD-1 checkpoint pathway in cancer']	25	12.63707000	0.00748464	0.98426609	0.98597403	0.98255613	0.00043000	0.01393000	0.02297406	0.99987000	1.00000000	1.00000000	['BATF3', 'CD4', 'IFNGR2', 'MAPK12', 'MAPK13', 'NFKBIB', 'RASGRP1', 'STAT1']; ['AKT3', 'CD274', 'CD3D', 'CD3G', 'MAPK14', 'NFATC2', 'NFKBIB', 'STAT1']; ['AKT2', 'CD28', 'CHUK', 'EGFR', 'NFATC3', 'NFKB1', 'PPP3CB', 'RELA', 'RPS6KB1']
hsa00051	['Fructose and mannose metabolism']	11	3.80891000	0.00546970	1.53005342	1.53419098	1.52590396	0.00043000	0.01393000	0.02297406	0.99994000	1.00000000	1.00000000	['FUK', 'GMDS', 'HK1', 'PMM2', 'SORD']; ['FUK', 'GMDS', 'HKDC1', 'MPI', 'SORD']; ['ALDOC']
hsa04060	['Cytokine-cytokine receptor interaction']	31	17.65562000	0.00837338	0.81214073	0.81350851	0.81077165	0.00146999	0.04307875	0.06872181	0.99923001	1.00000000	1.00000000	['ACVR1', 'BMP6', 'BMP7', 'CCL24', 'CCR3', 'CCR9', 'CD4', 'CXCL9', 'CXCR6', 'IFNGR2', 'IL11', 'IL20RA', 'IL31RA', 'IL33', 'IL4R', 'INHBA', 'LEP', 'TNFRSF11A', 'TNFRSF13B', 'TNFSF14']; ['ACKR3', 'IL12RB1', 'IL13', 'IL31', 'IL34', 'TNFRSF13B', 'TNFSF13B']; ['ACVR2A', 'AMHR2', 'EDAR', 'IL12A']
hsa04621	['NOD-like receptor signaling pathway']	30	17.46691000	0.00818845	0.78033809	0.78169012	0.77898479	0.00201998	0.05323889	0.07760422	0.99914001	1.00000000	1.00000000	['IRAK4', 'ITPR1', 'ITPR2', 'MAPK12', 'MAPK13', 'NAIP', 'NFKBIB', 'PLCB1', 'RHOA', 'STAT1', 'TAB2', 'TRPM7']; ['CARD6', 'CARD8', 'MAPK14', 'NFKBIB', 'NLRP7', 'OAS2', 'RIPK1', 'RNASEL', 'STAT1', 'TAB2', 'TANK']; ['CHUK', 'ITPR2', 'MCU', 'NEK7', 'NFKB1', 'RELA', 'TAB2']
hsa05145	['Toxoplasmosis']	25	13.94009000	0.00770952	0.84268822	0.84428309	0.84109158	0.00226998	0.05423700	0.07760422	0.99912001	1.00000000	1.00000000	['IFNGR2', 'IRAK4', 'LAMA3', 'MAPK12', 'MAPK13', 'NFKBIB', 'PDPK1', 'STAT1', 'TAB2']; ['AKT3', 'HSPA8', 'LAMB4', 'LDLR', 'MAPK14', 'NFKBIB', 'PDPK1', 'STAT1', 'TAB2']; ['AKT2', 'CHUK', 'GNAO1', 'IL12A', 'NFKB1', 'RELA', 'TAB2']
hsa00520	['Amino sugar and nucleotide sugar metabolism']	12	5.08564000	0.00593851	1.23853316	1.24189851	1.23515995	0.00246998	0.05423700	0.07760422	0.99931001	1.00000000	1.00000000	['FUK', 'GMDS', 'HK1', 'NANS', 'PMM2']; ['CYB5RL', 'FUK', 'GFPT2', 'GMDS', 'HKDC1', 'MPI']; ['CYB5RL']
hsa04672	['Intestinal immune network for IgA production']	8	2.35697000	0.00510923	1.76306660	1.76930778	1.75679831	0.00248998	0.05423700	0.07760422	0.99956000	1.00000000	1.00000000	['AICDA', 'CCR9', 'TNFRSF13B']; ['TNFRSF13B', 'TNFSF13B']; ['CD28', 'ICOS', 'ITGB7']
hsa00310	['Lysine degradation']	17	8.51099000	0.00678888	0.99813589	1.00043561	0.99583249	0.00305997	0.05659692	0.08227918	0.99901001	1.00000000	1.00000000	['COLGALT2', 'EZH2', 'KMT2A', 'SMYD3']; ['EHMT1', 'KMT2A', 'KMT5A', 'SMYD1', 'SMYD3', 'WHSC1']; ['ALDH2', 'ALDH3A2', 'HADHA', 'KMT2D', 'KMT5A', 'WHSC1', 'WHSC1L1']
hsa04660	['T cell receptor signaling pathway']	29	17.33623000	0.00813078	0.74226270	0.74361533	0.74090880	0.00307997	0.05659692	0.08227918	0.99864001	1.00000000	1.00000000	['CD4', 'MAPK12', 'MAPK13', 'NFKBIB', 'PAK2', 'PDPK1', 'RASGRP1', 'RHOA']; ['AKT3', 'CD3D', 'CD3G', 'FYN', 'MAPK14', 'NFATC2', 'NFKBIB', 'PAK2', 'PDPK1', 'VAV2']; ['AKT2', 'CD28', 'CDK4', 'CHUK', 'ICOS', 'NCK1', 'NFATC3', 'NFKB1', 'PPP3CB', 'RELA', 'VAV2']
hsa04122	['Sulfur relay system']	3	0.29867000	0.00307700	3.32833826	3.35776245	3.29830144	0.00369996	0.06074000	0.08447916	0.99978000	1.00000000	1.00000000	['TST', 'URM1']; ['URM1']; None
hsa05162	['Measles']	21	11.21982000	0.00741454	0.90433980	0.90624533	0.90243175	0.00380996	0.06074000	0.08447916	0.99829002	1.00000000	1.00000000	['IRAK4', 'NFKBIB', 'STAT1', 'TAB2']; ['AKT3', 'CD3D', 'CD3G', 'HSPA8', 'NFKBIB', 'OAS2', 'STAT1', 'TAB2']; ['AKT2', 'BBC3', 'CD28', 'CDK4', 'CHUK', 'IL12A', 'NFKB1', 'RELA', 'TAB2']
hsa00910	['Nitrogen metabolism']	6	1.59096000	0.00458158	1.91506494	1.92335032	1.90673170	0.00383996	0.06074000	0.08447916	0.99936001	1.00000000	1.00000000	['CA4', 'CA5A', 'CA7']; ['CA1', 'CA4', 'CA7']; None
hsa04064	['NF-kappa B signaling pathway']	20	10.89415000	0.00726588	0.87644636	0.87836950	0.87452066	0.00483995	0.06573056	0.09670475	0.99817002	1.00000000	1.00000000	['BLNK', 'EDARADD', 'IRAK4', 'LYN', 'PLCG2', 'TAB2', 'TNFRSF11A', 'TNFSF14']; ['PARP1', 'PRKCB', 'RIPK1', 'TAB2', 'TNFSF13B']; ['BLNK', 'CHUK', 'EDAR', 'ERC1', 'NFKB1', 'RELA', 'TAB2']
hsa00010	['Glycolysis / Gluconeogenesis']	11	4.42202000	0.00596635	1.31472607	1.31861390	1.31082774	0.00495995	0.06573056	0.09670475	0.99843002	1.00000000	1.00000000	['ACSS2', 'HK1', 'PKLR']; ['HKDC1', 'PGAM1', 'PKLR']; ['ALDH2', 'ALDH3A1', 'ALDH3A2', 'ALDOC', 'GALM']
hsa05203	['Viral carcinogenesis']	33	21.08460000	0.00854330	0.64627637	0.64744503	0.64510676	0.00523995	0.06573056	0.09670475	0.99709003	1.00000000	1.00000000	['CCNA1', 'CCR3', 'CREB3L2', 'CREB5', 'HDAC9', 'LYN', 'MAD1L1', 'RHOA', 'SCIN', 'SCRIB', 'SNW1', 'VAC14']; ['CREB5', 'GTF2H3', 'HDAC4', 'HDAC5', 'HDAC9', 'HIST1H2BD', 'HLA-A', 'SCIN', 'SCRIB', 'SP100', 'VAC14']; ['CDK4', 'GTF2H3', 'NFKB1', 'PXN', 'RAC1', 'RBPJ', 'REL', 'RELA', 'SND1', 'SRC']
hsa00330	['Arginine and proline metabolism']	8	2.67472000	0.00526064	1.58061213	1.58627598	1.57492595	0.00542995	0.06573056	0.09670475	0.99859001	1.00000000	1.00000000	['ALDH4A1', 'CARNS1']; ['CKMT1A', 'DAO', 'L3HYPDH']; ['ALDH2', 'ALDH3A2', 'P4HA1']
