Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
siv_modules:33	['green']	20	8.19107000	0.00690559	1.28787617	1.29030669	1.28544155	0.00019000	0.00316000	0.00626994	0.99995000	1.00000000	0.99995000	['AAMP', 'APBB1', 'ISOC2', 'KLHDC3', 'THBS3']; ['CBX7', 'ISOC2', 'OGFR', 'PHC2', 'STARD10', 'THBS3']; ['ARF5', 'CHUK', 'NFKB1', 'NUDT16L1', 'NUMA1', 'OGFR', 'SRCAP', 'TULP4', 'ZFAND3']
siv_modules:31	['magenta']	24	14.08306000	0.00783686	0.76907357	0.77067832	0.76746703	0.00646994	0.06068000	0.10675393	0.99685003	1.00000000	0.99995000	['ADCY1', 'DPP9', 'EPB41', 'MBD5', 'PACS2']; ['ANKH', 'CD6', 'DNMT3A', 'EHMT1', 'GLB1', 'MBD5', 'MYH9', 'RAB35', 'SHPRH', 'USP20', 'WBP11']; ['BRD4', 'CACNB3', 'FMNL3', 'HOOK3', 'RAB35', 'RABGAP1L', 'SHMT1', 'ZNF609']
siv_modules:4	['lightcyan']	7	3.36786000	0.00536255	1.05552275	1.06010978	1.05092110	0.03845962	0.29071667	0.42305577	0.98805012	1.00000000	0.99995000	['CREB5', 'MEF2C']; ['ANXA4', 'CREB5', 'HKDC1', 'MEF2C', 'RTN1']; None
siv_modules:30	['tan']	21	15.60083000	0.00803172	0.42876654	0.43025125	0.42728030	0.09789902	0.57464500	0.80766692	0.93866061	1.00000000	0.99995000	['ATP9A', 'CBFB', 'TFB1M', 'ZCCHC14', 'ZNF423']; ['ANKH', 'BAHD1', 'CACNB4', 'CBFB', 'FGFR2', 'SLC39A8', 'TCF12', 'TFB1M', 'ZCCHC14']; ['HELZ', 'HERC4', 'PHF14', 'PRPSAP2', 'XPO1', 'ZCCHC14', 'ZNF423']
siv_modules:1	['red']	16	11.74011000	0.00753504	0.44662598	0.44847669	0.44477289	0.12783872	0.58261800	0.84373556	0.92102079	0.99301448	0.99995000	['HERC6', 'STAT1']; ['BCL2L14', 'COL1A2', 'DPF3', 'IRF2', 'LGALS8', 'MX2', 'OAS2', 'PI4K2B', 'RNASEL', 'SP100', 'STAT1']; ['ICOS', 'NFE2L3', 'TRAFD1']
siv_modules:29	['yellow']	21	17.93254000	0.00836002	0.22780948	0.22915400	0.22646370	0.25597744	1.00000000	1.00000000	0.81348187	0.97362158	0.98607728	['FRMD3', 'GALK2', 'RASGRP1', 'SALL2', 'SIT1', 'TBC1D7']; ['DFFB', 'PCSK6', 'UBE4A', 'ZDHHC16']; ['ASCC1', 'CDK4', 'EIF5B', 'GALK2', 'HERC4', 'PARP16', 'PCMT1', 'RAB10', 'RAD51C', 'RAI1', 'VPS35']
siv_modules:15	['paleturquoise']	4	2.92329000	0.00531409	0.45240704	0.45764273	0.44715229	0.33427666	1.00000000	1.00000000	0.83667163	0.97362158	0.98607728	['CRISPLD2']; ['CD274', 'TNFSF13B']; ['AFF1']
siv_modules:25	['greenyellow']	7	5.83333000	0.00638740	0.26303523	0.26619123	0.25987231	0.36726633	1.00000000	1.00000000	0.77177228	0.97362158	0.98607728	None; ['CCNB2', 'NUSAP1', 'SBNO1', 'SHCBP1']; ['CLTC', 'SBNO1', 'SHCBP1']
siv_modules:18	['purple']	11	9.72857000	0.00719416	0.17720386	0.17933599	0.17506857	0.38036620	1.00000000	1.00000000	0.73278267	0.97362158	0.98607728	['FBXL20']; ['HDHD2', 'OIP5', 'TERF2']; ['BARD1', 'FBXL20', 'MPHOSPH9', 'SRCAP', 'SYNCRIP', 'TSFM', 'YIPF4']
siv_modules:23	['salmon']	6	5.09319000	0.00612159	0.23639296	0.23985680	0.23292079	0.40131599	1.00000000	1.00000000	0.75483245	0.97362158	0.98607728	['VPS54', 'YIPF5']; ['DUSP5']; ['PAFAH1B2', 'TFAP4', 'VPS54']
siv_modules:17	['darkolivegreen']	3	2.40516000	0.00480842	0.31882963	0.32458663	0.31304956	0.44688553	1.00000000	1.00000000	0.80200198	0.97362158	0.98607728	['LTBP1']; ['LTBP1']; ['COPS2']
siv_modules:6	['darkturquoise']	7	6.72031000	0.00628946	0.05882714	0.06152502	0.05612420	0.51904481	1.00000000	1.00000000	0.64892351	0.97362158	0.98607728	['ATP5A1', 'GPSM1', 'MPPED2', 'RGS6']; ['NRG2']; ['BRIP1', 'NRG2']
