Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
mergedvip:0002008	['merged_HIV']	55	35.14261000	0.01715916	0.64621028	0.64761844	0.64480073	0.00031000	0.00657000	0.01859981	0.99986000	1.00000000	0.99986000	['ANAPC7', 'ANKRD13A', 'APOA1', 'APP', 'ATP2A2', 'ATXN10', 'CBFB', 'CCDC134', 'CCNB2', 'CHP1', 'COX5A', 'CTNNA3', 'DCAF8', 'DDX6', 'DOCK2', 'DYNC1H1', 'ERGIC3', 'EXOSC1', 'FYN', 'GLG1', 'GTF2H3', 'HEBP1', 'HIST1H2BD', 'HIVEP1', 'HLA-A', 'IGF2BP2', 'IGF2BP3', 'ISOC2', 'LBR', 'LPO', 'MAP3K5', 'MX2', 'MYH9', 'MYO1E', 'NARS', 'NEDD4L', 'NFATC2', 'NUDC', 'OSBPL6', 'PAK2', 'PIP4K2A', 'PRKCB', 'RBM12', 'RBM7', 'RTN4', 'SCAMP3', 'SF3B3', 'SGPL1', 'SNU13', 'SPCS3', 'TCF12', 'TNPO3', 'VAV2', 'WDR36', 'WHSC1']
ltvip:0000017	['blv']	3	0.60768000	0.00213172	2.30357879	2.31366531	2.29342124	0.00786992	0.10300000	0.23609764	0.99972000	1.00000000	0.99986000	['DNMT3A', 'FDPS', 'PCSK5']
mergedvip:0002002	['merged_DENV']	7	3.18290000	0.00539339	1.13701309	1.14189409	1.13211552	0.03567964	0.30501667	0.45289547	0.98847012	1.00000000	0.99986000	['AKAP9', 'ATP2A2', 'DCUN1D4', 'DYNC1H1', 'FCGR2A', 'MMS19', 'NFKBIB']
ltvip:0000144	['siv']	2	0.35711000	0.00177258	2.48555956	2.49981106	2.47116588	0.03811962	0.30501667	0.45289547	0.99793002	1.00000000	0.99986000	['FYN', 'PAK2']
mergedvip:0002012	['merged_IAV']	48	37.44350000	0.01786909	0.35831911	0.35969544	0.35694146	0.04150958	0.30501667	0.45289547	0.97147029	1.00000000	0.99986000	['ACADM', 'AHNAK2', 'ARHGEF10', 'ARHGEF28', 'ARL8B', 'ATP2A2', 'ATP5L', 'ATXN10', 'ATXN2', 'C11orf84', 'CCDC178', 'CCDC88A', 'CDK2AP1', 'CERS6', 'CHCHD3', 'DCAF8', 'DYNC1H1', 'FRYL', 'GCN1', 'GFPT2', 'HDLBP', 'HIST1H2BD', 'HKDC1', 'IGF2BP2', 'IGF2BP3', 'JUP', 'KRT9', 'LBR', 'MAST4', 'MDN1', 'MMS19', 'MYH9', 'NARS', 'NUDC', 'NUSAP1', 'PGAM1', 'PHC2', 'PPFIBP1', 'PRKCA', 'PSMD14', 'RFC5', 'RPL37', 'SCAMP3', 'SF3B3', 'SPTAN1', 'STRBP', 'TFB1M', 'TRAP1']
mergedvip:0002010	['merged_HSV']	16	10.21162000	0.00940237	0.64786015	0.65051443	0.64520097	0.04528955	0.30501667	0.45289547	0.97648024	1.00000000	0.99986000	['ATP2A2', 'ATP5L', 'B2M', 'DST', 'EXT1', 'GALNT1', 'GCN1', 'HDAC5', 'HDAC9', 'HIST1H2BD', 'HLA-A', 'LBR', 'MED9', 'SF3B3', 'SPCS3', 'TAF3']
mergedvip:0002007	['merged_HCV']	23	16.47478000	0.01188979	0.48137466	0.48345554	0.47929078	0.05931941	0.30501667	0.50845206	0.96406036	1.00000000	0.99986000	['APOA1', 'ARL8B', 'ATP2A2', 'ATXN10', 'C11orf84', 'CCDC88A', 'CHCHD3', 'COG8', 'FHOD1', 'HLA-A', 'KRT9', 'LBR', 'PDPK1', 'RRP12', 'RTN1', 'RTN3', 'SCAMP3', 'SCARB1', 'SEC63', 'SF3B3', 'SMYD3', 'SORBS2', 'SPTAN1']
ltvip:0000103	['nipahvirus']	1	0.08470000	0.00090125	3.56149422	3.59187422	3.53046070	0.08287917	0.30501667	0.61512718	0.99819002	1.00000000	0.99986000	['STAT1']
ltvip:0000059	['hev']	1	0.09601000	0.00097197	3.38067151	3.40959028	3.35116119	0.09226908	0.30501667	0.61512718	0.99634004	1.00000000	0.99986000	['AMBP']
ltvip:0000014	['bhv']	1	0.11364000	0.00105131	3.13745736	3.16390691	3.11051383	0.10884891	0.30501667	0.61586657	0.99530005	1.00000000	0.99986000	['NOTCH3']
