Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
hsa04658	['Th1 and Th2 cell differentiation']	10	3.415660	0.005453	1.549764	1.554363	1.545150	0.001240	0.239630	0.443186	0.999730	1.000000	0.999730	['CD3D', 'CD3G', 'IL12RB1', 'IL13', 'MAML3', 'MAPK14', 'NFATC2', 'NFKBIB', 'NOTCH3', 'STAT1']
hsa05169	['Epstein-Barr virus infection']	14	6.097990	0.007403	1.199021	1.202520	1.195514	0.002430	0.239630	0.443186	0.999170	1.000000	0.999730	['AKT3', 'B2M', 'CD3D', 'CD3G', 'HLA-A', 'MAPK14', 'NFKBIB', 'OAS2', 'PDIA3', 'PSMD14', 'RIPK1', 'SHFM1', 'STAT1', 'TAB2']
hsa00520	['Amino sugar and nucleotide sugar metabolism']	6	1.760740	0.003782	1.768781	1.774966	1.762569	0.003960	0.272250	0.443186	0.999350	1.000000	0.999730	['CYB5RL', 'FUK', 'GFPT2', 'GMDS', 'HKDC1', 'MPI']
hsa00051	['Fructose and mannose metabolism']	5	1.334600	0.003211	1.905521	1.912445	1.898562	0.004740	0.272250	0.443186	0.999470	1.000000	0.999730	['FUK', 'GMDS', 'HKDC1', 'MPI', 'SORD']
hsa04260	['Cardiac muscle contraction']	11	5.436920	0.005967	1.016642	1.019805	1.013472	0.006130	0.272250	0.458519	0.998490	1.000000	0.999730	['ATP2A2', 'CACNA1C', 'CACNA2D3', 'CACNB1', 'CACNB2', 'CACNB4', 'CACNG7', 'COX5A', 'COX6B2', 'MYL4', 'SLC8A1']
hsa00910	['Nitrogen metabolism']	3	0.540140	0.002249	2.473557	2.485522	2.461493	0.013550	0.476558	0.777912	0.998720	1.000000	0.999730	['CA1', 'CA4', 'CA7']
hsa04612	['Antigen processing and presentation']	4	0.991600	0.003081	2.012170	2.021106	2.003178	0.016000	0.477849	0.777912	0.997480	1.000000	0.999730	['B2M', 'HLA-A', 'HSPA8', 'PDIA3']
hsa03009	['Ribosome biogenesis']	12	6.193700	0.007320	0.954161	0.957567	0.950747	0.016640	0.477849	0.777912	0.993310	1.000000	0.999730	['DBR1', 'HSPA8', 'MDN1', 'NIP7', 'RBM19', 'REXO1', 'REXO4', 'RRP12', 'SNU13', 'TFB1M', 'UTP4', 'WDR36']
hsa00600	['Sphingolipid metabolism']	6	2.411600	0.004589	1.314972	1.320452	1.309471	0.026230	0.652677	0.903057	0.992740	1.000000	0.999730	['CERS6', 'GBA', 'GLB1', 'PLPP2', 'SGPL1', 'SPTLC3']
hsa04147	['Exosome']	42	31.295890	0.016420	0.424416	0.425929	0.422901	0.028190	0.652677	0.903057	0.980960	1.000000	0.999730	['ABCC9', 'ACAP2', 'ACTN2', 'ANXA4', 'ATIC', 'ATP6V0A2', 'B2M', 'CA4', 'CKMT1A', 'CLDN17', 'CTH', 'CUBN', 'DNM3', 'DPP4', 'DYNC1H1', 'GLB1', 'GNG7', 'H2AFX', 'HIST1H2BD', 'HLA-A', 'HSPA8', 'IGSF3', 'JUP', 'KRT9', 'MYH9', 'MYO1D', 'MYO1E', 'PARK7', 'PCBD1', 'PDIA3', 'PGAM1', 'PKLR', 'PMEL', 'RAB35', 'SCARB1', 'SCIN', 'SEPT2', 'SEPT8', 'SFN', 'SLC26A4', 'THBS3', 'VPS25']
hsa05140	['Leishmaniasis']	5	1.851410	0.004064	1.433304	1.439624	1.426956	0.031230	0.652677	0.903057	0.992430	1.000000	0.999730	['MAPK14', 'NFKBIB', 'PRKCB', 'STAT1', 'TAB2']
hsa04621	['NOD-like receptor signaling pathway']	11	6.046000	0.007193	0.863451	0.866879	0.860014	0.032470	0.652677	0.903057	0.986060	1.000000	0.999730	['CARD6', 'CARD8', 'MAPK14', 'NFKBIB', 'NLRP7', 'OAS2', 'RIPK1', 'RNASEL', 'STAT1', 'TAB2', 'TANK']
hsa05412	['Arrhythmogenic right ventricular cardiomyopathy (ARVC)']	14	8.880280	0.007699	0.656750	0.659249	0.654246	0.033250	0.652677	0.903057	0.986650	1.000000	0.999730	['ACTN2', 'ATP2A2', 'CACNA1C', 'CACNA2D3', 'CACNB1', 'CACNB2', 'CACNB4', 'CACNG7', 'CTNNA3', 'ITGA9', 'ITGB5', 'JUP', 'SGCD', 'SLC8A1']
hsa05162	['Measles']	8	3.856600	0.005880	1.052670	1.057063	1.048265	0.034190	0.652677	0.903057	0.987730	1.000000	0.999730	['AKT3', 'CD3D', 'CD3G', 'HSPA8', 'NFKBIB', 'OAS2', 'STAT1', 'TAB2']
hsa05145	['Toxoplasmosis']	9	4.708710	0.006324	0.934593	0.938463	0.930713	0.037590	0.652677	0.903057	0.986130	1.000000	0.999730	['AKT3', 'HSPA8', 'LAMB4', 'LDLR', 'MAPK14', 'NFKBIB', 'PDPK1', 'STAT1', 'TAB2']
hsa05170	['Human immunodeficiency virus 1 infection']	15	9.359660	0.008867	0.680434	0.683165	0.677698	0.039560	0.652677	0.903057	0.980870	1.000000	0.999730	['AKT3', 'B2M', 'CCNB2', 'CD3D', 'CD3G', 'GNG7', 'HLA-A', 'MAPK14', 'NFATC2', 'PAK2', 'PDIA3', 'PRKCA', 'PRKCB', 'RIPK1', 'TAB2']
hsa00512	['Mucin type O-glycan biosynthesis']	6	3.073970	0.004450	0.964859	0.969030	0.960677	0.048020	0.652677	0.903057	0.987960	1.000000	0.999730	['GALNT1', 'GALNT15', 'GALNTL5', 'GALNTL6', 'ST3GAL2', 'WBSCR17']
hsa03008	['Ribosome biogenesis in eukaryotes']	5	2.100840	0.004314	1.250962	1.256874	1.245025	0.050919	0.652677	0.903057	0.986540	1.000000	0.999730	['MDN1', 'REXO1', 'SNU13', 'UTP4', 'WDR36']
hsa00260	['Glycine, serine and threonine metabolism']	3	0.866820	0.002865	1.791158	1.800665	1.781589	0.053129	0.652677	0.903057	0.990760	1.000000	0.999730	['CTH', 'DAO', 'PGAM1']
