Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
siv_modules:1	['red']	11	3.99103000	0.00606054	1.46267050	1.46704543	1.45828225	0.00184998	0.02995000	0.03316467	0.99954000	1.00000000	0.99980000	['BCL2L14', 'COL1A2', 'DPF3', 'IRF2', 'LGALS8', 'MX2', 'OAS2', 'PI4K2B', 'RNASEL', 'SP100', 'STAT1']
siv_modules:4	['lightcyan']	5	1.13303000	0.00304745	2.14174203	2.14948191	2.13396042	0.00200998	0.02995000	0.03316467	0.99980000	1.00000000	0.99980000	['ANXA4', 'CREB5', 'HKDC1', 'MEF2C', 'RTN1']
siv_modules:31	['magenta']	11	4.85556000	0.00657142	1.17979392	1.18369368	1.17588360	0.00730993	0.04348333	0.08040920	0.99755002	1.00000000	0.99980000	['ANKH', 'CD6', 'DNMT3A', 'EHMT1', 'GLB1', 'MBD5', 'MYH9', 'RAB35', 'SHPRH', 'USP20', 'WBP11']
siv_modules:33	['green']	6	2.87621000	0.00515238	1.06079349	1.06595308	1.05561538	0.06452935	0.29996750	0.52931471	0.97766022	1.00000000	0.99980000	['CBX7', 'ISOC2', 'OGFR', 'PHC2', 'STARD10', 'THBS3']
siv_modules:30	['tan']	9	5.35153000	0.00688298	0.74997359	0.75367992	0.74625770	0.08019920	0.29996750	0.52931471	0.96297037	1.00000000	0.99980000	['ANKH', 'BAHD1', 'CACNB4', 'CBFB', 'FGFR2', 'SLC39A8', 'TCF12', 'TFB1M', 'ZCCHC14']
siv_modules:11	['brown']	12	8.38552000	0.00794186	0.51706225	0.51979240	0.51432693	0.10999890	0.39444333	0.60499395	0.94491055	1.00000000	0.99980000	['C8A', 'CNTNAP4', 'DNAH8', 'DST', 'FAM19A4', 'GPC6', 'INPP5E', 'MAL', 'MEGF11', 'SCIN', 'SRGAP1', 'UNC5C']
siv_modules:25	['greenyellow']	4	2.03370000	0.00439008	0.97589312	0.98210832	0.96965104	0.14497855	0.42294143	0.68347031	0.94886051	1.00000000	0.99980000	['CCNB2', 'NUSAP1', 'SBNO1', 'SHCBP1']
siv_modules:9	['darkgreen']	3	1.78554000	0.00377251	0.74860205	0.75468550	0.74249284	0.25485745	0.68710750	0.96329703	0.91807082	1.00000000	0.99980000	['CACNA1I', 'KATNAL1', 'NEDD4L']
siv_modules:15	['paleturquoise']	2	1.00340000	0.00301322	0.99510316	1.00374209	0.98641218	0.26271737	0.68710750	0.96329703	0.92848072	1.00000000	0.99980000	['CD274', 'TNFSF13B']
siv_modules:14	['darkorange']	2	1.39929000	0.00344162	0.51530501	0.52238437	0.50819074	0.41996580	0.98044700	1.00000000	0.84939151	1.00000000	0.99980000	['DST', 'SYT6']
