Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
siv_modules:33	['green']	15	5.26941000	0.00559473	1.50924916	1.51230944	1.50618237	0.00018000	0.00323000	0.00593994	0.99995000	1.00000000	0.99995000	['CBX7', 'ISOC2', 'OGFR', 'PHC2', 'STARD10', 'THBS3']; ['ARF5', 'CHUK', 'NFKB1', 'NUDT16L1', 'NUMA1', 'OGFR', 'SRCAP', 'TULP4', 'ZFAND3']
siv_modules:31	['magenta']	19	9.16807000	0.00636242	1.05130945	1.05331046	1.04930567	0.00151998	0.01404000	0.02507975	0.99930001	1.00000000	0.99995000	['ANKH', 'CD6', 'DNMT3A', 'EHMT1', 'GLB1', 'MBD5', 'MYH9', 'RAB35', 'SHPRH', 'USP20', 'WBP11']; ['BRD4', 'CACNB3', 'FMNL3', 'HOOK3', 'RAB35', 'RABGAP1L', 'SHMT1', 'ZNF609']
siv_modules:1	['red']	14	7.69213000	0.00612230	0.86397178	0.86626648	0.86167342	0.02082979	0.14825667	0.22912771	0.99057009	1.00000000	0.99995000	['BCL2L14', 'COL1A2', 'DPF3', 'IRF2', 'LGALS8', 'MX2', 'OAS2', 'PI4K2B', 'RNASEL', 'SP100', 'STAT1']; ['ICOS', 'NFE2L3', 'TRAFD1']
siv_modules:30	['tan']	16	10.18449000	0.00652494	0.65169817	0.65354558	0.64984839	0.04578954	0.27370000	0.36517435	0.97645024	1.00000000	0.99995000	['ANKH', 'BAHD1', 'CACNB4', 'CBFB', 'FGFR2', 'SLC39A8', 'TCF12', 'TFB1M', 'ZCCHC14']; ['HELZ', 'HERC4', 'PHF14', 'PRPSAP2', 'XPO1', 'ZCCHC14', 'ZNF423']
siv_modules:4	['lightcyan']	5	2.22057000	0.00437014	1.17099804	1.17666542	1.16530831	0.05532945	0.27370000	0.36517435	0.98550014	1.00000000	0.99995000	['ANXA4', 'CREB5', 'HKDC1', 'MEF2C', 'RTN1']; None
siv_modules:25	['greenyellow']	7	3.77759000	0.00517616	0.88988879	0.89383703	0.88592972	0.08310917	0.33093333	0.45710043	0.96479035	1.00000000	0.99995000	['CCNB2', 'NUSAP1', 'SBNO1', 'SHCBP1']; ['CLTC', 'SBNO1', 'SHCBP1']
siv_modules:18	['purple']	10	6.38756000	0.00585029	0.64666316	0.64930344	0.64401804	0.10447896	0.33093333	0.49254365	0.94731053	1.00000000	0.99995000	['HDHD2', 'OIP5', 'TERF2']; ['BARD1', 'FBXL20', 'MPHOSPH9', 'SRCAP', 'SYNCRIP', 'TSFM', 'YIPF4']
siv_modules:29	['yellow']	15	11.66469000	0.00678866	0.36281453	0.36449281	0.36113431	0.18947811	0.56188625	0.78159718	0.87873121	1.00000000	0.99995000	['DFFB', 'PCSK6', 'UBE4A', 'ZDHHC16']; ['ASCC1', 'CDK4', 'EIF5B', 'GALK2', 'HERC4', 'PARP16', 'PCMT1', 'RAB10', 'RAD51C', 'RAI1', 'VPS35']
siv_modules:15	['paleturquoise']	3	1.90869000	0.00431866	0.65237969	0.65889353	0.64583631	0.29702703	0.83322889	1.00000000	0.88350116	1.00000000	0.99995000	['CD274', 'TNFSF13B']; ['AFF1']
siv_modules:26	['pink']	7	6.00757000	0.00573778	0.22057337	0.22332655	0.21781492	0.39414606	1.00000000	1.00000000	0.75172248	1.00000000	0.99995000	['MED9', 'PLEKHG1']; ['ACVR2A', 'CD28', 'GCC1', 'KLHL24', 'P2RY14']
siv_modules:23	['salmon']	4	3.30605000	0.00496519	0.27489146	0.27921838	0.27055152	0.42375576	1.00000000	1.00000000	0.76750232	1.00000000	0.99995000	['DUSP5']; ['PAFAH1B2', 'TFAP4', 'VPS54']
siv_modules:17	['darkolivegreen']	2	1.55935000	0.00390244	0.35905522	0.36625821	0.35181609	0.48625514	1.00000000	1.00000000	0.81662183	1.00000000	0.99995000	['LTBP1']; ['COPS2']
