Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
ltvip:0000067	['hiv2']	2	0.247160	0.001526	3.016483	3.034190	2.998555	0.021270	0.562710	1.000000	0.998950	1.000000	0.998950	['CXCR6', 'PAK2']
ltvip:0000119	['polyomavirus']	2	0.330890	0.001746	2.595576	2.610725	2.580267	0.036830	0.562710	1.000000	0.997620	1.000000	0.998950	['ERP29', 'SALL2']
ltvip:0000103	['nipahvirus']	1	0.085130	0.000906	3.554189	3.584563	3.523161	0.083089	0.682493	1.000000	0.997970	1.000000	0.998950	['STAT1']
mergedvip:0002005	['merged_HBV']	11	7.703820	0.008009	0.513858	0.516854	0.510855	0.135939	0.923095	1.000000	0.926371	1.000000	0.998950	['AICDA', 'AIP', 'ATP5A1', 'DAP3', 'GAA', 'GPC5', 'NCOA3', 'NCOA6', 'SF3B3', 'SFXN1', 'SSR2']
ltvip:0000136	['rsv']	1	0.145380	0.001178	2.782099	2.805300	2.758519	0.138339	0.923095	1.000000	0.993210	1.000000	0.998950	['RHOA']
ltvip:0000088	['mhv']	2	0.682390	0.002454	1.551332	1.561673	1.540916	0.139599	0.923095	1.000000	0.977240	1.000000	0.998950	['BRD3', 'PLCG2']
ltvip:0000047	['flv']	1	0.204590	0.001399	2.289192	2.308787	2.269328	0.188748	0.923095	1.000000	0.984760	1.000000	0.998950	['SLC19A2']
mergedvip:0002002	['merged_DENV']	5	3.220470	0.005395	0.634657	0.639483	0.629815	0.215068	0.923095	1.000000	0.902401	1.000000	0.998950	['MAPRE2', 'NFKBIB', 'NRBP1', 'SFXN1', 'SLIRP']
ltvip:0000078	['lasv']	1	0.234750	0.001399	2.090803	2.107893	2.073508	0.226858	0.923095	1.000000	0.992190	1.000000	0.998950	['DAG1']
ltvip:0000144	['siv']	1	0.359730	0.001777	1.475014	1.489200	1.460686	0.319017	1.000000	1.000000	0.961300	1.000000	0.998950	['PAK2']
ltvip:0000127	['rabiesvirus']	1	0.398370	0.001876	1.327819	1.341342	1.314168	0.345887	1.000000	1.000000	0.950990	1.000000	0.998950	['MAST2']
