Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
hsa04060	['Cytokine-cytokine receptor interaction']	20	6.014020	0.007473	1.733598	1.737179	1.730009	0.000010	0.000000	0.003740	1.000000	1.000000	1.000000	['ACVR1', 'BMP6', 'BMP7', 'CCL24', 'CCR3', 'CCR9', 'CD4', 'CXCL9', 'CXCR6', 'IFNGR2', 'IL11', 'IL20RA', 'IL31RA', 'IL33', 'IL4R', 'INHBA', 'LEP', 'TNFRSF11A', 'TNFRSF13B', 'TNFSF14']
hsa05340	['Primary immunodeficiency']	6	0.688650	0.002571	3.123120	3.133850	3.112309	0.000030	0.001805	0.005610	1.000000	1.000000	1.000000	['ADA', 'AICDA', 'BLNK', 'CD4', 'RFX5', 'TNFRSF13B']
hsa05140	['Leishmaniasis']	8	1.869470	0.004080	2.097371	2.103654	2.091060	0.000230	0.013703	0.028673	0.999970	1.000000	1.000000	['IFNGR2', 'IRAK4', 'ITGAM', 'MAPK12', 'MAPK13', 'NFKBIB', 'STAT1', 'TAB2']
hsa04061	['Viral protein interaction with cytokine and cytokine receptor']	6	1.371660	0.003627	2.129040	2.136648	2.121391	0.002180	0.104118	0.203828	0.999650	1.000000	1.000000	['CCL24', 'CCR3', 'CCR9', 'CXCL9', 'IL20RA', 'TNFSF14']
hsa04050	['Cytokine receptors']	9	3.262080	0.005485	1.464133	1.468976	1.459273	0.004740	0.192026	0.288265	0.998580	1.000000	1.000000	['CCR3', 'CCR9', 'CXCR6', 'IFNGR2', 'IL20RA', 'IL31RA', 'IL4R', 'TNFRSF11A', 'TNFRSF13B']
hsa00051	['Fructose and mannose metabolism']	5	1.349510	0.003227	1.889492	1.896376	1.882576	0.004830	0.192026	0.288265	0.999470	1.000000	1.000000	['FUK', 'GMDS', 'HK1', 'PMM2', 'SORD']
hsa04152	['AMPK signaling pathway']	14	6.921400	0.007534	1.016291	1.019428	1.013147	0.005420	0.192026	0.288265	0.998100	1.000000	1.000000	['ACACB', 'CCNA1', 'CD36', 'CPT1C', 'CREB3L2', 'CREB5', 'GYS1', 'IGF1', 'IGF1R', 'LEP', 'PDPK1', 'PPP2R5C', 'RPTOR', 'TBC1D1']
hsa04122	['Sulfur relay system']	2	0.109330	0.001053	4.193239	4.220772	4.165170	0.006300	0.192026	0.288265	0.999770	1.000000	1.000000	['TST', 'URM1']
hsa00350	['Tyrosine metabolism']	4	0.846020	0.002812	2.241236	2.250794	2.231615	0.008380	0.194282	0.288265	0.998810	1.000000	1.000000	['COMT', 'HPD', 'IL4I1', 'TYR']
hsa04974	['Protein digestion and absorption']	11	5.056050	0.006599	1.121421	1.125182	1.117650	0.008590	0.194282	0.288265	0.997170	1.000000	1.000000	['COL12A1', 'COL14A1', 'COL15A1', 'COL22A1', 'COL4A1', 'COL4A4', 'CPA1', 'ELN', 'PRCP', 'SLC16A10', 'SLC8A1']
hsa04350	['TGF-beta signaling pathway']	10	4.448780	0.006097	1.168518	1.172467	1.164559	0.008770	0.194282	0.288265	0.997360	1.000000	1.000000	['ACVR1', 'BMP6', 'BMP7', 'FBN1', 'INHBA', 'LTBP1', 'NEO1', 'RHOA', 'SMAD6', 'TGIF2']
hsa04918	['Thyroid hormone synthesis']	11	5.444270	0.006448	1.014693	1.018106	1.011271	0.009790	0.194282	0.288265	0.996870	1.000000	1.000000	['ADCY1', 'ASGR2', 'CREB3L2', 'CREB5', 'DUOX2', 'GPX1', 'ITPR1', 'ITPR2', 'LRP2', 'PLCB1', 'TG']
hsa04927	['Cortisol synthesis and secretion']	11	5.445520	0.006405	1.014362	1.017752	1.010964	0.010020	0.194282	0.288265	0.996950	1.000000	1.000000	['ADCY1', 'CACNA1C', 'CACNA1I', 'CREB3L2', 'CREB5', 'ITPR1', 'ITPR2', 'NCEH1', 'PDE8A', 'PLCB1', 'SCARB1']
hsa00910	['Nitrogen metabolism']	3	0.548060	0.002255	2.452557	2.464380	2.440636	0.013410	0.204221	0.358235	0.998650	1.000000	1.000000	['CA4', 'CA5A', 'CA7']
hsa04621	['NOD-like receptor signaling pathway']	12	6.123790	0.007218	0.970538	0.973935	0.967133	0.014650	0.206817	0.364272	0.994350	1.000000	1.000000	['IRAK4', 'ITPR1', 'ITPR2', 'MAPK12', 'MAPK13', 'NAIP', 'NFKBIB', 'PLCB1', 'RHOA', 'STAT1', 'TAB2', 'TRPM7']
