Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
siv_modules:2	['turquoise']	27	17.775890	0.012073	0.603038	0.604996	0.601077	0.014660	0.234430	0.483775	0.991870	1.000000	0.991870	['AGBL2', 'ARHGAP26', 'ARRDC2', 'BAIAP2', 'BANK1', 'BLNK', 'CCL24', 'CD36', 'COLEC12', 'EPB41L1', 'FGD6', 'FHOD1', 'GPX1', 'INHBA', 'ITGAM', 'MAPK13', 'NLN', 'PLCB1', 'PLCG2', 'PTPRE', 'PTPRJ', 'SCARB1', 'SLC23A2', 'SLC24A3', 'SOX5', 'TNFSF14', 'TYR']
siv_modules:10	['yellowgreen']	3	1.283540	0.003035	1.224834	1.231642	1.217994	0.103889	0.998245	1.000000	0.982740	1.000000	0.991870	['IL4I1', 'SORBS2', 'ULK4']
siv_modules:12	['skyblue']	3	1.301730	0.003294	1.204532	1.211816	1.197211	0.126709	0.998245	1.000000	0.972050	1.000000	0.991870	['GRIN2A', 'PMM2', 'TACC2']
siv_modules:33	['green']	5	2.921560	0.005200	0.775189	0.780316	0.770044	0.164358	0.998245	1.000000	0.931231	1.000000	0.991870	['AAMP', 'APBB1', 'ISOC2', 'KLHDC3', 'THBS3']
siv_modules:6	['darkturquoise']	4	2.286750	0.004207	0.806701	0.811999	0.801384	0.173668	0.998245	1.000000	0.943561	1.000000	0.991870	['ATP5A1', 'GPSM1', 'MPPED2', 'RGS6']
siv_modules:32	['blue']	9	7.232640	0.007716	0.315403	0.318478	0.312321	0.289787	1.000000	1.000000	0.826192	0.909650	0.991870	['CAMK1D', 'DNER', 'DPP10', 'EDARADD', 'NCOR2', 'NPEPL1', 'OSBPL1A', 'SENP7', 'SPAG17']
siv_modules:4	['lightcyan']	2	1.145200	0.003055	0.804400	0.812077	0.796683	0.317827	1.000000	1.000000	0.911981	1.000000	0.991870	['CREB5', 'MEF2C']
siv_modules:21	['orange']	2	1.723000	0.003799	0.215077	0.221425	0.208701	0.532935	1.000000	1.000000	0.760202	0.909650	0.991870	['PDE4D', 'SPR']
siv_modules:23	['salmon']	2	1.794560	0.004053	0.156370	0.162871	0.149839	0.546615	1.000000	1.000000	0.735303	0.909650	0.991870	['VPS54', 'YIPF5']
siv_modules:31	['magenta']	5	4.926150	0.006597	0.021468	0.025326	0.017598	0.557434	1.000000	1.000000	0.630774	0.909650	0.991870	['ADCY1', 'DPP9', 'EPB41', 'MBD5', 'PACS2']
siv_modules:29	['yellow']	6	6.287660	0.007548	-0.067561	-0.064101	-0.071029	0.609074	1.000000	1.000000	0.559874	0.909650	0.991870	['FRMD3', 'GALK2', 'RASGRP1', 'SALL2', 'SIT1', 'TBC1D7']
siv_modules:17	['darkolivegreen']	1	0.842320	0.002485	0.247560	0.256045	0.239024	0.628214	1.000000	1.000000	0.812182	0.909650	0.991870	['LTBP1']
siv_modules:11	['brown']	8	8.501470	0.007993	-0.087712	-0.085002	-0.090428	0.640094	1.000000	1.000000	0.515605	0.909650	0.991870	['ABCA4', 'CHRNA7', 'GPC6', 'NMNAT2', 'PSTPIP2', 'SCIN', 'SEMA6A', 'SRGAP1']
siv_modules:30	['tan']	5	5.437370	0.006969	-0.120981	-0.117287	-0.124684	0.646224	1.000000	1.000000	0.536605	0.909650	0.991870	['ATP9A', 'CBFB', 'TFB1M', 'ZCCHC14', 'ZNF423']
siv_modules:22	['white']	2	2.052040	0.003901	-0.037059	-0.031585	-0.042554	0.648184	1.000000	1.000000	0.666703	0.909650	0.991870	['PTPRD', 'TMC2']
siv_modules:15	['paleturquoise']	1	1.018810	0.003033	-0.026885	-0.018320	-0.035501	0.658003	1.000000	1.000000	0.730003	0.909650	0.991870	['CRISPLD2']
siv_modules:3	['black']	5	5.865020	0.006672	-0.230208	-0.226929	-0.233494	0.732193	1.000000	1.000000	0.450705	0.909650	0.991870	['BRPF1', 'IGF1', 'NDST4', 'TACC2', 'TIMP2']
siv_modules:14	['darkorange']	1	1.417760	0.003476	-0.503613	-0.496556	-0.510705	0.785322	1.000000	1.000000	0.574954	0.909650	0.991870	['SYT6']
siv_modules:13	['darkred']	1	1.457350	0.003556	-0.543347	-0.536324	-0.550405	0.792192	1.000000	1.000000	0.562904	0.909650	0.991870	['FBXO40']
siv_modules:16	['grey60']	1	1.449460	0.003515	-0.535516	-0.528535	-0.542530	0.793172	1.000000	1.000000	0.564274	0.909650	0.991870	['SLC24A2']
siv_modules:26	['pink']	2	3.104050	0.005295	-0.634152	-0.629238	-0.639083	0.831512	1.000000	1.000000	0.388186	0.909650	0.991870	['LILRA4', 'USP3']
siv_modules:9	['darkgreen']	1	1.816310	0.003804	-0.861010	-0.854979	-0.867067	0.871131	1.000000	1.000000	0.430426	0.909650	0.991870	['CACNA1I']
siv_modules:19	['lightgreen']	2	3.463340	0.005243	-0.792164	-0.787803	-0.796539	0.891651	1.000000	1.000000	0.295137	0.909650	0.973952	['HS3ST2', 'MBNL2']
siv_modules:7	['cyan']	2	3.389670	0.004658	-0.761145	-0.757185	-0.765115	0.912101	1.000000	1.000000	0.283977	0.909650	0.973952	['SDK1', 'TRPM6']
siv_modules:1	['red']	2	4.058540	0.006094	-1.020961	-1.016635	-1.025300	0.922511	1.000000	1.000000	0.216608	0.909650	0.973952	['HERC6', 'STAT1']
siv_modules:28	['midnightblue']	1	2.432410	0.004458	-1.282386	-1.277107	-1.287685	0.934411	1.000000	1.000000	0.269937	0.909650	0.973952	['GLIS3']
siv_modules:5	['lightyellow']	1	2.427830	0.004017	-1.279667	-1.274902	-1.284449	0.965120	1.000000	1.000000	0.242618	0.909650	0.973952	['MAGI2']
siv_modules:18	['purple']	1	3.335660	0.005523	-1.737972	-1.733203	-1.742757	0.969920	1.000000	1.000000	0.142399	0.719500	0.973952	['FBXL20']
siv_modules:27	['darkgrey']	0	1.338600	0.003473				1.000000	1.000000	1.000000	0.243098	0.909650	0.973952	None
siv_modules:25	['greenyellow']	0	2.060490	0.004442				1.000000	1.000000	1.000000	0.122129	0.719500	0.973952	None
siv_modules:8	['royalblue']	0	3.781290	0.005154				1.000000	1.000000	1.000000	0.010180	0.040070	0.335937	None
siv_modules:20	['sienna3']	0	0.149300	0.001207				1.000000	1.000000	1.000000	0.859701	0.954207	0.991870	None
siv_modules:24	['steelblue']	0	1.248680	0.003112				1.000000	1.000000	1.000000	0.237858	0.909650	0.973952	None
