Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
mergedvip:0002008	['merged_HIV']	92	70.749330	0.010426	0.378917	0.379343	0.378492	0.004450	0.129710	0.220598	0.996790	1.000000	0.999590	['ANKRD13A', 'ATXN10', 'BICD2', 'CAMLG', 'CBFB', 'CCR3', 'CD4', 'COMT', 'CXCR6', 'DAP3', 'DCAF1', 'EHD4', 'EZH2', 'FBN2', 'HSPG2', 'IFT122', 'IGF2BP3', 'ISOC2', 'ITPR1', 'LTF', 'MDFIC', 'MED1', 'MEPCE', 'NGLY1', 'NIPBL', 'PACS2', 'PAK2', 'PPM1G', 'RBM12', 'RBM17', 'SF3A1', 'SF3B3', 'SLC30A7', 'SLIRP', 'SNW1', 'TARDBP', 'XRCC6']; ['ANAPC7', 'ANKRD13A', 'APOA1', 'APP', 'ATP2A2', 'ATXN10', 'CBFB', 'CCDC134', 'CCNB2', 'CHP1', 'COX5A', 'CTNNA3', 'DCAF8', 'DDX6', 'DOCK2', 'DYNC1H1', 'ERGIC3', 'EXOSC1', 'FYN', 'GLG1', 'GTF2H3', 'HEBP1', 'HIST1H2BD', 'HIVEP1', 'HLA-A', 'IGF2BP2', 'IGF2BP3', 'ISOC2', 'LBR', 'LPO', 'MAP3K5', 'MX2', 'MYH9', 'MYO1E', 'NARS', 'NEDD4L', 'NFATC2', 'NUDC', 'OSBPL6', 'PAK2', 'PIP4K2A', 'PRKCB', 'RBM12', 'RBM7', 'RTN4', 'SCAMP3', 'SF3B3', 'SGPL1', 'SNU13', 'SPCS3', 'TCF12', 'TNPO3', 'VAV2', 'WDR36', 'WHSC1']
ltvip:0000067	['hiv2']	3	0.485950	0.003095	2.626083	2.644342	2.607590	0.010320	0.145310	0.220598	0.999110	1.000000	0.999590	['CXCR6', 'PAK2']; ['PAK2']
ltvip:0000103	['nipahvirus']	2	0.169870	0.002393	3.557497	3.597581	3.516267	0.011030	0.145310	0.220598	0.999590	1.000000	0.999590	['STAT1']; ['STAT1']
ltvip:0000119	['polyomavirus']	3	0.660130	0.003325	2.184140	2.198601	2.169533	0.023220	0.174863	0.254897	0.997230	1.000000	0.999590	['ERP29', 'SALL2']; ['PDIA3']
mergedvip:0002002	['merged_DENV']	12	6.393140	0.005831	0.908438	0.911067	0.905804	0.024370	0.174863	0.254897	0.989960	1.000000	0.999590	['MAPRE2', 'NFKBIB', 'NRBP1', 'SFXN1', 'SLIRP']; ['AKAP9', 'ATP2A2', 'DCUN1D4', 'DYNC1H1', 'FCGR2A', 'MMS19', 'NFKBIB']
ltvip:0000144	['siv']	3	0.712510	0.003348	2.073980	2.087475	2.060358	0.025490	0.174863	0.254897	0.997190	1.000000	0.999590	['PAK2']; ['FYN', 'PAK2']
mergedvip:0002007	['merged_HCV']	41	33.120010	0.008670	0.307921	0.308676	0.307165	0.084899	0.428551	0.696068	0.939761	1.000000	0.999590	['ATF6', 'ATP5A1', 'ATXN10', 'CINP', 'EIF2B3', 'ESR1', 'FBXL20', 'FHOD1', 'MAPK12', 'MAPKAPK3', 'MSI2', 'PDPK1', 'PGAM5', 'PPM1G', 'SCARB1', 'SF3B3', 'SMYD3', 'SORBS2']; ['APOA1', 'ARL8B', 'ATP2A2', 'ATXN10', 'C11orf84', 'CCDC88A', 'CHCHD3', 'COG8', 'FHOD1', 'HLA-A', 'KRT9', 'LBR', 'PDPK1', 'RRP12', 'RTN1', 'RTN3', 'SCAMP3', 'SCARB1', 'SEC63', 'SF3B3', 'SMYD3', 'SORBS2', 'SPTAN1']
ltvip:0000017	['blv']	3	1.220680	0.003670	1.297277	1.305926	1.288577	0.092809	0.428551	0.696068	0.984520	1.000000	0.999590	None; ['DNMT3A', 'FDPS', 'PCSK5']
mergedvip:0002010	['merged_HSV']	26	20.557950	0.007728	0.338815	0.339900	0.337730	0.122749	0.439550	0.818325	0.916541	1.000000	0.999590	['ATP5A1', 'CNIH4', 'EBF1', 'EXT1', 'HDAC9', 'MEIS2', 'NUP214', 'PILRA', 'SF3B3', 'XRCC6']; ['ATP2A2', 'ATP5L', 'B2M', 'DST', 'EXT1', 'GALNT1', 'GCN1', 'HDAC5', 'HDAC9', 'HIST1H2BD', 'HLA-A', 'LBR', 'MED9', 'SF3B3', 'SPCS3', 'TAF3']
ltvip:0000088	['mhv']	3	1.359740	0.003936	1.141632	1.149959	1.133256	0.146309	0.472509	0.872891	0.961370	1.000000	0.999590	['BRD3', 'PLCG2']; ['DNMT3A']
