Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
siv_modules:33	['green']	20	8.425400	0.006971	1.247183	1.249568	1.244794	0.000390	0.006840	0.012870	0.999890	1.000000	0.999890	['AAMP', 'APBB1', 'ISOC2', 'KLHDC3', 'THBS3']; ['CBX7', 'ISOC2', 'OGFR', 'PHC2', 'STARD10', 'THBS3']; ['ARF5', 'CHUK', 'NFKB1', 'NUDT16L1', 'NUMA1', 'OGFR', 'SRCAP', 'TULP4', 'ZFAND3']
siv_modules:31	['magenta']	24	14.510110	0.007889	0.725976	0.727544	0.724406	0.009490	0.088670	0.156583	0.995270	1.000000	0.999890	['ADCY1', 'DPP9', 'EPB41', 'MBD5', 'PACS2']; ['ANKH', 'CD6', 'DNMT3A', 'EHMT1', 'GLB1', 'MBD5', 'MYH9', 'RAB35', 'SHPRH', 'USP20', 'WBP11']; ['BRD4', 'CACNB3', 'FMNL3', 'HOOK3', 'RAB35', 'RABGAP1L', 'SHMT1', 'ZNF609']
siv_modules:4	['lightcyan']	7	3.478410	0.005394	1.008927	1.013394	1.004446	0.044460	0.331787	0.489055	0.985990	1.000000	0.999890	['CREB5', 'MEF2C']; ['ANXA4', 'CREB5', 'HKDC1', 'MEF2C', 'RTN1']; None
siv_modules:30	['tan']	21	16.144060	0.008095	0.379386	0.380832	0.377938	0.126619	0.717205	0.852570	0.916931	1.000000	0.999890	['ATP9A', 'CBFB', 'TFB1M', 'ZCCHC14', 'ZNF423']; ['ANKH', 'BAHD1', 'CACNB4', 'CBFB', 'FGFR2', 'SLC39A8', 'TCF12', 'TFB1M', 'ZCCHC14']; ['HELZ', 'HERC4', 'PHF14', 'PRPSAP2', 'XPO1', 'ZCCHC14', 'ZNF423']
siv_modules:25	['greenyellow']	9	6.026370	0.006440	0.578636	0.581716	0.575549	0.149399	0.732524	0.852570	0.919961	1.000000	0.999890	None; ['CCNB2', 'NUSAP1', 'SBNO1', 'SHCBP1']; ['CLTC', 'MCM4', 'SBNO1', 'SHCBP1', 'SPAG5']
siv_modules:1	['red']	16	12.159260	0.007590	0.396016	0.397817	0.394214	0.158568	0.732524	0.852570	0.899771	1.000000	0.999890	['HERC6', 'STAT1']; ['BCL2L14', 'COL1A2', 'DPF3', 'IRF2', 'LGALS8', 'MX2', 'OAS2', 'PI4K2B', 'RNASEL', 'SP100', 'STAT1']; ['ICOS', 'NFE2L3', 'TRAFD1']
siv_modules:15	['paleturquoise']	5	3.020260	0.005355	0.727255	0.732362	0.722130	0.180848	0.732524	0.852570	0.924321	1.000000	0.999890	['CRISPLD2']; ['CD274', 'TNFSF13B']; ['AFF1', 'CREM']
siv_modules:29	['yellow']	21	18.512350	0.008418	0.181901	0.183213	0.180589	0.305287	0.997454	1.000000	0.770612	0.971240	0.999890	['FRMD3', 'GALK2', 'RASGRP1', 'SALL2', 'SIT1', 'TBC1D7']; ['DFFB', 'PCSK6', 'UBE4A', 'ZDHHC16']; ['ASCC1', 'CDK4', 'EIF5B', 'GALK2', 'HERC4', 'PARP16', 'PCMT1', 'RAB10', 'RAD51C', 'RAI1', 'VPS35']
siv_modules:12	['skyblue']	5	3.905510	0.005585	0.356417	0.360537	0.352285	0.349237	1.000000	1.000000	0.816682	0.971240	0.999890	['GRIN2A', 'PMM2', 'TACC2']; ['NHSL1']; ['PMFBP1']
siv_modules:18	['purple']	11	10.067890	0.007235	0.127742	0.129814	0.125667	0.424266	1.000000	1.000000	0.693943	0.952252	0.999890	['FBXL20']; ['HDHD2', 'OIP5', 'TERF2']; ['BARD1', 'FBXL20', 'MPHOSPH9', 'SRCAP', 'SYNCRIP', 'TSFM', 'YIPF4']
