Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
mergedvip:0002008	['merged_HIV']	55	35.145770	0.017123	0.646081	0.647486	0.644674	0.000500	0.010860	0.030000	0.999760	1.000000	0.999760	['ANAPC7', 'ANKRD13A', 'APOA1', 'APP', 'ATP2A2', 'ATXN10', 'CBFB', 'CCDC134', 'CCNB2', 'CHP1', 'COX5A', 'CTNNA3', 'DCAF8', 'DDX6', 'DOCK2', 'DYNC1H1', 'ERGIC3', 'EXOSC1', 'FYN', 'GLG1', 'GTF2H3', 'HEBP1', 'HIST1H2BD', 'HIVEP1', 'HLA-A', 'IGF2BP2', 'IGF2BP3', 'ISOC2', 'LBR', 'LPO', 'MAP3K5', 'MX2', 'MYH9', 'MYO1E', 'NARS', 'NEDD4L', 'NFATC2', 'NUDC', 'OSBPL6', 'PAK2', 'PIP4K2A', 'PRKCB', 'RBM12', 'RBM7', 'RTN4', 'SCAMP3', 'SF3B3', 'SGPL1', 'SNU13', 'SPCS3', 'TCF12', 'TNPO3', 'VAV2', 'WDR36', 'WHSC1']
ltvip:0000017	['blv']	3	0.606260	0.002120	2.306954	2.317010	2.296827	0.007190	0.094780	0.215698	0.999640	1.000000	0.999760	['DNMT3A', 'FDPS', 'PCSK5']
mergedvip:0002002	['merged_DENV']	7	3.172670	0.005358	1.141657	1.146522	1.136776	0.034590	0.289077	0.444696	0.988640	1.000000	0.999760	['AKAP9', 'ATP2A2', 'DCUN1D4', 'DYNC1H1', 'FCGR2A', 'MMS19', 'NFKBIB']
ltvip:0000144	['siv']	2	0.352780	0.001767	2.503159	2.517541	2.488633	0.038190	0.289077	0.444696	0.998220	1.000000	0.999760	['FYN', 'PAK2']
mergedvip:0002012	['merged_IAV']	48	37.447140	0.017788	0.358179	0.359549	0.356808	0.039840	0.289077	0.444696	0.972610	1.000000	0.999760	['ACADM', 'AHNAK2', 'ARHGEF10', 'ARHGEF28', 'ARL8B', 'ATP2A2', 'ATP5L', 'ATXN10', 'ATXN2', 'C11orf84', 'CCDC178', 'CCDC88A', 'CDK2AP1', 'CERS6', 'CHCHD3', 'DCAF8', 'DYNC1H1', 'FRYL', 'GCN1', 'GFPT2', 'HDLBP', 'HIST1H2BD', 'HKDC1', 'IGF2BP2', 'IGF2BP3', 'JUP', 'KRT9', 'LBR', 'MAST4', 'MDN1', 'MMS19', 'MYH9', 'NARS', 'NUDC', 'NUSAP1', 'PGAM1', 'PHC2', 'PPFIBP1', 'PRKCA', 'PSMD14', 'RFC5', 'RPL37', 'SCAMP3', 'SF3B3', 'SPTAN1', 'STRBP', 'TFB1M', 'TRAP1']
mergedvip:0002010	['merged_HSV']	16	10.203320	0.009405	0.649033	0.651690	0.646371	0.044470	0.289077	0.444696	0.976650	1.000000	0.999760	['ATP2A2', 'ATP5L', 'B2M', 'DST', 'EXT1', 'GALNT1', 'GCN1', 'HDAC5', 'HDAC9', 'HIST1H2BD', 'HLA-A', 'LBR', 'MED9', 'SF3B3', 'SPCS3', 'TAF3']
mergedvip:0002007	['merged_HCV']	23	16.444140	0.011841	0.484060	0.486137	0.481981	0.056929	0.289077	0.487967	0.965140	1.000000	0.999760	['APOA1', 'ARL8B', 'ATP2A2', 'ATXN10', 'C11orf84', 'CCDC88A', 'CHCHD3', 'COG8', 'FHOD1', 'HLA-A', 'KRT9', 'LBR', 'PDPK1', 'RRP12', 'RTN1', 'RTN3', 'SCAMP3', 'SCARB1', 'SEC63', 'SF3B3', 'SMYD3', 'SORBS2', 'SPTAN1']
ltvip:0000103	['nipahvirus']	1	0.084740	0.000905	3.560813	3.591307	3.529661	0.082579	0.289077	0.619344	0.997840	1.000000	0.999760	['STAT1']
ltvip:0000059	['hev']	1	0.097280	0.000978	3.361713	3.390440	3.332402	0.093459	0.293983	0.620176	0.996280	1.000000	0.999760	['AMBP']
ltvip:0000014	['bhv']	1	0.114580	0.001056	3.125573	3.151925	3.098730	0.109669	0.297627	0.620176	0.995200	1.000000	0.999760	['NOTCH3']
