Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
hsa04658	['Th1 and Th2 cell differentiation']	10	3.418420	0.005461	1.548598	1.553201	1.543981	0.001080	0.212880	0.403916	0.999750	1.000000	0.999750	['CD3D', 'CD3G', 'IL12RB1', 'IL13', 'MAML3', 'MAPK14', 'NFATC2', 'NFKBIB', 'NOTCH3', 'STAT1']
hsa05169	['Epstein-Barr virus infection']	14	6.102820	0.007415	1.197879	1.201380	1.194369	0.002550	0.244155	0.428226	0.999130	1.000000	0.999750	['AKT3', 'B2M', 'CD3D', 'CD3G', 'HLA-A', 'MAPK14', 'NFKBIB', 'OAS2', 'PDIA3', 'PSMD14', 'RIPK1', 'SHFM1', 'STAT1', 'TAB2']
hsa00051	['Fructose and mannose metabolism']	5	1.332660	0.003214	1.907619	1.914562	1.900643	0.004280	0.289683	0.428226	0.999360	1.000000	0.999750	['FUK', 'GMDS', 'HKDC1', 'MPI', 'SORD']
hsa00520	['Amino sugar and nucleotide sugar metabolism']	6	1.756640	0.003780	1.772144	1.778340	1.765921	0.004580	0.289683	0.428226	0.999380	1.000000	0.999750	['CYB5RL', 'FUK', 'GFPT2', 'GMDS', 'HKDC1', 'MPI']
hsa04260	['Cardiac muscle contraction']	11	5.419220	0.005964	1.021346	1.024518	1.018167	0.005940	0.289683	0.444308	0.998530	1.000000	0.999750	['ATP2A2', 'CACNA1C', 'CACNA2D3', 'CACNB1', 'CACNB2', 'CACNB4', 'CACNG7', 'COX5A', 'COX6B2', 'MYL4', 'SLC8A1']
hsa00910	['Nitrogen metabolism']	3	0.541280	0.002240	2.470516	2.482406	2.458526	0.013150	0.458235	0.811104	0.998810	1.000000	0.999750	['CA1', 'CA4', 'CA7']
hsa04612	['Antigen processing and presentation']	4	0.996710	0.003082	2.004754	2.013650	1.995804	0.015810	0.474041	0.811104	0.997460	1.000000	0.999750	['B2M', 'HLA-A', 'HSPA8', 'PDIA3']
hsa03009	['Ribosome biogenesis']	12	6.178700	0.007344	0.957659	0.961085	0.954225	0.017350	0.474041	0.811104	0.993160	1.000000	0.999750	['DBR1', 'HSPA8', 'MDN1', 'NIP7', 'RBM19', 'REXO1', 'REXO4', 'RRP12', 'SNU13', 'TFB1M', 'UTP4', 'WDR36']
hsa00600	['Sphingolipid metabolism']	6	2.407470	0.004592	1.317445	1.322938	1.311931	0.025880	0.649286	0.902079	0.993090	1.000000	0.999750	['CERS6', 'GBA', 'GLB1', 'PLPP2', 'SGPL1', 'SPTLC3']
hsa04147	['Exosome']	42	31.320840	0.016421	0.423266	0.424778	0.421753	0.028330	0.649286	0.902079	0.981510	1.000000	0.999750	['ABCC9', 'ACAP2', 'ACTN2', 'ANXA4', 'ATIC', 'ATP6V0A2', 'B2M', 'CA4', 'CKMT1A', 'CLDN17', 'CTH', 'CUBN', 'DNM3', 'DPP4', 'DYNC1H1', 'GLB1', 'GNG7', 'H2AFX', 'HIST1H2BD', 'HLA-A', 'HSPA8', 'IGSF3', 'JUP', 'KRT9', 'MYH9', 'MYO1D', 'MYO1E', 'PARK7', 'PCBD1', 'PDIA3', 'PGAM1', 'PKLR', 'PMEL', 'RAB35', 'SCARB1', 'SCIN', 'SEPT2', 'SEPT8', 'SFN', 'SLC26A4', 'THBS3', 'VPS25']
