Id	FunctionName	obs_n	perm_mean_n	perm_sem	enrich(log2)	u_95%(CI)	l_95%(CI)	p_enrich	fdr_enrich	BHfdr_enrich	p_deplete	fdr_deplete	BHfdr_deplete	Genes
siv_modules:1	['red']	11	4.004680	0.006039	1.457745	1.462089	1.453387	0.001640	0.023430	0.030690	0.999640	1.000000	0.999810	['BCL2L14', 'COL1A2', 'DPF3', 'IRF2', 'LGALS8', 'MX2', 'OAS2', 'PI4K2B', 'RNASEL', 'SP100', 'STAT1']
siv_modules:4	['lightcyan']	5	1.132350	0.003042	2.142608	2.150338	2.134836	0.001860	0.023430	0.030690	0.999810	1.000000	0.999810	['ANXA4', 'CREB5', 'HKDC1', 'MEF2C', 'RTN1']
siv_modules:31	['magenta']	11	4.869180	0.006604	1.175753	1.179661	1.171834	0.007520	0.042333	0.082719	0.997360	1.000000	0.999810	['ANKH', 'CD6', 'DNMT3A', 'EHMT1', 'GLB1', 'MBD5', 'MYH9', 'RAB35', 'SHPRH', 'USP20', 'WBP11']
siv_modules:33	['green']	6	2.880820	0.005200	1.058483	1.063682	1.053265	0.066149	0.300215	0.543703	0.976840	1.000000	0.999810	['CBX7', 'ISOC2', 'OGFR', 'PHC2', 'STARD10', 'THBS3']
siv_modules:30	['tan']	9	5.365960	0.006908	0.746089	0.749799	0.742369	0.082379	0.304084	0.543703	0.962540	1.000000	0.999810	['ANKH', 'BAHD1', 'CACNB4', 'CBFB', 'FGFR2', 'SLC39A8', 'TCF12', 'TFB1M', 'ZCCHC14']
siv_modules:11	['brown']	12	8.407730	0.007969	0.513246	0.515978	0.510509	0.111199	0.395792	0.611594	0.942761	1.000000	0.999810	['C8A', 'CNTNAP4', 'DNAH8', 'DST', 'FAM19A4', 'GPC6', 'INPP5E', 'MAL', 'MEGF11', 'SCIN', 'SRGAP1', 'UNC5C']
siv_modules:25	['greenyellow']	4	2.033630	0.004392	0.975943	0.982161	0.969698	0.143349	0.424270	0.675786	0.948661	1.000000	0.999810	['CCNB2', 'NUSAP1', 'SBNO1', 'SHCBP1']
siv_modules:9	['darkgreen']	3	1.793470	0.003790	0.742209	0.748293	0.736099	0.258137	0.689294	0.968760	0.915691	1.000000	0.999810	['CACNA1I', 'KATNAL1', 'NEDD4L']
siv_modules:15	['paleturquoise']	2	1.003520	0.003011	0.994931	1.003563	0.986246	0.264207	0.689294	0.968760	0.928271	1.000000	0.999810	['CD274', 'TNFSF13B']
siv_modules:14	['darkorange']	2	1.396860	0.003453	0.517813	0.524928	0.510662	0.415286	0.961516	1.000000	0.847992	1.000000	0.999810	['DST', 'SYT6']
siv_modules:5	['lightyellow']	3	2.405980	0.003990	0.318338	0.323115	0.313545	0.432536	0.990008	1.000000	0.818902	1.000000	0.999810	['DAO', 'MAGI2', 'SIPA1L2']
siv_modules:21	['orange']	2	1.705210	0.003779	0.230051	0.236431	0.223642	0.527115	1.000000	1.000000	0.766052	1.000000	0.999810	['ITGB5', 'PDE4D']
siv_modules:3	['black']	6	5.788670	0.006670	0.051731	0.055052	0.048402	0.533255	1.000000	1.000000	0.649884	1.000000	0.999810	['ABTB2', 'GIMAP7', 'HDAC5', 'MYT1L', 'REXO1', 'SPAG16']
siv_modules:17	['darkolivegreen']	1	0.832410	0.002478	0.264634	0.273199	0.256018	0.623354	1.000000	1.000000	0.817132	1.000000	0.999810	['LTBP1']
siv_modules:18	['purple']	3	3.294000	0.005473	-0.134878	-0.130092	-0.139680	0.652053	1.000000	1.000000	0.578964	1.000000	0.999810	['HDHD2', 'OIP5', 'TERF2']
siv_modules:7	['cyan']	3	3.343990	0.004626	-0.156608	-0.152622	-0.160605	0.706373	1.000000	1.000000	0.565624	1.000000	0.999810	['ADAMTSL1', 'L2HGDH', 'TRPM6']
siv_modules:28	['midnightblue']	2	2.398790	0.004436	-0.262307	-0.256981	-0.267652	0.722243	1.000000	1.000000	0.564424	1.000000	0.999810	['CDK2AP1', 'GLIS3']
siv_modules:12	['skyblue']	1	1.280870	0.003276	-0.357124	-0.349764	-0.364522	0.754132	1.000000	1.000000	0.627124	1.000000	0.999810	['NHSL1']
siv_modules:10	['yellowgreen']	1	1.268850	0.003022	-0.343522	-0.336665	-0.350411	0.781662	1.000000	1.000000	0.631874	1.000000	0.999810	['SORBS2']
siv_modules:16	['grey60']	1	1.429260	0.003487	-0.515268	-0.508245	-0.522326	0.788812	1.000000	1.000000	0.571154	1.000000	0.999810	['IL12RB1']
siv_modules:26	['pink']	2	3.073130	0.005274	-0.619709	-0.614765	-0.624669	0.825712	1.000000	1.000000	0.395956	1.000000	0.999810	['MED9', 'PLEKHG1']
siv_modules:23	['salmon']	1	1.769170	0.004021	-0.823073	-0.816529	-0.829646	0.842832	1.000000	1.000000	0.462595	1.000000	0.999810	['DUSP5']
siv_modules:29	['yellow']	4	6.194350	0.007488	-0.630953	-0.627469	-0.634445	0.879101	1.000000	1.000000	0.247808	1.000000	0.999810	['DFFB', 'PCSK6', 'UBE4A', 'ZDHHC16']
siv_modules:19	['lightgreen']	2	3.417000	0.005207	-0.772730	-0.768340	-0.777134	0.885821	1.000000	1.000000	0.306507	1.000000	0.999810	['HS3ST2', 'LRG1']
siv_modules:22	['white']	1	2.027720	0.003898	-1.019858	-1.014322	-1.025416	0.906261	1.000000	1.000000	0.359856	1.000000	0.999810	['PTPRD']
siv_modules:6	['darkturquoise']	1	2.251200	0.004187	-1.170694	-1.165338	-1.176071	0.925371	1.000000	1.000000	0.305597	1.000000	0.999810	['NRG2']
siv_modules:8	['royalblue']	2	3.735700	0.005162	-0.901379	-0.897397	-0.905371	0.926231	1.000000	1.000000	0.230638	1.000000	0.999810	['DST', 'EDIL3']
siv_modules:2	['turquoise']	12	17.551100	0.012073	-0.548527	-0.546544	-0.550513	0.949681	1.000000	1.000000	0.088389	0.526670	0.999810	['ARHGEF10', 'ARRDC2', 'BAIAP2', 'BANK1', 'BNIP1', 'CA1', 'FHOD1', 'OGFRL1', 'PDE2A', 'RIPK1', 'SCARB1', 'SLC24A3']
siv_modules:32	['blue']	3	7.149410	0.007697	-1.252862	-1.249759	-1.255972	0.983160	1.000000	1.000000	0.055219	0.526670	0.999810	['B4GALT2', 'CORO6', 'TMEM63A']
siv_modules:27	['darkgrey']	0	1.314290	0.003437				1.000000	1.000000	1.000000	0.250037	1.000000	0.999810	None
siv_modules:20	['sienna3']	0	0.147630	0.001198				1.000000	1.000000	1.000000	0.861011	1.000000	0.999810	None
siv_modules:13	['darkred']	0	1.438480	0.003515				1.000000	1.000000	1.000000	0.209948	0.972497	0.999810	None
siv_modules:24	['steelblue']	0	1.235740	0.003110				1.000000	1.000000	1.000000	0.243158	1.000000	0.999810	None
