Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
hsa05340	['Primary immunodeficiency']	6	0.684300	3.132262	0.000100	1.000000	0.000000	1.000000	0.017998	1.000000	['ADA' 'AICDA' 'BLNK' 'CD4' 'RFX5' 'TNFRSF13B']
hsa04060	['Cytokine-cytokine receptor interaction']	20	6.022000	1.731685	0.000100	1.000000	0.000000	1.000000	0.017998	1.000000	"['ACVR1' 'BMP6' 'BMP7' 'CCL24' 'CCR3' 'CCR9' 'CD4' 'CXCL9' 'CXCR6'
 'IFNGR2' 'IL11' 'IL20RA' 'IL31RA' 'IL33' 'IL4R' 'INHBA' 'LEP' 'TNFRSF11A'
 'TNFRSF13B' 'TNFSF14']"
hsa05140	['Leishmaniasis']	8	1.862700	2.102605	0.000300	1.000000	0.010967	1.000000	0.035996	1.000000	['IFNGR2' 'IRAK4' 'ITGAM' 'MAPK12' 'MAPK13' 'NFKBIB' 'STAT1' 'TAB2']
hsa00051	['Fructose and mannose metabolism']	5	1.328800	1.911804	0.003200	1.000000	0.122760	1.000000	0.227977	1.000000	['FUK' 'GMDS' 'HK1' 'PMM2' 'SORD']
hsa04061	['Viral protein interaction with cytokine and cytokine receptor']	6	1.367400	2.133527	0.003200	0.999400	0.122760	1.000000	0.227977	1.000000	['CCL24' 'CCR3' 'CCR9' 'CXCL9' 'IL20RA' 'TNFSF14']
hsa04050	['Cytokine receptors']	9	3.267400	1.461782	0.003800	0.999300	0.125883	1.000000	0.227977	1.000000	"['CCR3' 'CCR9' 'CXCR6' 'IFNGR2' 'IL20RA' 'IL31RA' 'IL4R' 'TNFRSF11A'
 'TNFRSF13B']"
hsa04152	['AMPK signaling pathway']	14	6.913900	1.017855	0.006599	0.997600	0.190814	1.000000	0.332967	1.000000	"['ACACB' 'CCNA1' 'CD36' 'CPT1C' 'CREB3L2' 'CREB5' 'GYS1' 'IGF1' 'IGF1R'
 'LEP' 'PDPK1' 'PPP2R5C' 'RPTOR' 'TBC1D1']"
hsa00350	['Tyrosine metabolism']	4	0.845400	2.242294	0.007499	0.998300	0.190814	1.000000	0.332967	1.000000	['COMT' 'HPD' 'IL4I1' 'TYR']
hsa04350	['TGF-beta signaling pathway']	10	4.471500	1.161169	0.009499	0.996500	0.205533	1.000000	0.332967	1.000000	"['ACVR1' 'BMP6' 'BMP7' 'FBN1' 'INHBA' 'LTBP1' 'NEO1' 'RHOA' 'SMAD6'
 'TGIF2']"
hsa04927	['Cortisol synthesis and secretion']	11	5.436700	1.016700	0.009999	0.996500	0.205533	1.000000	0.332967	1.000000	"['ADCY1' 'CACNA1C' 'CACNA1I' 'CREB3L2' 'CREB5' 'ITPR1' 'ITPR2' 'NCEH1'
 'PDE8A' 'PLCB1' 'SCARB1']"
