Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
hsa05169	['Epstein-Barr virus infection']	26	18.087600	0.523511	0.000100	1.000000	0.000000	1.000000	0.017998	1.000000	"['BLNK', 'CCNA1', 'IRAK4', 'LYN', 'MAPK12', 'MAPK13', 'NCOR2', 'NFKBIB',
 'PLCG2', 'SNW1', 'STAT1', 'TAB2']; ['AKT3', 'B2M', 'CD3D', 'CD3G', 'HLA-A', 'MAPK14', 'NFKBIB', 'OAS2',
 'PDIA3', 'PSMD14', 'RIPK1', 'SHFM1', 'STAT1', 'TAB2']"
hsa04658	['Th1 and Th2 cell differentiation']	18	10.212700	0.817633	0.000100	1.000000	0.000000	1.000000	0.017998	1.000000	"['CD4', 'DLL1', 'IFNGR2', 'IL4R', 'MAPK12', 'MAPK13', 'NFKBIB', 'STAT1']; ['CD3D', 'CD3G', 'IL12RB1', 'IL13', 'MAML3', 'MAPK14', 'NFATC2', 'NFKBIB',
 'NOTCH3', 'STAT1']"
hsa05140	['Leishmaniasis']	13	5.617400	1.210537	0.000200	1.000000	0.005350	1.000000	0.017998	1.000000	['IFNGR2', 'IRAK4', 'ITGAM', 'MAPK12', 'MAPK13', 'NFKBIB', 'STAT1', 'TAB2']; ['MAPK14', 'NFKBIB', 'PRKCB', 'STAT1', 'TAB2']
hsa05340	['Primary immunodeficiency']	8	2.067000	1.952462	0.000200	1.000000	0.005350	1.000000	0.017998	1.000000	['ADA', 'AICDA', 'BLNK', 'CD4', 'RFX5', 'TNFRSF13B']; ['CD3D', 'TNFRSF13B']
hsa05235	['PD-L1 expression and PD-1 checkpoint pathway in cancer']	16	12.926800	0.307707	0.000400	0.999900	0.013480	1.000000	0.028797	1.000000	"['BATF3', 'CD4', 'IFNGR2', 'MAPK12', 'MAPK13', 'NFKBIB', 'RASGRP1',
 'STAT1']; ['AKT3', 'CD274', 'CD3D', 'CD3G', 'MAPK14', 'NFATC2', 'NFKBIB', 'STAT1']"
hsa04620	['Toll-like receptor signaling pathway']	11	7.700700	0.514442	0.000600	0.999600	0.019267	1.000000	0.035996	1.000000	['CXCL9', 'IRAK4', 'MAPK12', 'MAPK13', 'STAT1', 'TAB2']; ['AKT3', 'MAPK14', 'RIPK1', 'STAT1', 'TAB2']
hsa00051	['Fructose and mannose metabolism']	10	3.903300	1.357234	0.000900	0.999700	0.023488	1.000000	0.040496	1.000000	['FUK', 'GMDS', 'HK1', 'PMM2', 'SORD']; ['FUK', 'GMDS', 'HKDC1', 'MPI', 'SORD']
hsa00310	['Lysine degradation']	10	8.742600	0.193866	0.000900	0.999600	0.023488	1.000000	0.040496	1.000000	['COLGALT2', 'EZH2', 'KMT2A', 'SMYD3']; ['EHMT1', 'KMT2A', 'KMT5A', 'SMYD1', 'SMYD3', 'WHSC1']
hsa04060	['Cytokine-cytokine receptor interaction']	27	18.223400	0.567167	0.001100	0.999200	0.025867	1.000000	0.043996	1.000000	"['ACVR1', 'BMP6', 'BMP7', 'CCL24', 'CCR3', 'CCR9', 'CD4', 'CXCL9', 'CXCR6',
 'IFNGR2', 'IL11', 'IL20RA', 'IL31RA', 'IL33', 'IL4R', 'INHBA', 'LEP',
 'TNFRSF11A', 'TNFRSF13B', 'TNFSF14']; ['ACKR3', 'IL12RB1', 'IL13', 'IL31', 'IL34', 'TNFRSF13B', 'TNFSF13B']"
hsa04660	['T cell receptor signaling pathway']	18	17.855700	0.011612	0.002200	0.998900	0.049360	1.000000	0.071993	1.000000	"['CD4', 'MAPK12', 'MAPK13', 'NFKBIB', 'PAK2', 'PDPK1', 'RASGRP1', 'RHOA']; ['AKT3', 'CD3D', 'CD3G', 'FYN', 'MAPK14', 'NFATC2', 'NFKBIB', 'PAK2',
 'PDPK1', 'VAV2']"
