Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
hsa04658	['Th1 and Th2 cell differentiation']	10	3.409600	1.552326	0.001200	0.999600	0.206200	1.000000	0.386961	0.999600	"['CD3D' 'CD3G' 'IL12RB1' 'IL13' 'MAML3' 'MAPK14' 'NFATC2' 'NFKBIB'
 'NOTCH3' 'STAT1']"
hsa05169	['Epstein-Barr virus infection']	14	6.119500	1.193941	0.002800	0.998600	0.266100	1.000000	0.386961	0.999600	"['AKT3' 'B2M' 'CD3D' 'CD3G' 'HLA-A' 'MAPK14' 'NFKBIB' 'OAS2' 'PDIA3'
 'PSMD14' 'RIPK1' 'SHFM1' 'STAT1' 'TAB2']"
hsa00520	['Amino sugar and nucleotide sugar metabolism']	6	1.741600	1.784549	0.003500	0.999500	0.266100	1.000000	0.386961	0.999600	['CYB5RL' 'FUK' 'GFPT2' 'GMDS' 'HKDC1' 'MPI']
hsa00051	['Fructose and mannose metabolism']	5	1.338300	1.901527	0.004300	0.999100	0.266100	1.000000	0.386961	0.999600	['FUK' 'GMDS' 'HKDC1' 'MPI' 'SORD']
hsa04260	['Cardiac muscle contraction']	11	5.408500	1.024203	0.005799	0.998900	0.266100	1.000000	0.417558	0.999600	"['ATP2A2' 'CACNA1C' 'CACNA2D3' 'CACNB1' 'CACNB2' 'CACNB4' 'CACNG7' 'COX5A'
 'COX6B2' 'MYL4' 'SLC8A1']"
hsa00910	['Nitrogen metabolism']	3	0.531900	2.495736	0.013799	0.999200	0.463983	1.000000	0.764924	0.999600	['CA1' 'CA4' 'CA7']
hsa03009	['Ribosome biogenesis']	12	6.187800	0.955536	0.016698	0.992801	0.487843	1.000000	0.764924	0.999600	"['DBR1' 'HSPA8' 'MDN1' 'NIP7' 'RBM19' 'REXO1' 'REXO4' 'RRP12' 'SNU13'
 'TFB1M' 'UTP4' 'WDR36']"
hsa04612	['Antigen processing and presentation']	4	1.016700	1.976106	0.016998	0.997300	0.487843	1.000000	0.764924	0.999600	['B2M' 'HLA-A' 'HSPA8' 'PDIA3']
hsa00600	['Sphingolipid metabolism']	6	2.394600	1.325178	0.024698	0.993101	0.595589	1.000000	0.893161	0.999600	['CERS6' 'GBA' 'GLB1' 'PLPP2' 'SGPL1' 'SPTLC3']
hsa04147	['Exosome']	42	31.221800	0.427836	0.028597	0.981302	0.627620	1.000000	0.893161	0.999600	"['ABCC9' 'ACAP2' 'ACTN2' 'ANXA4' 'ATIC' 'ATP6V0A2' 'B2M' 'CA4' 'CKMT1A'
 'CLDN17' 'CTH' 'CUBN' 'DNM3' 'DPP4' 'DYNC1H1' 'GLB1' 'GNG7' 'H2AFX'
 'HIST1H2BD' 'HLA-A' 'HSPA8' 'IGSF3' 'JUP' 'KRT9' 'MYH9' 'MYO1D' 'MYO1E'
 'PARK7' 'PCBD1' 'PDIA3' 'PGAM1' 'PKLR' 'PMEL' 'RAB35' 'SCARB1' 'SCIN'
 'SEPT2' 'SEPT8' 'SFN' 'SLC26A4' 'THBS3' 'VPS25']"
hsa05140	['Leishmaniasis']	5	1.857000	1.428954	0.029797	0.993601	0.627620	1.000000	0.893161	0.999600	['MAPK14' 'NFKBIB' 'PRKCB' 'STAT1' 'TAB2']
hsa05412	['Arrhythmogenic right ventricular cardiomyopathy (ARVC)']	14	8.889600	0.655236	0.031797	0.986901	0.627620	1.000000	0.893161	0.999600	"['ACTN2' 'ATP2A2' 'CACNA1C' 'CACNA2D3' 'CACNB1' 'CACNB2' 'CACNB4' 'CACNG7'
 'CTNNA3' 'ITGA9' 'ITGB5' 'JUP' 'SGCD' 'SLC8A1']"
hsa04621	['NOD-like receptor signaling pathway']	11	6.051800	0.862067	0.033497	0.985801	0.627620	1.000000	0.893161	0.999600	"['CARD6' 'CARD8' 'MAPK14' 'NFKBIB' 'NLRP7' 'OAS2' 'RIPK1' 'RNASEL' 'STAT1'
 'TAB2' 'TANK']"
hsa05162	['Measles']	8	3.884400	1.042308	0.036996	0.985301	0.627620	1.000000	0.893161	0.999600	['AKT3' 'CD3D' 'CD3G' 'HSPA8' 'NFKBIB' 'OAS2' 'STAT1' 'TAB2']
hsa05145	['Toxoplasmosis']	9	4.729300	0.928298	0.038196	0.986701	0.627620	1.000000	0.893161	0.999600	['AKT3' 'HSPA8' 'LAMB4' 'LDLR' 'MAPK14' 'NFKBIB' 'PDPK1' 'STAT1' 'TAB2']
hsa05170	['Human immunodeficiency virus 1 infection']	15	9.378800	0.677487	0.039696	0.980102	0.627620	1.000000	0.893161	0.999600	"['AKT3' 'B2M' 'CCNB2' 'CD3D' 'CD3G' 'GNG7' 'HLA-A' 'MAPK14' 'NFATC2'
 'PAK2' 'PDIA3' 'PRKCA' 'PRKCB' 'RIPK1' 'TAB2']"
hsa00512	['Mucin type O-glycan biosynthesis']	6	3.079500	0.962266	0.048595	0.987901	0.627620	1.000000	0.894577	0.999600	['GALNT1' 'GALNT15' 'GALNTL5' 'GALNTL6' 'ST3GAL2' 'WBSCR17']
hsa03008	['Ribosome biogenesis in eukaryotes']	5	2.093300	1.256149	0.052895	0.985001	0.654972	1.000000	0.894577	0.999600	['MDN1' 'REXO1' 'SNU13' 'UTP4' 'WDR36']
hsa05235	['PD-L1 expression and PD-1 checkpoint pathway in cancer']	8	4.325500	0.887133	0.053795	0.981302	0.654972	1.000000	0.894577	0.999600	['AKT3' 'CD274' 'CD3D' 'CD3G' 'MAPK14' 'NFATC2' 'NFKBIB' 'STAT1']
hsa00260	['Glycine, serine and threonine metabolism']	3	0.868400	1.788531	0.055594	0.990201	0.654972	1.000000	0.894577	0.999600	['CTH' 'DAO' 'PGAM1']
hsa00310	['Lysine degradation']	6	2.932700	1.032733	0.057494	0.982402	0.654972	1.000000	0.894577	0.999600	['EHMT1' 'KMT2A' 'KMT5A' 'SMYD1' 'SMYD3' 'WHSC1']
hsa00330	['Arginine and proline metabolism']	3	0.918100	1.708239	0.058694	0.987101	0.654972	1.000000	0.894577	0.999600	['CKMT1A' 'DAO' 'L3HYPDH']
hsa04659	['Th17 cell differentiation']	8	4.301500	0.895160	0.058894	0.978302	0.654972	1.000000	0.894577	0.999600	['CD3D' 'CD3G' 'IL12RB1' 'MAPK14' 'NFATC2' 'NFKBIB' 'RUNX1' 'STAT1']
hsa04660	['T cell receptor signaling pathway']	10	5.950200	0.748990	0.060894	0.972703	0.654972	1.000000	0.894577	0.999600	"['AKT3' 'CD3D' 'CD3G' 'FYN' 'MAPK14' 'NFATC2' 'NFKBIB' 'PAK2' 'PDPK1'
 'VAV2']"
hsa04950	['Maturity onset diabetes of the young']	2	0.435800	2.198262	0.063494	0.993301	0.654972	1.000000	0.894577	0.999600	['NKX2-2' 'PKLR']
hsa03032	['DNA replication proteins']	7	3.535500	0.985441	0.064894	0.976702	0.654972	1.000000	0.894577	0.999600	['CCNB2' 'DNMT3A' 'PARP1' 'RAD50' 'RFC5' 'STN1' 'TERF2']
hsa04977	['Vitamin digestion and absorption']	3	1.005400	1.577193	0.067093	0.990901	0.654972	1.000000	0.894577	0.999600	['CUBN' 'RBP2' 'SCARB1']
