Id	FunctionName	n_candidates	mean_n_resample	enrichment(log2)	emp_p_e	emp_p_d	fdr_e	fdr_d	BH_fdr_e	BH_fdr_d	Genes
hsa03036	['Chromosome and associated proteins']	83	54.376100	0.610139	0.000100	1.000000	0.000000	1.000000	0.035996	1.000000	"['AHDC1' 'AKAP9' 'ALDOC' 'ANAPC7' 'ANKRD17' 'ARID1A' 'ARID2' 'ARL3'
 'ASH1L' 'ASXL2' 'ATXN7' 'B9D1' 'BARD1' 'BBS10' 'BICDL1' 'BPTF' 'BRD4'
 'C5orf42' 'CBX3' 'CENPL' 'CENPP' 'CHD1' 'CHD7' 'CNTLN' 'CTCF' 'DCDC2B'
 'DDHD2' 'DGCR8' 'DICER1' 'EPC2' 'HAUS2' 'HOOK3' 'HSPB11' 'IFT140' 'IFT81'
 'KANSL2' 'KAT6B' 'KMT2D' 'KMT5A' 'KPNA6' 'MCRS1' 'MLLT10' 'MPHOSPH9'
 'MYT1L' 'NCOA3' 'NEK6' 'NEK7' 'NEK8' 'NIPBL' 'NPM2' 'NUMA1' 'PCGF6'
 'PCNT' 'PDS5B' 'PHF20' 'PIWIL2' 'PLA2G3' 'PLD6' 'PMFBP1' 'PPP2R3A'
 'PRMT7' 'RNF151' 'RSBN1' 'SGF29' 'SIN3A' 'SPAG5' 'SRCAP' 'STARD9' 'SYCE2'
 'TARBP2' 'TCTN1' 'THAP1' 'TRIP4' 'TUBA1A' 'TUBA1B' 'TUBD1' 'UBN1' 'WHSC1'
 'WHSC1L1' 'XPO1' 'XPO5' 'YEATS4' 'ZNF423']"
hsa00310	['Lysine degradation']	9	2.848100	1.659925	0.000700	1.000000	0.055050	1.000000	0.125987	1.000000	"['ALDH2' 'ALDH3A2' 'ASH1L' 'GCDH' 'HADHA' 'KMT2D' 'KMT5A' 'WHSC1'
 'WHSC1L1']"
hsa03021	['Transcription machinery']	19	9.427800	1.011006	0.002200	0.999500	0.129700	1.000000	0.206979	1.000000	"['AFF1' 'ARID1A' 'ARID2' 'ATXN7' 'BRD4' 'CCNT1' 'CHD1' 'CSRNP2' 'DRAP1'
 'ERCC2' 'GPN2' 'GPN3' 'GTF2H3' 'MED12L' 'MED9' 'NELFA' 'PPP1CC' 'SGF29'
 'SYMPK']"
hsa03460	['Fanconi anemia pathway']	7	2.028300	1.787084	0.002300	0.999600	0.129700	1.000000	0.206979	1.000000	['BLM' 'BRIP1' 'FANCM' 'POLH' 'RAD51C' 'REV1' 'TOP3A']
hsa05219	['Bladder cancer']	6	1.617100	1.891554	0.003300	0.999100	0.129700	1.000000	0.209434	1.000000	['CDK4' 'DAPK2' 'EGFR' 'ERBB2' 'RPS6KA5' 'SRC']
hsa03013	['RNA transport']	10	3.735500	1.420627	0.003700	0.998800	0.129700	1.000000	0.209434	1.000000	"['AAAS' 'EIF2B1' 'EIF5B' 'NDC1' 'NUP155' 'NUP214' 'PYM1' 'SUMO1' 'XPO1'
 'XPO5']"
hsa01523	['Antifolate resistance']	4	0.772400	2.372580	0.005099	0.999900	0.143900	1.000000	0.209434	1.000000	['CHUK' 'NFKB1' 'RELA' 'SHMT1']
hsa05418	['Fluid shear stress and atherosclerosis']	11	4.649200	1.242449	0.005399	0.998100	0.143900	1.000000	0.209434	1.000000	"['ACVR2A' 'AKT2' 'CHUK' 'MAP2K5' 'MAPK7' 'NFKB1' 'PRKAA2' 'RAC1' 'RELA'
 'SRC' 'SUMO1']"
hsa04662	['B cell receptor signaling pathway']	10	4.326700	1.208661	0.006199	0.998400	0.143900	1.000000	0.209434	1.000000	"['AKT2' 'BLNK' 'CHUK' 'DAPP1' 'NFATC3' 'NFKB1' 'PPP3CB' 'RAC1' 'RELA'
 'VAV2']"
hsa03015	['mRNA surveillance pathway']	8	3.035300	1.398161	0.007799	0.998200	0.147780	1.000000	0.209434	1.000000	['CSTF3' 'FIP1L1' 'PAPOLG' 'PPP1CC' 'PPP2R3A' 'PYM1' 'SMG6' 'SYMPK']
hsa04620	['Toll-like receptor signaling pathway']	7	2.466200	1.505065	0.007899	0.998100	0.147780	1.000000	0.209434	1.000000	['AKT2' 'CHUK' 'IL12A' 'NFKB1' 'RAC1' 'RELA' 'TAB2']
hsa05224	['Breast cancer']	13	6.485900	1.003133	0.007999	0.997200	0.147780	1.000000	0.209434	1.000000	"['AKT2' 'CDK4' 'DVL2' 'EGFR' 'ERBB2' 'FGF7' 'LEF1' 'NCOA3' 'RPS6KB1'
 'SHC4' 'SP1' 'WNT1' 'WNT10B']"
hsa04657	['IL-17 signaling pathway']	6	1.896100	1.661927	0.009099	0.998000	0.147780	1.000000	0.209434	1.000000	['CHUK' 'MAPK7' 'NFKB1' 'RELA' 'TAB2' 'TRAF4']
hsa00340	['Histidine metabolism']	3	0.482100	2.637558	0.009099	0.999700	0.147780	1.000000	0.209434	1.000000	['ALDH2' 'ALDH3A1' 'ALDH3A2']
hsa05163	['Human cytomegalovirus infection']	19	11.054000	0.781431	0.009099	0.995600	0.147780	1.000000	0.209434	1.000000	"['AKAP13' 'AKT2' 'CDK4' 'CHUK' 'EGFR' 'GNAO1' 'ITPR2' 'NFATC3' 'NFKB1'
 'PDIA3' 'PPP3CB' 'PTGER2' 'PTGER4' 'PXN' 'RAC1' 'RELA' 'RPS6KB1' 'SP1'
 'SRC']"
hsa03016	['Transfer RNA biogenesis']	12	5.852800	1.035836	0.009899	0.996900	0.147780	1.000000	0.209434	1.000000	"['AARS2' 'AIMP2' 'ATE1' 'CDKAL1' 'DARS2' 'FARSA' 'IARS' 'LCMT2' 'PUS10'
 'WARS' 'XPO1' 'XPO5']"
hsa03041	['Spliceosome']	19	11.221300	0.759760	0.010199	0.995100	0.147780	1.000000	0.209434	1.000000	"['AAR2' 'CBX3' 'CWC27' 'DDX23' 'DHX38' 'KHDRBS1' 'MFAP1' 'PAXBP1' 'PCBP2'
 'PPP1CC' 'PRPF39' 'PTBP2' 'RBFOX1' 'SF3A3' 'SF3B4' 'SRPK2' 'SRSF7'
 'SYNCRIP' 'ZC3H18']"
hsa05162	['Measles']	9	3.803900	1.242446	0.011199	0.996300	0.147780	1.000000	0.209434	1.000000	['AKT2' 'BBC3' 'CD28' 'CDK4' 'CHUK' 'IL12A' 'NFKB1' 'RELA' 'TAB2']
hsa03029	['Mitochondrial biogenesis']	21	12.723500	0.722894	0.012199	0.994501	0.147780	1.000000	0.209434	1.000000	"['C12orf65' 'COX14' 'DARS2' 'DNAJA2' 'ERAL1' 'GATB' 'MCU' 'MRPL37'
 'MRPS16' 'MSS51' 'MTIF2' 'NAA25' 'NDUFAF7' 'PRKAA2' 'RNF41' 'SFXN2'
 'SNX25' 'SP1' 'SUMO1' 'TSFM' 'ULK2']"
hsa00970	['Aminoacyl-tRNA biosynthesis']	6	2.133300	1.491876	0.012199	0.997800	0.147780	1.000000	0.209434	1.000000	['AARS2' 'DARS2' 'FARSA' 'GATB' 'IARS' 'WARS']
hsa04660	['T cell receptor signaling pathway']	12	5.942100	1.013990	0.012799	0.995400	0.147780	1.000000	0.209434	1.000000	"['AKT2' 'CD28' 'CDK4' 'CHUK' 'CTLA4' 'ICOS' 'NCK1' 'NFATC3' 'NFKB1'
 'PPP3CB' 'RELA' 'VAV2']"
hsa05212	['Pancreatic cancer']	9	3.921200	1.198630	0.012799	0.996400	0.147780	1.000000	0.209434	1.000000	['AKT2' 'CDK4' 'CHUK' 'EGFR' 'ERBB2' 'NFKB1' 'RAC1' 'RELA' 'RPS6KB1']
hsa05168	['Herpes simplex virus 1 infection']	15	8.146900	0.880639	0.014999	0.993001	0.147780	1.000000	0.220298	1.000000	"['AKT2' 'CHUK' 'EIF2B1' 'IL12A' 'NFKB1' 'PDIA3' 'PPP1CC' 'RELA' 'SRC'
 'SRSF7' 'TAB2' 'ZNF141' 'ZNF200' 'ZNF689' 'ZNF764']"
hsa00010	['Glycolysis / Gluconeogenesis']	5	1.499700	1.737254	0.014999	0.996200	0.147780	1.000000	0.220298	1.000000	['ALDH2' 'ALDH3A1' 'ALDH3A2' 'ALDOC' 'GALM']
