chr	start	end
1	1349674	1349674
1	1613300	1613300
1	1966024	1966024
1	1966119	1966119
1	1966751	1966751
1	2179550	2179550
1	3222356	3222356
1	3357184	3357184
1	3363185	3363185
1	3368300	3368300
1	3368323	3368323
1	3369109	3369109
1	3370800	3370800
1	3371646	3371646
1	3372020	3372020
1	3372330	3372330
1	3373810	3373810
1	3374339	3374339
1	3374346	3374346
1	3378099	3378099
1	3382246	3382246
1	3382858	3382858
1	3386687	3386687
1	3682479	3682479
1	3926844	3926844
1	4675325	4675325
1	4675358	4675358
1	4676082	4676082
1	4676087	4676087
1	4677211	4677211
1	4677580	4677580
1	4680733	4680733
1	4718640	4718640
1	4831336	4831336
1	5077369	5077369
1	5077998	5077998
1	5562114	5562114
1	7361593	7361593
1	7363150	7363150
1	7363640	7363640
1	7364450	7364450
1	7364639	7364639
1	7367526	7367526
1	7367912	7367912
1	7967304	7967304
1	8293294	8293294
1	8316075	8316075
1	8317474	8317474
1	9636821	9636821
1	9641545	9641545
1	9642420	9642420
1	9645280	9645280
1	9645509	9645509
1	9648406	9648406
1	9662991	9662991
1	9663059	9663059
1	10803262	10803262
1	11091422	11091422
1	12467892	12467892
1	12626265	12626265
1	12626476	12626476
1	12626585	12626585
1	12629327	12629327
1	12629808	12629808
1	14566883	14566883
1	14582896	14582896
1	15324724	15324724
1	17882007	17882007
1	17883607	17883607
1	18271884	18271884
1	18275745	18275745
1	18276918	18276918
1	18277551	18277551
1	21198721	21198721
1	21635829	21635829
1	21637332	21637332
1	21638340	21638340
1	22296669	22296669
1	22926666	22926666
1	23956183	23956183
1	23958471	23958471
1	23992159	23992159
1	23992829	23992829
1	24004430	24004430
1	25665512	25665512
1	26682458	26682458
1	26686587	26686587
1	26686916	26686916
1	26693150	26693150
1	26694614	26694614
1	26696368	26696368
1	26726655	26726655
1	26740538	26740538
1	26793238	26793238
1	26823757	26823757
1	26834774	26834774
1	26857455	26857455
1	26859329	26859329
1	26859599	26859599
1	26861048	26861048
1	26863461	26863461
1	26864254	26864254
1	26864730	26864730
1	26867539	26867539
1	26867863	26867863
1	26868297	26868297
1	26869233	26869233
1	26876222	26876222
1	26878343	26878343
1	26878975	26878975
1	26879229	26879229
1	26879738	26879738
1	26880709	26880709
1	26881621	26881621
1	26881629	26881629
1	26882614	26882614
1	26882853	26882853
1	26883565	26883565
1	26884089	26884089
1	26887254	26887254
1	26887923	26887923
1	26890382	26890382
1	26890527	26890527
1	26892056	26892056
1	26895555	26895555
1	26897073	26897073
1	26900022	26900022
1	26900653	26900653
1	26904344	26904344
1	26905272	26905272
1	26909511	26909511
1	26913395	26913395
1	26914299	26914299
1	26916829	26916829
1	26916910	26916910
1	26917489	26917489
1	26919772	26919772
1	26921127	26921127
1	26921466	26921466
1	26923081	26923081
1	26923905	26923905
1	26927902	26927902
1	26929064	26929064
1	26929128	26929128
1	26929523	26929523
1	26931423	26931423
1	26932297	26932297
1	26932350	26932350
1	26932630	26932630
1	26932917	26932917
1	26933257	26933257
1	26933295	26933295
1	26933308	26933308
1	26933486	26933486
1	26934814	26934814
1	26935596	26935596
1	26935795	26935795
1	26937841	26937841
1	26941043	26941043
1	26941224	26941224
1	26941888	26941888
1	26942150	26942150
1	26942725	26942725
1	26943766	26943766
1	26947354	26947354
1	26948564	26948564
1	26948614	26948614
1	26948993	26948993
1	26949480	26949480
1	26949581	26949581
1	26949981	26949981
1	26950065	26950065
1	26950945	26950945
1	26951021	26951021
1	26951066	26951066
1	26951085	26951085
1	26951099	26951099
1	26951368	26951368
1	26951558	26951558
1	26951619	26951619
1	26951668	26951668
1	26951696	26951696
1	26951839	26951839
1	26952835	26952835
1	26953117	26953117
1	26953449	26953449
1	26953561	26953561
1	26953711	26953711
1	26953737	26953737
1	26953820	26953820
1	26953954	26953954
1	26955843	26955843
1	26956569	26956569
1	26959977	26959977
1	33390728	33390728
1	33508121	33508121
1	33510909	33510909
1	33511745	33511745
1	33513243	33513243
1	33513887	33513887
1	33515143	33515143
1	33515438	33515438
1	33515811	33515811
1	33516354	33516354
1	33516536	33516536
1	33516903	33516903
1	33518155	33518155
1	33518409	33518409
1	33519332	33519332
1	33519376	33519376
1	33520894	33520894
1	33521864	33521864
1	33522734	33522734
1	33522919	33522919
1	33526443	33526443
1	33529299	33529299
1	33529780	33529780
1	33531769	33531769
1	33532186	33532186
1	33543528	33543528
1	33547600	33547600
1	33554594	33554594
1	33570675	33570675
1	33576266	33576266
1	33577308	33577308
1	34260139	34260139
1	35087824	35087824
1	35119113	35119113
1	35127682	35127682
1	37568334	37568334
1	37569823	37569823
1	37569958	37569958
1	37571829	37571829
1	37573040	37573040
1	37575990	37575990
1	39251073	39251073
1	40899607	40899607
1	40900632	40900632
1	40901190	40901190
1	40902157	40902157
1	40903038	40903038
1	40903282	40903282
1	40905719	40905719
1	40910815	40910815
1	40911367	40911367
1	44306775	44306775
1	47416127	47416127
1	47728599	47728599
1	47728777	47728777
1	47729619	47729619
1	53385539	53385539
1	53954576	53954576
1	53961972	53961972
1	54652026	54652026
1	54655256	54655256
1	54657132	54657132
1	55555596	55555596
1	55781016	55781016
1	55781214	55781214
1	55781276	55781276
1	55782302	55782302
1	55783662	55783662
1	56915734	56915734
1	57429903	57429903
1	61795785	61795785
1	67435264	67435264
1	67564407	67564407
1	67565192	67565192
1	68259293	68259293
1	68259506	68259506
1	69526181	69526181
1	70032764	70032764
1	70032992	70032992
1	70057040	70057040
1	70967894	70967894
1	71035354	71035354
1	71036778	71036778
1	71038194	71038194
1	71042024	71042024
1	71043033	71043033
1	71066066	71066066
1	71068353	71068353
1	71070317	71070317
1	71070881	71070881
1	71071272	71071272
1	71071383	71071383
1	71071411	71071411
1	71071451	71071451
1	71071496	71071496
1	71072312	71072312
1	71073897	71073897
1	71074591	71074591
1	71079719	71079719
1	71081329	71081329
1	71081978	71081978
1	71082497	71082497
1	71083855	71083855
1	71084156	71084156
1	71084237	71084237
1	71085145	71085145
1	71085310	71085310
1	73579712	73579712
1	76390105	76390105
1	76444552	76444552
1	76458504	76458504
1	76461363	76461363
1	76768391	76768391
1	76768557	76768557
1	76768653	76768653
1	76768752	76768752
1	76768921	76768921
1	76771076	76771076
1	77246705	77246705
1	81994265	81994265
1	81994565	81994565
1	81994847	81994847
1	81995478	81995478
1	81996004	81996004
1	81996117	81996117
1	81996316	81996316
1	81996946	81996946
1	82544014	82544014
1	84065299	84065299
1	86486928	86486928
1	92422857	92422857
1	92423362	92423362
1	94904788	94904788
1	94910429	94910429
1	96604582	96604582
1	97699226	97699226
1	97701217	97701217
1	97702536	97702536
1	97704652	97704652
1	97708045	97708045
1	97713173	97713173
1	97715933	97715933
1	104431956	104431956
1	104432170	104432170
1	104433331	104433331
1	104433755	104433755
1	104434303	104434303
1	120159615	120159615
1	120163700	120163700
1	122615479	122615479
1	125074954	125074954
1	125076398	125076398
1	125076534	125076534
1	125076866	125076866
1	125077612	125077612
1	127916040	127916040
1	127935731	127935731
1	128627654	128627654
1	128631629	128631629
1	128632656	128632656
1	129225092	129225092
1	129468416	129468416
1	129472145	129472145
1	129472167	129472167
1	129472300	129472300
1	129475991	129475991
1	129477361	129477361
1	129477394	129477394
1	129478707	129478707
1	129481995	129481995
1	129486423	129486423
1	129487883	129487883
1	129490556	129490556
1	129491388	129491388
1	129491901	129491901
1	129493596	129493596
1	129493843	129493843
1	129494543	129494543
1	129495416	129495416
1	129495951	129495951
1	129497259	129497259
1	129499103	129499103
1	129505203	129505203
1	129505504	129505504
1	129505687	129505687
1	129506193	129506193
1	129514604	129514604
1	129514699	129514699
1	129520144	129520144
1	129520232	129520232
1	130224457	130224457
1	130326107	130326107
1	130328199	130328199
1	130328930	130328930
1	130329258	130329258
1	130331820	130331820
1	130333311	130333311
1	130335548	130335548
1	130342502	130342502
1	130342532	130342532
1	130347280	130347280
1	130350031	130350031
1	130353990	130353990
1	130355424	130355424
1	130357239	130357239
1	130358384	130358384
1	130359096	130359096
1	130389595	130389595
1	130389870	130389870
1	130393617	130393617
1	130394634	130394634
1	130697282	130697282
1	130712393	130712393
1	130712516	130712516
1	130712999	130712999
1	130717473	130717473
1	130720507	130720507
1	130723348	130723348
1	130724758	130724758
1	130726158	130726158
1	130726620	130726620
1	130727308	130727308
1	130727338	130727338
1	130729981	130729981
1	130730019	130730019
1	130730027	130730027
1	130735260	130735260
1	130735692	130735692
1	130736527	130736527
1	130740941	130740941
1	130744410	130744410
1	130744544	130744544
1	130745158	130745158
1	130747790	130747790
1	130750005	130750005
1	130750254	130750254
1	130750334	130750334
1	130778073	130778073
1	130789190	130789190
1	130979099	130979099
1	133089009	133089009
1	133090678	133090678
1	133095944	133095944
1	133102644	133102644
1	133103146	133103146
1	133107034	133107034
1	133108045	133108045
1	133109201	133109201
1	133113353	133113353
1	133121041	133121041
1	133378784	133378784
1	133381430	133381430
1	133401475	133401475
1	133406355	133406355
1	133407709	133407709
1	133411072	133411072
1	133413903	133413903
1	133414573	133414573
1	133420610	133420610
1	133422384	133422384
1	133426200	133426200
1	133433691	133433691
1	133437472	133437472
1	133441128	133441128
1	133448111	133448111
1	133455704	133455704
1	133476401	133476401
1	133476447	133476447
1	133487513	133487513
1	133491308	133491308
1	133496143	133496143
1	133497205	133497205
1	133500997	133500997
1	133506170	133506170
1	133508147	133508147
1	133517833	133517833
1	133522489	133522489
1	133525549	133525549
1	133528225	133528225
1	133541091	133541091
1	133541217	133541217
1	133548635	133548635
1	133552672	133552672
1	133562838	133562838
1	133564265	133564265
1	133569328	133569328
1	133586094	133586094
1	133594674	133594674
1	133612165	133612165
1	133622235	133622235
1	133627232	133627232
1	133647178	133647178
1	133658547	133658547
1	133684978	133684978
1	133686396	133686396
1	133690437	133690437
1	133698496	133698496
1	133723826	133723826
1	133758448	133758448
1	133790329	133790329
1	133794915	133794915
1	133802578	133802578
1	133808443	133808443
1	133830468	133830468
1	133846415	133846415
1	133859038	133859038
1	133874990	133874990
1	133882134	133882134
1	133896918	133896918
1	133904190	133904190
1	133905867	133905867
1	133906360	133906360
1	133922479	133922479
1	133923482	133923482
1	134018096	134018096
1	137204436	137204436
1	137205070	137205070
1	137205795	137205795
1	138462109	138462109
1	138464660	138464660
1	138466572	138466572
1	138558126	138558126
1	138560321	138560321
1	139624355	139624355
1	139648894	139648894
1	139652034	139652034
1	139756351	139756351
1	139842770	139842770
1	140280980	140280980
1	140790030	140790030
1	140806235	140806235
1	140807296	140807296
1	140808113	140808113
1	140812295	140812295
1	145166916	145166916
1	145167012	145167012
1	145237174	145237174
1	146270165	146270165
1	146861260	146861260
1	146863534	146863534
1	146892116	146892116
1	147530353	147530353
1	147531582	147531582
1	149517736	149517736
1	150564478	150564478
1	150569578	150569578
1	150577958	150577958
1	150579135	150579135
1	150579485	150579485
1	152108403	152108403
1	153996442	153996442
1	153996637	153996637
1	153997030	153997030
1	153997059	153997059
1	153997351	153997351
1	153997560	153997560
1	153998085	153998085
1	154179277	154179277
1	154182244	154182244
1	154192515	154192515
1	154198415	154198415
1	154202755	154202755
1	154205115	154205115
1	154206818	154206818
1	154391779	154391779
1	154396988	154396988
1	154397564	154397564
1	154397572	154397572
1	154399690	154399690
1	154401813	154401813
1	154402414	154402414
1	154402540	154402540
1	154403292	154403292
1	154404202	154404202
1	154405275	154405275
1	154405652	154405652
1	154409682	154409682
1	154413547	154413547
1	155558080	155558080
1	155700973	155700973
1	155703618	155703618
1	155703722	155703722
1	155863036	155863036
1	155875353	155875353
1	155878002	155878002
1	155878363	155878363
1	155888922	155888922
1	155891027	155891027
1	155892530	155892530
1	155896921	155896921
1	155899106	155899106
1	155899905	155899905
1	155900375	155900375
1	155907728	155907728
1	155908570	155908570
1	155908629	155908629
1	155909700	155909700
1	155909989	155909989
1	155910886	155910886
1	155912439	155912439
1	155913993	155913993
1	155918929	155918929
1	155929183	155929183
1	155929782	155929782
1	155937906	155937906
1	155941564	155941564
1	155943520	155943520
1	155943872	155943872
1	156241645	156241645
1	156293876	156293876
1	156296783	156296783
1	156297043	156297043
1	156308214	156308214
1	156310313	156310313
1	156493326	156493326
1	157631255	157631255
1	160894327	160894327
1	161131679	161131679
1	161137394	161137394
1	161137701	161137701
1	161138898	161138898
1	161161109	161161109
1	162661968	162661968
1	162667503	162667503
1	163517837	163517837
1	163521149	163521149
1	163522117	163522117
1	163525600	163525600
1	163529000	163529000
1	164068710	164068710
1	164069430	164069430
1	164073016	164073016
1	164077649	164077649
1	164078748	164078748
1	164079656	164079656
1	164080138	164080138
1	164085510	164085510
1	164087126	164087126
