chr	start	end
1	1845380	1845380
1	2992827	2992827
1	3367563	3367563
1	3368939	3368939
1	3368972	3368972
1	3370006	3370006
1	3384842	3384842
1	5078626	5078626
1	5685450	5685450
1	5740654	5740654
1	5759892	5759892
1	5760465	5760465
1	5760577	5760577
1	5761300	5761300
1	5761645	5761645
1	5762010	5762010
1	5762078	5762078
1	5762305	5762305
1	5762366	5762366
1	5762645	5762645
1	5762662	5762662
1	5762705	5762705
1	5763268	5763268
1	5763325	5763325
1	5763554	5763554
1	5763617	5763617
1	5763760	5763760
1	5764067	5764067
1	5764102	5764102
1	5764225	5764225
1	5764365	5764365
1	5764547	5764547
1	5764746	5764746
1	5764794	5764794
1	5764891	5764891
1	5764976	5764976
1	5765101	5765101
1	5765338	5765338
1	5765980	5765980
1	5765986	5765986
1	5766037	5766037
1	5766071	5766071
1	5766169	5766169
1	5766519	5766519
1	5766606	5766606
1	5766714	5766714
1	5766811	5766811
1	5766912	5766912
1	5766963	5766963
1	5767022	5767022
1	5767279	5767279
1	5767404	5767404
1	6649444	6649444
1	7126958	7126958
1	7165713	7165713
1	7166643	7166643
1	7169028	7169028
1	7192378	7192378
1	8076689	8076689
1	9096699	9096699
1	9344650	9344650
1	10651547	10651547
1	10659024	10659024
1	10670554	10670554
1	10680678	10680678
1	10681362	10681362
1	10774809	10774809
1	10777944	10777944
1	10781904	10781904
1	10793775	10793775
1	10934214	10934214
1	10936437	10936437
1	10937577	10937577
1	10938143	10938143
1	10938169	10938169
1	11152371	11152371
1	11767348	11767348
1	12044941	12044941
1	12484180	12484180
1	12827743	12827743
1	12830068	12830068
1	13451361	13451361
1	13451725	13451725
1	13451732	13451732
1	13453671	13453671
1	13736280	13736280
1	13736356	13736356
1	13736571	13736571
1	14369003	14369003
1	14767106	14767106
1	15790434	15790434
1	16126327	16126327
1	16139331	16139331
1	16209137	16209137
1	16211809	16211809
1	16212538	16212538
1	16214896	16214896
1	17654872	17654872
1	17654947	17654947
1	17655760	17655760
1	17657257	17657257
1	18068611	18068611
1	18111034	18111034
1	18816314	18816314
1	18818478	18818478
1	19233100	19233100
1	19233797	19233797
1	19235287	19235287
1	21542186	21542186
1	21857896	21857896
1	21912330	21912330
1	22273274	22273274
1	22407424	22407424
1	22424389	22424389
1	27847064	27847064
1	27860870	27860870
1	27861484	27861484
1	27861834	27861834
1	28140910	28140910
1	28140929	28140929
1	28141393	28141393
1	28143682	28143682
1	28143942	28143942
1	28144393	28144393
1	29051722	29051722
1	30636435	30636435
1	33578858	33578858
1	35017656	35017656
1	35018390	35018390
1	35133005	35133005
1	37575577	37575577
1	42500187	42500187
1	43635542	43635542
1	45192075	45192075
1	45619748	45619748
1	45672350	45672350
1	46157121	46157121
1	46157619	46157619
1	46160224	46160224
1	46161993	46161993
1	46162157	46162157
1	46162308	46162308
1	46164668	46164668
1	46167190	46167190
1	46167921	46167921
1	46168554	46168554
1	46170039	46170039
1	46170164	46170164
1	46173575	46173575
1	46174650	46174650
1	46174747	46174747
1	46179644	46179644
1	46188162	46188162
1	46193178	46193178
1	46195168	46195168
1	46197671	46197671
1	46199772	46199772
1	46201289	46201289
1	46202526	46202526
1	46205896	46205896
1	46725180	46725180
1	46727341	46727341
1	47947879	47947879
1	48007807	48007807
1	50713597	50713597
1	50713823	50713823
1	50722136	50722136
1	50748590	50748590
1	50753161	50753161
1	50754831	50754831
1	50777244	50777244
1	50780040	50780040
1	50786292	50786292
1	50792432	50792432
1	50792668	50792668
1	50793577	50793577
1	50794105	50794105
1	50794409	50794409
1	50794441	50794441
1	50796014	50796014
