chr	start	end	gene
1	904115	905037	HES4
1	921857	922761	ISG15
1	1099891	1117284	TTLL10
1	1157907	1160677	B3GALT6
1	1198009	1202485	SCNN1D
1	1203263	1216123	ACAP3
1	1235676	1236528	CPTP
1	1240150	1244110	TAS1R3
1	1244082	1251805	DVL1
1	1281976	1283684	AURKAIP1
1	1295661	1308257	CCNL2
1	1310882	1317973	MRPL20
1	1361608	1382667	ATAD3C
1	1388292	1412908	ATAD3B
1	1456942	1491733	SSU72
1	1513449	1611784	FNDC10
1	1550242	1551706	MMP23B
1	1580673	1611022	SLC35E2B
1	1616872	1638578	NADK
1	1783634	1786114	CALML6
1	1786539	1788395	TMEM52
1	1892600	1898423	GABRD
1	2100700	2181087	SKI
1	2197731	2270832	MORN1
1	2270900	2285110	RER1
1	2284476	2292227	PEX10
1	2357893	2387005	PLCH2
1	2390269	2408541	PANK4
1	2410695	2412190	HES5
1	2439621	2447459	TNFRSF14
1	2472156	2476871	FAM213B
1	2476330	2516470	MMEL1
1	2520532	2553529	TTC34
1	2799786	2801185	ACTRT2
1	2849813	3226387	PRDM16
1	3258837	3279499	ARHGEF16
1	3429520	3433424	TPRG1L
1	3435543	3454617	WRAP73
1	3486161	3536969	TP73
1	3558116	3579312	CCDC27
1	3588806	3606135	LRRC47
1	3625057	3671260	CEP104
1	3671662	3699085	DFFB
1	3704510	3717492	C1orf174
1	4540075	4674734	AJAP1
1	6092756	6155405	CHD5
1	6172642	6188002	RPL22
1	6194520	6208829	RNF207
1	6208731	6223597	ICMT
1	6233067	6234683	HES3
1	6236526	6250177	GPR153
1	6254146	6375457	ACOT7
1	6404357	6411077	HES2
1	6454499	6457642	TNFRSF25
1	6460090	6514191	PLEKHG5
1	6519865	6550127	NOL9
1	6550869	6573153	TAS1R1
1	6573400	6582706	ZBTB48
1	6586646	6596531	KLHL21
1	6609272	6619588	PHF13
1	6620765	6629192	THAP3
1	6629785	6697720	DNAJC11
1	6783078	7769440	CAMTA1
1	7774857	7784966	VAMP3
1	7788563	7847740	PER3
1	7848931	7858246	UTS2
1	7927343	7948789	TNFRSF9
1	7968237	7991742	PARK7
1	8017943	8032552	ERRFI1
1	8329801	8360446	SLC45A1
1	8369115	8841466	RERE
1	8884915	8898818	ENO1
1	8966776	8997045	CA6
1	9029619	9053165	SLC2A7
1	9063735	9095705	SLC2A5
1	9128645	9136466	GPR157
