chr	start	end
1	3133270	3133270
1	3963340	3963340
1	4898020	4898020
1	6602730	6602730
1	12809600	12809600
1	12814100	12814100
1	12831400	12831400
1	12836900	12836900
1	13929700	13929700
1	13939800	13939800
1	13942600	13942600
1	19413200	19413200
1	21691000	21691000
1	21711100	21711100
1	21829800	21829800
1	22155700	22155700
1	22168000	22168000
1	22230600	22230600
1	22245900	22245900
1	23488100	23488100
1	26667500	26667500
1	26673100	26673100
1	26687100	26687100
1	26701000	26701000
1	26713500	26713500
1	26730200	26730200
1	26738300	26738300
1	26751000	26751000
1	26761900	26761900
1	26771300	26771300
1	26783300	26783300
1	26813000	26813000
1	26856200	26856200
1	26887600	26887600
1	26903900	26903900
1	26913200	26913200
1	26929700	26929700
1	26939900	26939900
1	26953500	26953500
1	27064500	27064500
1	27076700	27076700
1	27090000	27090000
1	27104700	27104700
1	27112400	27112400
1	27122500	27122500
1	27133600	27133600
1	27146300	27146300
1	27154800	27154800
1	27176100	27176100
1	27413300	27413300
1	27523500	27523500
1	27549600	27549600
1	27576300	27576300
1	27648800	27648800
1	27820200	27820200
1	28031600	28031600
1	31038700	31038700
1	31045300	31045300
1	31059400	31059400
1	31064900	31064900
1	31079100	31079100
1	31087000	31087000
1	31098200	31098200
1	31107700	31107700
1	31123100	31123100
1	31166700	31166700
1	31357200	31357200
1	31607800	31607800
1	31621800	31621800
1	31626600	31626600
1	31628200	31628200
1	31848500	31848500
1	31893000	31893000
1	32028500	32028500
1	32038000	32038000
1	32044500	32044500
1	32054700	32054700
1	32062200	32062200
1	32067400	32067400
1	32108600	32108600
1	32130800	32130800
1	32142300	32142300
1	32153600	32153600
1	32170100	32170100
1	32178900	32178900
1	32184500	32184500
1	32191700	32191700
1	32196100	32196100
1	32207300	32207300
1	32224900	32224900
1	32232100	32232100
1	32244300	32244300
1	32253900	32253900
1	32264700	32264700
1	32272400	32272400
1	32280500	32280500
1	32288000	32288000
1	32298100	32298100
1	32306600	32306600
1	32319600	32319600
1	32325800	32325800
1	32338300	32338300
1	32347100	32347100
1	32356000	32356000
1	32486800	32486800
1	32495800	32495800
1	32507200	32507200
1	32511000	32511000
1	32526200	32526200
1	32546700	32546700
1	37626100	37626100
1	37631400	37631400
1	37665200	37665200
1	37799900	37799900
1	37821200	37821200
1	37825300	37825300
1	37854300	37854300
1	38169000	38169000
1	38224200	38224200
1	38301600	38301600
1	38690000	38690000
1	39462500	39462500
1	39471900	39471900
1	39478000	39478000
1	39485800	39485800
1	39550500	39550500
1	39723200	39723200
1	39743200	39743200
1	39748700	39748700
1	41306800	41306800
1	41575300	41575300
1	45443700	45443700
1	45483100	45483100
1	45496300	45496300
1	45505400	45505400
1	45522900	45522900
1	47719400	47719400
1	50122300	50122300
1	50189900	50189900
1	50235400	50235400
1	50243700	50243700
1	50272500	50272500
1	50284400	50284400
1	50338500	50338500
1	50349700	50349700
1	50618900	50618900
1	50679600	50679600
1	51065700	51065700
